Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;0;85;null
01/01/2018;100;0;85;null
01/01/2018;200;0;86;null
01/01/2018;300;0;86;null
01/01/2018;400;0;87;null
01/01/2018;500;0;89;null
01/01/2018;600;0;89;null
01/01/2018;700;0;90;null
01/01/2018;800;0;90;null
01/01/2018;900;0;89;null
01/01/2018;1000;0;87;null
01/01/2018;1100;0;84;null
01/01/2018;1200;0;82;null
01/01/2018;1300;0;83;null
01/01/2018;1400;0;78;null
01/01/2018;1500;0;74;null
01/01/2018;1600;0;74;null
01/01/2018;1700;0;70;null
01/01/2018;1800;0;67;null
01/01/2018;1900;0;64;null
01/01/2018;2000;0;60;null
01/01/2018;2100;0;64;null
01/01/2018;2200;0;73;null
01/01/2018;2300;0;76;null
02/01/2018;0;0;80;null
02/01/2018;100;0;80;null
02/01/2018;200;0;83;null
02/01/2018;300;0;87;null
02/01/2018;400;0;88;null
02/01/2018;500;0;89;null
02/01/2018;600;0;88;null
02/01/2018;700;0;88;null
02/01/2018;800;0;88;null
02/01/2018;900;0;89;null
02/01/2018;1000;0;84;null
02/01/2018;1100;0;80;null
02/01/2018;1200;0;77;null
02/01/2018;1300;0;75;null
02/01/2018;1400;0;72;null
02/01/2018;1500;0;69;null
02/01/2018;1600;0;75;null
02/01/2018;1700;0;72;null
02/01/2018;1800;0;76;null
02/01/2018;1900;0;73;null
02/01/2018;2000;0;71;null
02/01/2018;2100;0;74;null
02/01/2018;2200;0;78;null
02/01/2018;2300;0;80;null
03/01/2018;0;0;80;null
03/01/2018;100;0;79;null
03/01/2018;200;0;84;null
03/01/2018;300;0;85;null
03/01/2018;400;0;85;null
03/01/2018;500;0;84;null
03/01/2018;600;0;83;null
03/01/2018;700;0;84;null
03/01/2018;800;0,2;89;null
03/01/2018;900;0,2;90;null
03/01/2018;1000;0,4;91;null
03/01/2018;1100;0,2;89;null
03/01/2018;1200;0;89;null
03/01/2018;1300;0,2;88;null
03/01/2018;1400;0;88;null
03/01/2018;1500;1,2;90;null
03/01/2018;1600;0,2;86;null
03/01/2018;1700;0;86;null
03/01/2018;1800;10,6;92;null
03/01/2018;1900;0;92;null
03/01/2018;2000;5,2;91;null
03/01/2018;2100;0;91;null
03/01/2018;2200;0;89;null
03/01/2018;2300;0;90;null
04/01/2018;0;0;90;null
04/01/2018;100;0;90;null
04/01/2018;200;0;90;null
04/01/2018;300;0;90;null
04/01/2018;400;0;89;null
04/01/2018;500;0;91;null
04/01/2018;600;0;91;null
04/01/2018;700;0;90;null
04/01/2018;800;0;90;null
04/01/2018;900;0;91;null
04/01/2018;1000;0;92;null
04/01/2018;1100;0;87;null
04/01/2018;1200;0;64;null
04/01/2018;1300;0;44;null
04/01/2018;1400;0;34;null
04/01/2018;1500;0;33;null
04/01/2018;1600;0;32;null
04/01/2018;1700;0;36;null
04/01/2018;1800;0;44;null
04/01/2018;1900;0;48;null
04/01/2018;2000;0;53;null
04/01/2018;2100;0;62;null
04/01/2018;2200;0;70;null
04/01/2018;2300;0;75;null
05/01/2018;0;0;79;null
05/01/2018;100;0;84;null
05/01/2018;200;0;84;null
05/01/2018;300;0;83;null
05/01/2018;400;0;77;null
05/01/2018;500;0;75;null
05/01/2018;600;0;78;null
05/01/2018;700;0;80;null
05/01/2018;800;0;82;null
05/01/2018;900;0;87;null
05/01/2018;1000;0;85;null
05/01/2018;1100;0;74;null
05/01/2018;1200;0;67;null
05/01/2018;1300;0;62;null
05/01/2018;1400;0;58;null
05/01/2018;1500;0;56;null
05/01/2018;1600;0;53;null
05/01/2018;1700;0;52;null
05/01/2018;1800;0;66;null
05/01/2018;1900;0;65;null
05/01/2018;2000;0;69;null
05/01/2018;2100;0;72;null
05/01/2018;2200;0;77;null
05/01/2018;2300;0;79;null
06/01/2018;0;0;81;null
06/01/2018;100;0;84;null
06/01/2018;200;0;88;null
06/01/2018;300;0;88;null
06/01/2018;400;0;87;null
06/01/2018;500;0;89;null
06/01/2018;600;0;90;null
06/01/2018;700;0;91;null
06/01/2018;800;0;91;null
06/01/2018;900;0;91;null
06/01/2018;1000;0;90;null
06/01/2018;1100;0;87;null
06/01/2018;1200;0;83;null
06/01/2018;1300;0;74;null
06/01/2018;1400;0;69;null
06/01/2018;1500;0;68;null
06/01/2018;1600;0;65;null
06/01/2018;1700;0;60;null
06/01/2018;1800;0;60;null
06/01/2018;1900;0;66;null
06/01/2018;2000;0;76;null
06/01/2018;2100;0;73;null
06/01/2018;2200;0,2;75;null
06/01/2018;2300;0;76;null
07/01/2018;0;0,4;73;null
07/01/2018;100;0;81;null
07/01/2018;200;0,2;85;null
07/01/2018;300;0;86;null
07/01/2018;400;0;84;null
07/01/2018;500;0;84;null
07/01/2018;600;0;85;null
07/01/2018;700;0;82;null
07/01/2018;800;0;79;null
07/01/2018;900;0;81;null
07/01/2018;1000;0;80;null
07/01/2018;1100;0;77;null
07/01/2018;1200;0,2;89;null
07/01/2018;1300;0,2;91;null
07/01/2018;1400;0;89;null
07/01/2018;1500;2,8;89;null
07/01/2018;1600;5;89;null
07/01/2018;1700;1,2;90;null
07/01/2018;1800;0;90;null
07/01/2018;1900;0;86;null
07/01/2018;2000;0;81;null
07/01/2018;2100;0;82;null
07/01/2018;2200;0,2;84;null
07/01/2018;2300;0;86;null
08/01/2018;0;0;85;null
08/01/2018;100;0;84;null
08/01/2018;200;0;87;null
08/01/2018;300;0;87;null
08/01/2018;400;0;85;null
08/01/2018;500;0;86;null
08/01/2018;600;0;87;null
08/01/2018;700;0;88;null
08/01/2018;800;0;89;null
08/01/2018;900;0,4;90;null
08/01/2018;1000;2,2;91;null
08/01/2018;1100;0,4;92;null
08/01/2018;1200;1,2;92;null
08/01/2018;1300;1,4;92;null
08/01/2018;1400;0,4;92;null
08/01/2018;1500;5,6;91;null
08/01/2018;1600;9,6;92;null
08/01/2018;1700;1;92;null
08/01/2018;1800;0,4;89;null
08/01/2018;1900;0;89;null
08/01/2018;2000;0,2;91;null
08/01/2018;2100;0,6;92;null
08/01/2018;2200;0,2;92;null
08/01/2018;2300;0,6;92;null
09/01/2018;0;1;93;null
09/01/2018;100;0,2;93;null
09/01/2018;200;0,2;93;null
09/01/2018;300;0,4;94;null
09/01/2018;400;0,6;94;null
09/01/2018;500;0;94;null
09/01/2018;600;0;94;null
09/01/2018;700;0;94;null
09/01/2018;800;0,2;94;null
09/01/2018;900;0;94;null
09/01/2018;1000;0,2;94;null
09/01/2018;1100;0;94;null
09/01/2018;1200;0;92;null
09/01/2018;1300;0;86;null
09/01/2018;1400;0;82;null
09/01/2018;1500;0;77;null
09/01/2018;1600;0;70;null
09/01/2018;1700;0;65;null
09/01/2018;1800;0;71;null
09/01/2018;1900;0;75;null
09/01/2018;2000;0;78;null
09/01/2018;2100;0,2;89;null
09/01/2018;2200;0;90;null
09/01/2018;2300;0;89;null
10/01/2018;0;0;85;null
10/01/2018;100;0;85;null
10/01/2018;200;0;85;null
10/01/2018;300;0;88;null
10/01/2018;400;0;90;null
10/01/2018;500;0;91;null
