Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;0;94;1,6
01/01/2018;100;0;92;0,9
01/01/2018;200;0;93;1,3
01/01/2018;300;0;92;1,4
01/01/2018;400;0;92;1,7
01/01/2018;500;0;93;1
01/01/2018;600;0;94;0,4
01/01/2018;700;0;95;0,7
01/01/2018;800;0;95;0,8
01/01/2018;900;0;95;0,7
01/01/2018;1000;0;95;0,6
01/01/2018;1100;0;91;0,9
01/01/2018;1200;0;84;1,5
01/01/2018;1300;0;80;2,6
01/01/2018;1400;0;78;2,5
01/01/2018;1500;0;74;2,8
01/01/2018;1600;0;76;2,4
01/01/2018;1700;0;75;3,1
01/01/2018;1800;0;78;2,7
01/01/2018;1900;0;77;2,7
01/01/2018;2000;0;74;2,8
01/01/2018;2100;0;72;2,6
01/01/2018;2200;0;75;1,7
01/01/2018;2300;0;85;1,3
02/01/2018;0;0;90;1
02/01/2018;100;0;92;0,7
02/01/2018;200;0;93;0,4
02/01/2018;300;0;93;0,6
02/01/2018;400;0;93;0,4
02/01/2018;500;0;94;0,9
02/01/2018;600;0;94;1,2
02/01/2018;700;0;94;1,2
02/01/2018;800;0;93;0,7
02/01/2018;900;0;93;0,8
02/01/2018;1000;0;90;2,4
02/01/2018;1100;0;64;2
02/01/2018;1200;0;null;2,4
02/01/2018;1300;0;null;2,3
02/01/2018;1400;0;null;1,9
02/01/2018;1500;0;null;2,3
02/01/2018;1600;0;null;2,8
02/01/2018;1700;0;null;2,4
02/01/2018;1800;0;null;3,2
02/01/2018;1900;0;null;1,7
02/01/2018;2000;0;null;2,2
02/01/2018;2100;0;null;1,5
02/01/2018;2200;0;null;0,9
02/01/2018;2300;0;75;1,5
03/01/2018;0;0;75;1,5
03/01/2018;100;0;77;0,8
03/01/2018;200;0;80;1,2
03/01/2018;300;0;68;1,6
03/01/2018;400;0;61;2,8
03/01/2018;500;0;71;2,2
03/01/2018;600;0;68;2,5
03/01/2018;700;0;72;1
03/01/2018;800;0;77;1,7
03/01/2018;900;0;74;1
03/01/2018;1000;0;73;0,7
03/01/2018;1100;0;76;0,8
03/01/2018;1200;0;73;2
03/01/2018;1300;0;79;2,5
03/01/2018;1400;0;83;2,3
03/01/2018;1500;0;83;1,8
03/01/2018;1600;0;89;2,2
03/01/2018;1700;2,8;93;2,1
03/01/2018;1800;1,6;94;0,9
03/01/2018;1900;2,6;93;0,7
03/01/2018;2000;6,2;94;1,2
03/01/2018;2100;0,6;95;1
03/01/2018;2200;2;95;0,6
03/01/2018;2300;0;95;0,7
04/01/2018;0;0;95;1,1
04/01/2018;100;0,6;96;1
04/01/2018;200;0;96;0,9
04/01/2018;300;0;96;1,2
04/01/2018;400;0;96;1
04/01/2018;500;0;96;1,1
04/01/2018;600;0;96;0,6
04/01/2018;700;0;96;1
04/01/2018;800;0;96;0,7
04/01/2018;900;0;97;0,7
04/01/2018;1000;0;97;1
04/01/2018;1100;0;97;0,4
04/01/2018;1200;0;88;2
04/01/2018;1300;0,2;76;2,3
04/01/2018;1400;0;74;3
04/01/2018;1500;0;72;3,8
04/01/2018;1600;0;72;3,5
04/01/2018;1700;0;71;3,4
04/01/2018;1800;0;71;3,1
04/01/2018;1900;0;72;2,5
04/01/2018;2000;0;74;2,9
04/01/2018;2100;0;73;2,8
04/01/2018;2200;0;75;3,2
04/01/2018;2300;0;78;3,1
05/01/2018;0;0;78;3,2
05/01/2018;100;0;76;3,3
05/01/2018;200;0;87;0,6
05/01/2018;300;0;87;0,7
05/01/2018;400;0;90;0,3
05/01/2018;500;0;91;0,6
05/01/2018;600;0;92;1
05/01/2018;700;0;93;1,1
05/01/2018;800;0;92;0,7
05/01/2018;900;0;93;1,3
05/01/2018;1000;0;92;0,4
05/01/2018;1100;0;87;0,9
05/01/2018;1200;0;79;1,3
05/01/2018;1300;0;65;2,2
05/01/2018;1400;0;65;3,2
05/01/2018;1500;0;63;3
05/01/2018;1600;0;64;3,3
05/01/2018;1700;0;66;2,4
05/01/2018;1800;0;68;2,4
05/01/2018;1900;0;71;3,2
05/01/2018;2000;0;70;1,9
05/01/2018;2100;0;72;1,5
05/01/2018;2200;0;76;1,6
05/01/2018;2300;0;84;1,6
06/01/2018;0;0;89;1,4
06/01/2018;100;0;91;0,9
06/01/2018;200;0;93;0,7
06/01/2018;300;0;93;0,8
06/01/2018;400;0;94;0,9
06/01/2018;500;0;94;0,6
06/01/2018;600;0;94;1,3
06/01/2018;700;0;94;0,8
06/01/2018;800;0;94;1,1
06/01/2018;900;0;94;1,1
06/01/2018;1000;0;94;1
06/01/2018;1100;0;90;1,3
06/01/2018;1200;0;82;0,6
06/01/2018;1300;0;75;1,8
06/01/2018;1400;0;76;2
06/01/2018;1500;0;77;2,2
06/01/2018;1600;0;78;2,2
06/01/2018;1700;0;78;1,9
06/01/2018;1800;0;78;1,5
06/01/2018;1900;0;81;1,4
06/01/2018;2000;0;81;1,8
06/01/2018;2100;0;84;1,1
06/01/2018;2200;0;90;0,7
06/01/2018;2300;0;92;1,2
07/01/2018;0;0;93;1,2
07/01/2018;100;0;93;0,9
07/01/2018;200;0;93;0,4
07/01/2018;300;0,2;93;0,8
07/01/2018;400;0;92;0,2
07/01/2018;500;0;93;0,7
07/01/2018;600;0;94;0,9
07/01/2018;700;0;95;1
07/01/2018;800;0;94;1
07/01/2018;900;0;94;0,6
07/01/2018;1000;0;92;0,6
07/01/2018;1100;0;92;0,6
07/01/2018;1200;3,2;90;0,4
07/01/2018;1300;3,2;95;1,9
07/01/2018;1400;1,6;94;2,4
