Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;0;98;1,1
01/01/2018;100;0;98;0,7
01/01/2018;200;0;98;1,2
01/01/2018;300;0;98;1,1
01/01/2018;400;0;98;1,3
01/01/2018;500;0;98;1
01/01/2018;600;0;97;0,4
01/01/2018;700;0;98;0,6
01/01/2018;800;0;98;0,7
01/01/2018;900;0;98;1,1
01/01/2018;1000;0;97;1,2
01/01/2018;1100;0;95;1,5
01/01/2018;1200;0;90;2,2
01/01/2018;1300;0;82;2
01/01/2018;1400;0;83;2,3
01/01/2018;1500;0;83;2,4
01/01/2018;1600;0;84;1,5
01/01/2018;1700;0;72;2,7
01/01/2018;1800;0;75;2,1
01/01/2018;1900;0;73;1,8
01/01/2018;2000;0;70;1,2
01/01/2018;2100;0;73;0,6
01/01/2018;2200;0;85;0,5
01/01/2018;2300;0;93;0,2
02/01/2018;0;0;96;0,3
02/01/2018;100;0;98;0,6
02/01/2018;200;0;99;0,6
02/01/2018;300;0;99;1
02/01/2018;400;0;99;1
02/01/2018;500;0;99;0,9
02/01/2018;600;0;99;1,2
02/01/2018;700;0;99;1,7
02/01/2018;800;0;99;1,2
02/01/2018;900;0;99;0,8
02/01/2018;1000;0;99;0,6
02/01/2018;1100;0;98;0,8
02/01/2018;1200;0;94;0,8
02/01/2018;1300;0;85;1
02/01/2018;1400;0;86;0,9
02/01/2018;1500;0;75;1,3
02/01/2018;1600;1,8;93;1,1
02/01/2018;1700;0,4;97;0,9
02/01/2018;1800;0,2;96;2
02/01/2018;1900;0;79;2,2
02/01/2018;2000;0;78;1,8
02/01/2018;2100;0,2;88;0,8
02/01/2018;2200;0;95;1,2
02/01/2018;2300;0;94;1,1
03/01/2018;0;0;92;1,5
03/01/2018;100;0;92;1,2
03/01/2018;200;0;91;1,3
03/01/2018;300;0;91;1
03/01/2018;400;0;92;1,5
03/01/2018;500;0;92;1,4
03/01/2018;600;0;93;1,7
03/01/2018;700;0;92;0,9
03/01/2018;800;0;95;1
03/01/2018;900;0,4;97;1,1
03/01/2018;1000;0,8;98;2,3
03/01/2018;1100;0;97;2,6
03/01/2018;1200;0;93;2,4
03/01/2018;1300;0;95;2,1
03/01/2018;1400;0;92;2,6
03/01/2018;1500;0,2;89;1,9
03/01/2018;1600;0,4;93;2,6
03/01/2018;1700;0;88;2,9
03/01/2018;1800;0,2;95;2,2
03/01/2018;1900;0,4;94;1,7
03/01/2018;2000;7;99;1,5
03/01/2018;2100;1,2;99;1,2
03/01/2018;2200;0,4;99;1,4
03/01/2018;2300;1;99;0,6
04/01/2018;0;4;99;1,5
04/01/2018;100;1,2;99;1,1
04/01/2018;200;0;99;1,1
04/01/2018;300;0,2;99;1,2
04/01/2018;400;0,2;99;1,4
04/01/2018;500;0;99;1
04/01/2018;600;0;99;1,3
04/01/2018;700;0;99;0,9
04/01/2018;800;0;99;1,8
04/01/2018;900;0;99;2
