Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;0;99;1,2
01/01/2018;100;0;99;2,1
01/01/2018;200;0;100;2,6
01/01/2018;300;0;100;3,5
01/01/2018;400;0;100;1,9
01/01/2018;500;0;100;2
01/01/2018;600;0;100;1,3
01/01/2018;700;0,2;100;2,2
01/01/2018;800;0;100;2,8
01/01/2018;900;0;100;2,6
01/01/2018;1000;0;100;2,9
01/01/2018;1100;0;99;3,6
01/01/2018;1200;0;96;4,4
01/01/2018;1300;0;93;3,3
01/01/2018;1400;0;84;4,2
01/01/2018;1500;0;75;4,3
01/01/2018;1600;0;71;5,6
01/01/2018;1700;0;90;3,6
01/01/2018;1800;0;75;5,3
01/01/2018;1900;0;65;4,5
01/01/2018;2000;0;67;6,7
01/01/2018;2100;0;66;2,7
01/01/2018;2200;0;78;0,5
01/01/2018;2300;0;90;10
02/01/2018;0;0;97;2
02/01/2018;100;0;100;1,8
02/01/2018;200;0;99;2,3
02/01/2018;300;0;99;2,2
02/01/2018;400;0;100;1,8
02/01/2018;500;0;100;2,7
02/01/2018;600;0;100;2,2
02/01/2018;700;0;100;2,9
02/01/2018;800;0;100;2,2
02/01/2018;900;0;100;3,3
02/01/2018;1000;14,4;100;3,3
02/01/2018;1100;0;100;3,1
02/01/2018;1200;0;99;4
02/01/2018;1300;0;97;4,7
02/01/2018;1400;0;87;6,2
02/01/2018;1500;2;95;6,3
02/01/2018;1600;0;91;6,9
02/01/2018;1700;0;74;7,8
02/01/2018;1800;0;70;7
02/01/2018;1900;0,6;91;7,5
02/01/2018;2000;0;91;4,8
02/01/2018;2100;0;92;4
02/01/2018;2200;10,2;100;2,1
02/01/2018;2300;0,2;100;1,9
03/01/2018;0;0;100;1,9
03/01/2018;100;0,2;100;1,9
03/01/2018;200;0;100;2,2
03/01/2018;300;0;100;2,7
03/01/2018;400;0;100;2,1
03/01/2018;500;0;100;2,4
03/01/2018;600;0;100;2,7
03/01/2018;700;0;99;2,1
03/01/2018;800;0;100;1,2
03/01/2018;900;0;100;1,5
03/01/2018;1000;0;100;2
03/01/2018;1100;0;100;2,6
03/01/2018;1200;0;100;3,4
03/01/2018;1300;0;97;3,6
03/01/2018;1400;0;94;3,4
03/01/2018;1500;1;98;1,9
03/01/2018;1600;0;88;4,3
03/01/2018;1700;0;78;4,3
03/01/2018;1800;0;72;5,1
