Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;0;84;3,1
01/01/2018;100;0;84;4,2
01/01/2018;200;0;87;3,9
01/01/2018;300;0,2;90;2,9
01/01/2018;400;0;92;3,8
01/01/2018;500;0,2;94;3,6
01/01/2018;600;1;94;3,4
01/01/2018;700;0;94;2,8
01/01/2018;800;0;94;3,8
01/01/2018;900;0;94;3,9
01/01/2018;1000;0;91;4,6
01/01/2018;1100;0;88;3,4
01/01/2018;1200;0;83;4,4
01/01/2018;1300;0;77;4,1
01/01/2018;1400;0;74;3,8
01/01/2018;1500;0;76;3,4
01/01/2018;1600;0;74;2,7
01/01/2018;1700;0;70;3,1
01/01/2018;1800;0;65;2,8
01/01/2018;1900;0;70;2,3
01/01/2018;2000;0;76;1,9
01/01/2018;2100;0;77;0,2
01/01/2018;2200;0;78;1,2
01/01/2018;2300;0,2;85;0,7
02/01/2018;0;0;85;1
02/01/2018;100;0;87;1,9
02/01/2018;200;0,2;90;2,9
02/01/2018;300;4,8;93;0,2
02/01/2018;400;0;94;1,2
02/01/2018;500;0;95;2,1
02/01/2018;600;0,2;95;1,9
02/01/2018;700;0;94;2,6
02/01/2018;800;0;92;0,8
02/01/2018;900;0;94;1,2
02/01/2018;1000;5,4;95;1,3
02/01/2018;1100;2,4;95;2
02/01/2018;1200;2,2;94;3,3
02/01/2018;1300;0,6;94;2,6
02/01/2018;1400;0,6;92;1,9
02/01/2018;1500;0;92;2,4
02/01/2018;1600;0;83;2,4
02/01/2018;1700;0;71;3,1
02/01/2018;1800;0;67;3,5
02/01/2018;1900;0;64;1,8
02/01/2018;2000;0,4;91;2
02/01/2018;2100;0,2;93;1,6
02/01/2018;2200;0;88;0,8
02/01/2018;2300;0,2;90;1,5
03/01/2018;0;2,2;91;3,4
03/01/2018;100;0,2;92;3,5
03/01/2018;200;0,2;91;2,2
03/01/2018;300;0;91;2,3
03/01/2018;400;0;92;4
03/01/2018;500;4,2;94;2,7
03/01/2018;600;4,2;94;2,9
03/01/2018;700;2,8;94;4,1
03/01/2018;800;0,8;94;4,3
03/01/2018;900;0;92;3,8
03/01/2018;1000;0;92;4,1
03/01/2018;1100;0;90;4,3
03/01/2018;1200;0,2;84;4,2
03/01/2018;1300;0;80;3,3
03/01/2018;1400;0;78;4,1
03/01/2018;1500;0,2;85;2,6
03/01/2018;1600;1,2;93;3,2
03/01/2018;1700;0;88;3,8
03/01/2018;1800;0;81;4
03/01/2018;1900;4,8;94;2,1
03/01/2018;2000;0,6;94;3
03/01/2018;2100;0;92;2,2
03/01/2018;2200;0;92;1,3
03/01/2018;2300;0;93;0,8
04/01/2018;0;0;92;0,5
04/01/2018;100;0;92;1,6
04/01/2018;200;0;92;1,6
04/01/2018;300;0;92;2,2
04/01/2018;400;0;92;2,2
04/01/2018;500;0;93;2,3
04/01/2018;600;0;94;1,1
04/01/2018;700;0;94;0,9
04/01/2018;800;0;94;0,8
04/01/2018;900;0;94;0,7
04/01/2018;1000;0;94;1,2
04/01/2018;1100;0;94;0,5
04/01/2018;1200;0;92;1,2
04/01/2018;1300;0;89;1,2
04/01/2018;1400;0;80;0,9
04/01/2018;1500;0,4;79;0,6
04/01/2018;1600;0,2;85;1,1
04/01/2018;1700;0;69;1,8
04/01/2018;1800;0;68;2,3
04/01/2018;1900;0;65;2,1
04/01/2018;2000;0;76;3,2
04/01/2018;2100;0;77;2,9
04/01/2018;2200;0;83;3
04/01/2018;2300;1,2;91;2,5
05/01/2018;0;0;92;2,7
05/01/2018;100;0;92;1,6
05/01/2018;200;0;93;2,3
05/01/2018;300;0;94;1,3
05/01/2018;400;0;94;0,3
05/01/2018;500;0;94;1,2
05/01/2018;600;0;95;1
05/01/2018;700;0;95;0,6
05/01/2018;800;0;94;1,7
05/01/2018;900;0;92;1,9
05/01/2018;1000;0;91;1,2
05/01/2018;1100;0;89;3,2
05/01/2018;1200;0;86;1,6
05/01/2018;1300;0;80;2,6
05/01/2018;1400;0;75;2,3
