Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;0,4;94;0,7
01/01/2018;100;0,2;95;0,4
01/01/2018;200;0;95;0,4
01/01/2018;300;0;95;0,7
01/01/2018;400;0;95;0,7
01/01/2018;500;0;95;0,7
01/01/2018;600;0;95;0,8
01/01/2018;700;0;95;0,6
01/01/2018;800;0;95;0,3
01/01/2018;900;0;95;0,3
01/01/2018;1000;0;95;0,2
01/01/2018;1100;0;95;0,6
01/01/2018;1200;0;93;1,1
01/01/2018;1300;0;75;2,5
01/01/2018;1400;0;64;2,9
01/01/2018;1500;0;62;3,3
01/01/2018;1600;0;55;2,7
01/01/2018;1700;0;53;1,1
01/01/2018;1800;0;55;2,1
01/01/2018;1900;0;52;1,6
01/01/2018;2000;0;72;1,7
01/01/2018;2100;0;77;1,5
01/01/2018;2200;0;80;0,9
01/01/2018;2300;2;92;0,6
02/01/2018;0;0,2;94;0,8
02/01/2018;100;0;95;0,8
02/01/2018;200;0;95;0,3
02/01/2018;300;0;95;0,3
02/01/2018;400;0;95;0,4
02/01/2018;500;0;96;0,6
02/01/2018;600;0;96;0,6
02/01/2018;700;0;96;0,3
02/01/2018;800;0;96;0,5
02/01/2018;900;0;96;0,7
02/01/2018;1000;0;96;1
02/01/2018;1100;0;95;2,5
02/01/2018;1200;0;87;1,8
02/01/2018;1300;0;75;2,1
02/01/2018;1400;0;68;3,5
02/01/2018;1500;0;63;3,3
02/01/2018;1600;0;59;3,8
02/01/2018;1700;0;50;3,8
02/01/2018;1800;0;55;2,3
02/01/2018;1900;0;54;3
02/01/2018;2000;0;61;1,7
02/01/2018;2100;0;67;1,6
02/01/2018;2200;0;74;1,1
02/01/2018;2300;0;77;1,4
03/01/2018;0;0;78;1,5
03/01/2018;100;0;78;1,1
03/01/2018;200;0;80;0,8
03/01/2018;300;0;88;0,7
03/01/2018;400;0;89;0,4
03/01/2018;500;0;92;0,7
03/01/2018;600;0;91;0,5
03/01/2018;700;0;91;0,3
03/01/2018;800;0;92;0,3
03/01/2018;900;0;92;0,3
03/01/2018;1000;0,6;93;0,9
03/01/2018;1100;0;93;0,6
03/01/2018;1200;0;92;0,9
03/01/2018;1300;0;79;2,3
03/01/2018;1400;0,6;91;1,7
03/01/2018;1500;0;88;2,5
03/01/2018;1600;0;87;2,5
03/01/2018;1700;0,2;77;2,4
03/01/2018;1800;0;75;2,5
03/01/2018;1900;0;72;2,9
03/01/2018;2000;0;73;1,7
03/01/2018;2100;0;71;3
03/01/2018;2200;0;76;2,2
03/01/2018;2300;0;80;1
04/01/2018;0;0;90;0,3
04/01/2018;100;0;93;0,6
04/01/2018;200;0;94;0,2
04/01/2018;300;0;94;0,3
04/01/2018;400;0;95;0,5
04/01/2018;500;0;95;0,2
04/01/2018;600;0;96;0,6
04/01/2018;700;0;96;0,4
04/01/2018;800;0;96;0,6
04/01/2018;900;0;96;0,5
04/01/2018;1000;0;96;0,4
04/01/2018;1100;0;96;0,6
04/01/2018;1200;0;96;1
04/01/2018;1300;0;79;0,9
04/01/2018;1400;0;69;2,1
04/01/2018;1500;0;68;3,3
04/01/2018;1600;0;65;2,8
04/01/2018;1700;0;65;3,3
04/01/2018;1800;0;65;4
04/01/2018;1900;0;66;3,9
04/01/2018;2000;0;67;3,7
04/01/2018;2100;0;70;4,2
04/01/2018;2200;0;74;3,4
04/01/2018;2300;0;75;1,5
05/01/2018;0;0;79;0,6
05/01/2018;100;0;83;0,7
05/01/2018;200;0;84;1,2
05/01/2018;300;0;81;1,4
05/01/2018;400;0;90;0,6
05/01/2018;500;0;94;0,6
05/01/2018;600;0;95;0,6
05/01/2018;700;0;96;0,2
05/01/2018;800;0;96;0,4
05/01/2018;900;0;96;0,3
05/01/2018;1000;0;96;0,3
05/01/2018;1100;0;96;0,6
05/01/2018;1200;0;83;0,8
05/01/2018;1300;0;71;1
05/01/2018;1400;0;67;2,5
05/01/2018;1500;0;69;2,9
05/01/2018;1600;0;68;3,4
05/01/2018;1700;0;68;3,9
05/01/2018;1800;0;68;4
05/01/2018;1900;0;69;4,2
05/01/2018;2000;0;69;5,3
05/01/2018;2100;0;72;3,8
05/01/2018;2200;0;76;2,1
05/01/2018;2300;0;78;1,2
06/01/2018;0;0;86;0,5
06/01/2018;100;0;91;0,4
06/01/2018;200;0;92;0,2
06/01/2018;300;0;94;0,3
06/01/2018;400;0;95;0,9
06/01/2018;500;0;95;0,5
06/01/2018;600;0;96;0,4
06/01/2018;700;0;96;0,3
06/01/2018;800;0;96;0,3
06/01/2018;900;0;96;0,7
06/01/2018;1000;0;96;0,7
06/01/2018;1100;0;96;0,8
06/01/2018;1200;0;91;0,7
06/01/2018;1300;0;75;0,9
06/01/2018;1400;0;62;1,5
06/01/2018;1500;0;66;2,8
06/01/2018;1600;0;69;3,1
06/01/2018;1700;0;73;3,3
06/01/2018;1800;0;70;3
06/01/2018;1900;0;66;2,9
06/01/2018;2000;0;71;1,2
06/01/2018;2100;0;78;0,8
06/01/2018;2200;0;84;4
06/01/2018;2300;0;83;2,5
07/01/2018;0;0;83;2,5
07/01/2018;100;0;84;0,7
07/01/2018;200;1;92;0,5
07/01/2018;300;2,8;94;1,4
07/01/2018;400;0,2;93;1,3
07/01/2018;500;0;93;2,1
07/01/2018;600;0,2;90;3,1
07/01/2018;700;0,4;89;2,5
07/01/2018;800;0,4;86;2,7
07/01/2018;900;0;79;3,3
07/01/2018;1000;0;75;3,3
07/01/2018;1100;0;77;2,4
07/01/2018;1200;0;77;2,9
07/01/2018;1300;1,2;86;2,7
07/01/2018;1400;0,2;92;1,1
07/01/2018;1500;0,8;94;2,2
07/01/2018;1600;0,2;86;3
07/01/2018;1700;0,2;89;3,4
07/01/2018;1800;0,2;92;3,3
07/01/2018;1900;0,6;90;2,7
07/01/2018;2000;7,8;91;3,7
07/01/2018;2100;0,6;89;3,7
07/01/2018;2200;0;85;2,9
07/01/2018;2300;0;83;3,3
08/01/2018;0;0;83;4,3
08/01/2018;100;0;83;4,3
08/01/2018;200;0;83;4,4
08/01/2018;300;0;82;4,1
08/01/2018;400;0;84;2,9
08/01/2018;500;0;84;3
08/01/2018;600;0;82;2,5
08/01/2018;700;0;82;1,2
08/01/2018;800;0;82;2
08/01/2018;900;0;81;1,8
08/01/2018;1000;0;81;2,9
08/01/2018;1100;0;81;2,6
08/01/2018;1200;0;84;2,5
08/01/2018;1300;0;84;3
08/01/2018;1400;0;82;3,5
08/01/2018;1500;0;78;3,1
08/01/2018;1600;0;79;3,8
08/01/2018;1700;0,4;84;3,7
08/01/2018;1800;0;85;3,5
08/01/2018;1900;0,2;84;3,8
08/01/2018;2000;0;80;3,1
08/01/2018;2100;0;78;2,4
08/01/2018;2200;0,2;84;2,5
08/01/2018;2300;0;83;1,7
09/01/2018;0;0;84;1,7
09/01/2018;100;0;82;2,8
09/01/2018;200;0;81;1,7
09/01/2018;300;0;81;1,8
09/01/2018;400;2,4;90;1,5
09/01/2018;500;6,6;94;0,8
09/01/2018;600;4,2;95;0,7
09/01/2018;700;0,4;95;0,5
09/01/2018;800;3;95;0,6
09/01/2018;900;1;95;1
09/01/2018;1000;0,8;95;0,6
09/01/2018;1100;0;95;0,7
09/01/2018;1200;0,4;95;1,4
09/01/2018;1300;0;95;1,4
09/01/2018;1400;0;90;0,6
09/01/2018;1500;0,2;88;0,5
09/01/2018;1600;1;89;0,5
09/01/2018;1700;0,6;91;0,4
09/01/2018;1800;0,2;90;0,5
09/01/2018;1900;0,2;92;0,9
09/01/2018;2000;0;92;1,2
09/01/2018;2100;0,2;93;1,4
09/01/2018;2200;0,2;94;1
09/01/2018;2300;0;94;0,7
10/01/2018;0;0;94;0,4
10/01/2018;100;0;94;0,4
10/01/2018;200;0;95;0,8
10/01/2018;300;0;95;0,8
10/01/2018;400;0;95;0,5
10/01/2018;500;0;95;0,4
10/01/2018;600;0;96;0,2
10/01/2018;700;0;96;0,4
10/01/2018;800;0;96;0,3
10/01/2018;900;0;96;0,3
10/01/2018;1000;0,4;96;0,5
10/01/2018;1100;0;96;1
10/01/2018;1200;0;96;0,4
10/01/2018;1300;0;95;0,5
10/01/2018;1400;0;87;1,1
10/01/2018;1500;0;80;1
10/01/2018;1600;0;77;2,8
10/01/2018;1700;0;77;2,7
10/01/2018;1800;0;78;3,6
10/01/2018;1900;0;79;4,6
10/01/2018;2000;0;84;4,6
10/01/2018;2100;0;85;2,2
10/01/2018;2200;1,2;92;1,6
10/01/2018;2300;2,6;93;0,8
11/01/2018;0;0,2;93;1,8
11/01/2018;100;0;93;3,6
11/01/2018;200;0;89;1,7
11/01/2018;300;0;90;0,9
11/01/2018;400;0;93;0,4
11/01/2018;500;0;94;0,8
11/01/2018;600;0;95;0,4
11/01/2018;700;0;95;0,4
11/01/2018;800;0;96;0,3
11/01/2018;900;0;96;0,6
11/01/2018;1000;0;96;0,7
11/01/2018;1100;0;96;0,7
11/01/2018;1200;0;95;0,7
11/01/2018;1300;0;92;1,2
11/01/2018;1400;0;84;2
11/01/2018;1500;0;85;1,1
11/01/2018;1600;0,2;77;1,2
11/01/2018;1700;0;73;1,3
11/01/2018;1800;0;77;2,1
11/01/2018;1900;0;86;3,5
11/01/2018;2000;16,4;94;2,9
11/01/2018;2100;0;94;0,7
11/01/2018;2200;0,4;93;1,5
11/01/2018;2300;0;94;0,7
12/01/2018;0;0,2;94;1,4
12/01/2018;100;0;94;0,5
12/01/2018;200;0;95;0,4
12/01/2018;300;0;95;0,6
12/01/2018;400;0,4;95;0,7
12/01/2018;500;0;95;0,8
12/01/2018;600;0;95;0,6
12/01/2018;700;0;95;0,9
12/01/2018;800;0;95;0,8
12/01/2018;900;0;96;0,3
12/01/2018;1000;0;96;0,6
12/01/2018;1100;0,2;95;0,8
12/01/2018;1200;0;89;1
12/01/2018;1300;0;83;1,8
12/01/2018;1400;0;80;1,2
12/01/2018;1500;0;69;2
12/01/2018;1600;0;67;1,7
12/01/2018;1700;0;68;1,2
12/01/2018;1800;0;68;0,8
12/01/2018;1900;0;71;1,9
12/01/2018;2000;0;77;0,5
12/01/2018;2100;0;88;0,3
12/01/2018;2200;0;93;0,6
12/01/2018;2300;0;93;0,6
13/01/2018;0;0;94;0,4
13/01/2018;100;0;94;0,9
13/01/2018;200;0;91;0,4
13/01/2018;300;0;93;0,7
13/01/2018;400;0;93;0,5
13/01/2018;500;0;94;0,4
13/01/2018;600;0,2;95;0,6
13/01/2018;700;0;95;0,5
13/01/2018;800;0;91;0,6
13/01/2018;900;0;94;0,4
13/01/2018;1000;0;94;0,8
13/01/2018;1100;0;91;0,3
13/01/2018;1200;0;87;0,7
13/01/2018;1300;0;82;1,1
13/01/2018;1400;0;77;1,5
13/01/2018;1500;0;71;1,8
13/01/2018;1600;0;67;3,6
13/01/2018;1700;0;64;4
13/01/2018;1800;0;65;3,1
13/01/2018;1900;0;59;2,4
13/01/2018;2000;0;58;2,2
13/01/2018;2100;0;66;1,4
13/01/2018;2200;0;77;0,5
13/01/2018;2300;0;83;0,9
14/01/2018;0;0;82;0,9
14/01/2018;100;0;86;1,2
14/01/2018;200;0;87;0,8
14/01/2018;300;0;87;0,8
14/01/2018;400;0;88;0,5
14/01/2018;500;0;91;0,5
14/01/2018;600;0;92;0,3
14/01/2018;700;0;93;0,5
14/01/2018;800;0;93;0,3
14/01/2018;900;0;93;0,4
14/01/2018;1000;0;92;0,6
14/01/2018;1100;0;83;0,9
14/01/2018;1200;0;82;1,3
14/01/2018;1300;0;71;1,3
14/01/2018;1400;0;68;1,5
14/01/2018;1500;0;63;1,5
14/01/2018;1600;0;59;2,1
14/01/2018;1700;0;58;2,9
14/01/2018;1800;0;52;2
14/01/2018;1900;0;50;2,4
14/01/2018;2000;0;53;3,9
14/01/2018;2100;0;61;1,9
14/01/2018;2200;0;69;1,9
14/01/2018;2300;0;65;1,5
15/01/2018;0;0;65;1,1
15/01/2018;100;0;70;0,9
15/01/2018;200;0;80;1,2
15/01/2018;300;0;88;1,2
15/01/2018;400;0;71;0,6
15/01/2018;500;0;78;0,9
15/01/2018;600;0;76;1,2
15/01/2018;700;0;75;1,4
15/01/2018;800;0;75;1,6
15/01/2018;900;0;79;1,6
15/01/2018;1000;0;80;4,3
15/01/2018;1100;0;74;2
15/01/2018;1200;0;74;0,6
15/01/2018;1300;0;70;2,3
15/01/2018;1400;0;68;2,6
15/01/2018;1500;0;64;3,8
15/01/2018;1600;0;58;1,8
15/01/2018;1700;0;56;2,1
15/01/2018;1800;0;53;1,4
15/01/2018;1900;0;49;3,1
15/01/2018;2000;0;57;1,2
15/01/2018;2100;0;71;0,6
15/01/2018;2200;0;75;2,9
15/01/2018;2300;0;81;0,4
16/01/2018;0;0;84;0,5
16/01/2018;100;0;89;0,4
16/01/2018;200;0;89;0,6
16/01/2018;300;0;88;0,6
16/01/2018;400;0;90;0,5
16/01/2018;500;0;91;0,8
16/01/2018;600;16;93;2,1
16/01/2018;700;13,4;94;0,9
16/01/2018;800;2,8;95;0,5
16/01/2018;900;3;95;0,7
16/01/2018;1000;0,6;95;1,3
16/01/2018;1100;0;95;1,3
16/01/2018;1200;0;91;0,7
16/01/2018;1300;0;81;1,1
16/01/2018;1400;0;76;1,2
16/01/2018;1500;0;72;1,9
16/01/2018;1600;0;70;1,3
16/01/2018;1700;0;66;1,3
16/01/2018;1800;0;61;1,3
16/01/2018;1900;0;61;1
16/01/2018;2000;0;62;2
16/01/2018;2100;0;75;2,1
16/01/2018;2200;0;75;2
16/01/2018;2300;0,2;87;0,4
17/01/2018;0;4,2;93;0,3
17/01/2018;100;3,2;94;0,4
17/01/2018;200;1,4;94;0,3
17/01/2018;300;0,2;95;0,4
17/01/2018;400;0;95;0,4
17/01/2018;500;0,6;95;0,3
17/01/2018;600;0;95;0,5
17/01/2018;700;0;95;0,7
17/01/2018;800;0,2;95;0,4
17/01/2018;900;0;95;0,4
17/01/2018;1000;0;96;0,5
17/01/2018;1100;0;96;0,4
17/01/2018;1200;0;95;0,7
17/01/2018;1300;0;91;1,3
17/01/2018;1400;0,2;78;1
17/01/2018;1500;0;76;0,9
17/01/2018;1600;0;72;0,7
17/01/2018;1700;0;77;1,9
17/01/2018;1800;0;79;1,9
17/01/2018;1900;0;77;1,6
17/01/2018;2000;0;77;1,4
17/01/2018;2100;0;82;1,2
17/01/2018;2200;0;86;0,3
17/01/2018;2300;0;91;0,4
18/01/2018;0;0;92;0,3
18/01/2018;100;0;93;0,5
