Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;0;89;0
01/01/2018;100;0;90;0
01/01/2018;200;0;90;0
01/01/2018;300;0;93;0
01/01/2018;400;0;94;0
01/01/2018;500;0;95;0
01/01/2018;600;0;95;0
01/01/2018;700;0;95;0
01/01/2018;800;0;95;0
01/01/2018;900;0;96;0
01/01/2018;1000;0;96;0
01/01/2018;1100;0;96;0
01/01/2018;1200;0;94;0
01/01/2018;1300;0;92;0
01/01/2018;1400;0;90;0
01/01/2018;1500;0;88;0
01/01/2018;1600;0;89;0
01/01/2018;1700;0;82;0,2
01/01/2018;1800;0;78;0
01/01/2018;1900;0;73;0
01/01/2018;2000;0;75;0
01/01/2018;2100;0;80;0
01/01/2018;2200;0;84;0
01/01/2018;2300;0;80;0
02/01/2018;0;0;81;0
02/01/2018;100;0;85;0
02/01/2018;200;0;89;0
02/01/2018;300;0;92;0
02/01/2018;400;0;93;0
02/01/2018;500;0;93;0
02/01/2018;600;0;94;0
02/01/2018;700;0;95;0
02/01/2018;800;9,6;96;0
02/01/2018;900;0,8;96;0
02/01/2018;1000;0;95;0
02/01/2018;1100;0;95;0
02/01/2018;1200;0;94;0
02/01/2018;1300;0;81;0
02/01/2018;1400;0;78;0
02/01/2018;1500;0;79;0
02/01/2018;1600;0;80;0
02/01/2018;1700;0;78;0
02/01/2018;1800;0,4;92;0
02/01/2018;1900;1,2;94;0
02/01/2018;2000;1;93;0
02/01/2018;2100;2;94;0
02/01/2018;2200;0,8;95;0
02/01/2018;2300;0,2;96;0
03/01/2018;0;0;96;0
03/01/2018;100;0;97;0
03/01/2018;200;0;97;0
03/01/2018;300;0;97;0
03/01/2018;400;0,2;97;0
03/01/2018;500;0;97;0
03/01/2018;600;0,2;97;0
03/01/2018;700;2,4;97;0
03/01/2018;800;0,8;97;0
03/01/2018;900;0,2;97;0
03/01/2018;1000;0;97;0
03/01/2018;1100;0;97;0
03/01/2018;1200;0;97;0
03/01/2018;1300;0;96;0
03/01/2018;1400;0;84;0
03/01/2018;1500;0;78;0
03/01/2018;1600;2;90;0
03/01/2018;1700;0;83;0
03/01/2018;1800;0;84;0
03/01/2018;1900;0,8;85;0
03/01/2018;2000;0;75;0
03/01/2018;2100;0;69;0
03/01/2018;2200;0;80;0
03/01/2018;2300;0;90;0
04/01/2018;0;0;91;0
04/01/2018;100;0;89;0
04/01/2018;200;0,2;90;0
04/01/2018;300;0;87;0
04/01/2018;400;0;80;0
04/01/2018;500;0;78;0
04/01/2018;600;0;82;0
04/01/2018;700;0;85;0
04/01/2018;800;0;89;0
04/01/2018;900;0;91;0
04/01/2018;1000;0;92;0
04/01/2018;1100;0;83;0
04/01/2018;1200;0;77;0
04/01/2018;1300;0;67;0
04/01/2018;1400;0;62;0
04/01/2018;1500;0;59;0
04/01/2018;1600;0;55;0
04/01/2018;1700;0;54;0
04/01/2018;1800;0;53;0
04/01/2018;1900;0;50;0
04/01/2018;2000;0;50;0
04/01/2018;2100;0;52;0
04/01/2018;2200;0;61;0
04/01/2018;2300;0;72;0
05/01/2018;0;0;81;0
05/01/2018;100;0;82;0
05/01/2018;200;0;84;0
05/01/2018;300;0;86;0
05/01/2018;400;0;86;0
05/01/2018;500;0;84;0
05/01/2018;600;0;85;0
05/01/2018;700;0;86;0
05/01/2018;800;0;84;0
05/01/2018;900;0;81;0
05/01/2018;1000;0;78;0
05/01/2018;1100;0;71;0
05/01/2018;1200;0;65;0
05/01/2018;1300;0;63;0
05/01/2018;1400;0;58;0
05/01/2018;1500;0;50;0
05/01/2018;1600;0;45;0
05/01/2018;1700;0;43;0
05/01/2018;1800;0;46;0
05/01/2018;1900;0;46;0
05/01/2018;2000;0;46;0
05/01/2018;2100;0;45;0
05/01/2018;2200;0;54;0
05/01/2018;2300;0;67;0
06/01/2018;0;0;77;0
06/01/2018;100;0;84;0
06/01/2018;200;0;86;0
06/01/2018;300;0;87;0
06/01/2018;400;0;89;0
06/01/2018;500;0;91;0
06/01/2018;600;0;92;0
06/01/2018;700;0;93;0
06/01/2018;800;0;94;0
06/01/2018;900;0;95;0
06/01/2018;1000;0;95;0
06/01/2018;1100;0;94;0
06/01/2018;1200;0;80;0
06/01/2018;1300;0;78;0
06/01/2018;1400;0;72;0
06/01/2018;1500;0;71;0
06/01/2018;1600;0;67;0
06/01/2018;1700;0;62;0
06/01/2018;1800;0;61;0
06/01/2018;1900;8,4;95;5,7
06/01/2018;2000;0,2;95;0
06/01/2018;2100;0;74;0
06/01/2018;2200;0;76;0
06/01/2018;2300;0;86;0
07/01/2018;0;0;87;0
07/01/2018;100;0,4;87;0
07/01/2018;200;0,2;90;0
07/01/2018;300;0;88;0
07/01/2018;400;0;88;0
07/01/2018;500;0;88;0
07/01/2018;600;0;88;0
07/01/2018;700;0;88;0
07/01/2018;800;0;88;0
07/01/2018;900;0;87;0
07/01/2018;1000;0;87;0
07/01/2018;1100;0;85;0
07/01/2018;1200;0;84;0,1
07/01/2018;1300;0;79;0
07/01/2018;1400;0;78;0,6
07/01/2018;1500;0;73;5,7
07/01/2018;1600;0;71;0,3
07/01/2018;1700;0;72;0,2
07/01/2018;1800;0;71;0
07/01/2018;1900;0;72;0
07/01/2018;2000;0;76;0
07/01/2018;2100;0;79;0
07/01/2018;2200;0;80;0
07/01/2018;2300;0;82;0
08/01/2018;0;0;84;0
08/01/2018;100;0;86;0
08/01/2018;200;0;87;0
08/01/2018;300;0,2;94;0
08/01/2018;400;0;93;0
08/01/2018;500;0;92;0
08/01/2018;600;0;92;0
08/01/2018;700;0;92;0
08/01/2018;800;0;91;0
08/01/2018;900;0;91;0
08/01/2018;1000;0;90;0
08/01/2018;1100;0,2;89;0
08/01/2018;1200;0;92;0
08/01/2018;1300;0;87;0
08/01/2018;1400;0;79;0
08/01/2018;1500;0;74;0,4
08/01/2018;1600;1;87;0
08/01/2018;1700;0;83;0
08/01/2018;1800;0;77;0,2
08/01/2018;1900;0,2;86;0
08/01/2018;2000;0,4;86;0,1
08/01/2018;2100;0;83;0,6
08/01/2018;2200;0;82;0
08/01/2018;2300;0;83;0
09/01/2018;0;0;82;0
09/01/2018;100;0;82;0
09/01/2018;200;0,2;89;0
09/01/2018;300;0,2;92;0
09/01/2018;400;0,4;93;0
09/01/2018;500;0,4;94;0
09/01/2018;600;0,4;94;0
09/01/2018;700;1,2;95;0
09/01/2018;800;1,4;95;0
09/01/2018;900;1;95;0
09/01/2018;1000;1;96;0
09/01/2018;1100;0,2;96;0
09/01/2018;1200;0,8;94;0
09/01/2018;1300;0,8;94;0
09/01/2018;1400;1,2;94;0
09/01/2018;1500;0,4;94;0
09/01/2018;1600;0,2;92;0
09/01/2018;1700;0,6;91;0
09/01/2018;1800;0,2;91;0
09/01/2018;1900;0,6;92;0
09/01/2018;2000;0,2;92;0
09/01/2018;2100;0;91;0
09/01/2018;2200;0,2;93;0
09/01/2018;2300;0,2;95;0
10/01/2018;0;0;95;0
10/01/2018;100;0;94;0
10/01/2018;200;0;94;0
10/01/2018;300;0,2;93;0
10/01/2018;400;0;93;0
10/01/2018;500;0;94;0
10/01/2018;600;0;94;0
10/01/2018;700;0;94;0
10/01/2018;800;0;93;0
10/01/2018;900;0;93;0
10/01/2018;1000;0;92;0
10/01/2018;1100;0;87;0
10/01/2018;1200;0;81;0
10/01/2018;1300;0;75;0
10/01/2018;1400;0;73;0
10/01/2018;1500;0;70;0
10/01/2018;1600;0;68;0
10/01/2018;1700;0;70;0
10/01/2018;1800;0;68;0
10/01/2018;1900;0;66;0
10/01/2018;2000;0;71;0
10/01/2018;2100;0,6;85;0
10/01/2018;2200;0,4;89;0
10/01/2018;2300;0;90;0
11/01/2018;0;0;87;0
11/01/2018;100;0;89;0
11/01/2018;200;0;91;0
