Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;0;81;0,1
01/01/2018;100;0;85;0,2
01/01/2018;200;0;87;0
01/01/2018;300;0;90;0
01/01/2018;400;0;90;0
01/01/2018;500;0;90;0
01/01/2018;600;0;89;0
01/01/2018;700;0;91;0
01/01/2018;800;0;91;1,4
01/01/2018;900;0;86;0,6
01/01/2018;1000;0;85;0,2
01/01/2018;1100;0;86;1
01/01/2018;1200;0;86;1,4
01/01/2018;1300;0;82;1,6
01/01/2018;1400;0;80;2,3
01/01/2018;1500;0;74;1,4
01/01/2018;1600;0;70;3
01/01/2018;1700;0;64;2,2
01/01/2018;1800;0;61;1
01/01/2018;1900;0;59;1,2
01/01/2018;2000;0;62;2,5
01/01/2018;2100;0;60;0
01/01/2018;2200;0;78;0
01/01/2018;2300;0;84;0
02/01/2018;0;1,8;86;2,1
02/01/2018;100;4;90;0,1
02/01/2018;200;0,2;91;0
02/01/2018;300;0;92;0,6
02/01/2018;400;0;92;0
02/01/2018;500;0;92;0
02/01/2018;600;0;93;0
02/01/2018;700;0;93;0
02/01/2018;800;0,2;93;0
02/01/2018;900;0;94;0
02/01/2018;1000;0;94;0
02/01/2018;1100;0;93;0
02/01/2018;1200;0;82;2,6
02/01/2018;1300;0;75;3,7
02/01/2018;1400;0;74;3,1
02/01/2018;1500;0;75;4,3
02/01/2018;1600;0;75;3,9
02/01/2018;1700;0;71;2,8
02/01/2018;1800;0;67;2,7
02/01/2018;1900;0;63;3,1
02/01/2018;2000;0;63;2,4
02/01/2018;2100;0;70;2,8
02/01/2018;2200;2,2;90;0,8
02/01/2018;2300;0,2;90;0,7
03/01/2018;0;0;90;0
03/01/2018;100;0;91;0
03/01/2018;200;0;91;0,3
03/01/2018;300;0;90;0
03/01/2018;400;0;92;0
03/01/2018;500;0;92;0,5
03/01/2018;600;0;87;1,3
03/01/2018;700;0,2;87;1,7
03/01/2018;800;0;87;1,2
03/01/2018;900;0;87;0,1
03/01/2018;1000;0;88;0,4
03/01/2018;1100;0;89;0,1
03/01/2018;1200;0,8;92;1,2
03/01/2018;1300;0,2;92;2,1
03/01/2018;1400;0;91;1,5
03/01/2018;1500;0;83;2,3
03/01/2018;1600;0;78;0,9
03/01/2018;1700;0,2;76;1,3
03/01/2018;1800;2,6;90;2,6
03/01/2018;1900;1,8;90;0,2
03/01/2018;2000;0;89;2
03/01/2018;2100;0;86;0,4
03/01/2018;2200;0;86;1,2
03/01/2018;2300;4,6;91;0
04/01/2018;0;0,2;92;0,1
04/01/2018;100;0;93;0
04/01/2018;200;1,8;93;0,1
04/01/2018;300;0;93;0
04/01/2018;400;0;94;0
04/01/2018;500;0;94;0
04/01/2018;600;0;94;0
04/01/2018;700;0;94;0
04/01/2018;800;0;95;0
04/01/2018;900;0;95;0
04/01/2018;1000;0;95;0
04/01/2018;1100;0;95;0,5
04/01/2018;1200;0;77;0,9
04/01/2018;1300;0;59;1,5
04/01/2018;1400;0;52;1,1
04/01/2018;1500;0;50;1
04/01/2018;1600;0;48;1,7
04/01/2018;1700;0;42;1,5
04/01/2018;1800;0;39;2,1
04/01/2018;1900;0;33;1,9
04/01/2018;2000;0;35;2,9
04/01/2018;2100;0;38;2,9
04/01/2018;2200;0;53;1,5
04/01/2018;2300;0;70;2,1
05/01/2018;0;0;70;0
05/01/2018;100;0;72;0,2
05/01/2018;200;0;83;0
05/01/2018;300;0;88;0
05/01/2018;400;0;91;0
05/01/2018;500;0;91;0
05/01/2018;600;0;92;0
05/01/2018;700;0;92;0
05/01/2018;800;0;92;0
05/01/2018;900;0;93;1,3
05/01/2018;1000;0;92;1
05/01/2018;1100;0;83;0,1
05/01/2018;1200;0;73;0,8
05/01/2018;1300;0;69;1,8
05/01/2018;1400;0;64;2
05/01/2018;1500;0;62;2
05/01/2018;1600;0;57;1
05/01/2018;1700;0;52;1
05/01/2018;1800;0;48;1,1
05/01/2018;1900;0;44;1,5
05/01/2018;2000;0;43;1,1
05/01/2018;2100;0;46;1,2
05/01/2018;2200;0;62;0
05/01/2018;2300;0;73;0
06/01/2018;0;0;76;0,5
06/01/2018;100;0;73;1,1
06/01/2018;200;0;73;0,9
06/01/2018;300;0;79;0,1
06/01/2018;400;0;81;0
06/01/2018;500;0;85;0
06/01/2018;600;0;87;0
06/01/2018;700;0;88;0,2
06/01/2018;800;0;86;0,8
06/01/2018;900;0;87;0,1
06/01/2018;1000;0;88;0
06/01/2018;1100;0;86;0,2
06/01/2018;1200;0;83;0
06/01/2018;1300;0;79;0,8
06/01/2018;1400;0;77;1,1
06/01/2018;1500;0;73;2,5
06/01/2018;1600;0;66;2,5
06/01/2018;1700;0;65;1,5
06/01/2018;1800;0;64;1,1
06/01/2018;1900;0;67;1,5
06/01/2018;2000;0;65;0
06/01/2018;2100;0;73;1,7
06/01/2018;2200;5;88;3,3
06/01/2018;2300;4;92;1,4
07/01/2018;0;2,6;93;0,2
07/01/2018;100;0,6;93;0,5
07/01/2018;200;1,8;93;0,6
07/01/2018;300;6,6;93;1,7
07/01/2018;400;0;92;0
07/01/2018;500;3;92;0,1
07/01/2018;600;1,8;93;2,8
07/01/2018;700;0;92;0,9
07/01/2018;800;0,4;92;0,2
07/01/2018;900;0,2;92;0,5
07/01/2018;1000;0;91;0,4
07/01/2018;1100;0;89;0,2
07/01/2018;1200;0;85;1,8
07/01/2018;1300;2,4;85;0,2
07/01/2018;1400;2,2;90;0,5
07/01/2018;1500;1,6;90;0,8
07/01/2018;1600;4,6;91;0,1
07/01/2018;1700;0,4;90;2,1
07/01/2018;1800;0,2;88;2,6
07/01/2018;1900;0,6;89;2,2
07/01/2018;2000;4,2;91;0,8
07/01/2018;2100;0,6;92;0,8
07/01/2018;2200;1;93;0
07/01/2018;2300;0,8;93;0,9
08/01/2018;0;1,2;93;0,1
08/01/2018;100;0,8;93;0,5
08/01/2018;200;1;92;1,9
08/01/2018;300;0,2;91;2,5
08/01/2018;400;0,2;90;0,1
08/01/2018;500;0;92;0
08/01/2018;600;0,2;93;0
08/01/2018;700;0;93;0
08/01/2018;800;0,6;93;0
08/01/2018;900;0;93;0
08/01/2018;1000;0,2;93;0,1
08/01/2018;1100;0,4;93;1,1
08/01/2018;1200;0,4;91;0,8
08/01/2018;1300;0,4;89;0,4
08/01/2018;1400;0,8;86;0,2
08/01/2018;1500;0,4;85;0,4
08/01/2018;1600;0,4;85;0,9
