Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;2,4;99;0,1
01/01/2018;100;0,4;99;0,4
01/01/2018;200;0,4;99;0,7
01/01/2018;300;1,4;99;3,4
01/01/2018;400;0,2;99;3
01/01/2018;500;0;99;2,3
01/01/2018;600;0;99;2,4
01/01/2018;700;0;98;2,2
01/01/2018;800;0,4;97;3
01/01/2018;900;4;96;3
01/01/2018;1000;0;97;3,1
01/01/2018;1100;0;96;3,4
01/01/2018;1200;0;88;3,4
01/01/2018;1300;0;84;3,1
01/01/2018;1400;0;79;3,1
01/01/2018;1500;0;77;4,6
01/01/2018;1600;0;73;5,1
01/01/2018;1700;0;65;3,2
01/01/2018;1800;0;66;3,1
01/01/2018;1900;0,2;82;8,6
01/01/2018;2000;0;85;2,3
01/01/2018;2100;0;83;0,2
01/01/2018;2200;0;83;1,7
01/01/2018;2300;0;89;1
02/01/2018;0;0;91;1,9
02/01/2018;100;0;92;1,7
02/01/2018;200;0;93;0
02/01/2018;300;0;95;0
02/01/2018;400;0;96;0,7
02/01/2018;500;0;96;1,8
02/01/2018;600;0;95;1,6
02/01/2018;700;0;94;1,1
02/01/2018;800;0;94;1,8
02/01/2018;900;0;95;2,2
02/01/2018;1000;0;95;2,6
02/01/2018;1100;0;93;3,2
02/01/2018;1200;0;87;3,8
02/01/2018;1300;0;81;5,1
02/01/2018;1400;0;79;5,8
02/01/2018;1500;0;76;7,7
02/01/2018;1600;0;68;6,8
02/01/2018;1700;0;65;6,3
02/01/2018;1800;0;62;9,1
02/01/2018;1900;0;56;7,3
02/01/2018;2000;0;59;5,6
02/01/2018;2100;0;63;4,1
02/01/2018;2200;0;69;2,5
02/01/2018;2300;0,8;91;11,5
03/01/2018;0;2,4;95;3,1
03/01/2018;100;2,6;97;0
03/01/2018;200;0;97;0
03/01/2018;300;0,2;97;1,4
03/01/2018;400;0;97;1
03/01/2018;500;0;97;1,4
03/01/2018;600;0;97;1,6
03/01/2018;700;0;96;2,2
03/01/2018;800;0;95;2,2
03/01/2018;900;0;95;2,1
03/01/2018;1000;0,4;96;4,4
03/01/2018;1100;1,8;97;5,8
03/01/2018;1200;0,8;96;4,2
03/01/2018;1300;0,2;96;4
03/01/2018;1400;0,2;94;3,6
03/01/2018;1500;0;90;3,4
03/01/2018;1600;0;82;4,2
03/01/2018;1700;0;71;5
03/01/2018;1800;0;69;4,3
03/01/2018;1900;0;68;3
03/01/2018;2000;0;70;3,1
03/01/2018;2100;0;67;2
03/01/2018;2200;0;73;0,3
03/01/2018;2300;0;82;0,5
04/01/2018;0;0;82;0
04/01/2018;100;0;86;0,7
04/01/2018;200;0;85;0
04/01/2018;300;0;90;0
04/01/2018;400;0;92;0,5
04/01/2018;500;0;95;0,3
04/01/2018;600;0;96;0,1
04/01/2018;700;0;97;0
04/01/2018;800;0;98;0,1
04/01/2018;900;0;99;0,9
04/01/2018;1000;0;99;0
04/01/2018;1100;0;100;0,4
04/01/2018;1200;0;100;1,2
