Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;null;null;null
01/01/2018;100;null;null;null
01/01/2018;200;null;null;null
01/01/2018;300;null;null;null
01/01/2018;400;null;null;null
01/01/2018;500;null;null;null
01/01/2018;600;null;null;null
01/01/2018;700;null;null;null
01/01/2018;800;null;null;null
01/01/2018;900;null;null;null
01/01/2018;1000;null;null;null
01/01/2018;1100;null;null;null
01/01/2018;1200;null;null;null
01/01/2018;1300;null;null;null
01/01/2018;1400;null;null;null
01/01/2018;1500;null;null;null
01/01/2018;1600;null;null;null
01/01/2018;1700;null;null;null
01/01/2018;1800;null;null;null
01/01/2018;1900;null;null;null
01/01/2018;2000;null;null;null
01/01/2018;2100;null;null;null
01/01/2018;2200;null;null;null
01/01/2018;2300;null;null;null
02/01/2018;0;null;null;null
02/01/2018;100;null;null;null
02/01/2018;200;null;null;null
02/01/2018;300;null;null;null
02/01/2018;400;null;null;null
02/01/2018;500;null;null;null
02/01/2018;600;null;null;null
02/01/2018;700;null;null;null
02/01/2018;800;null;null;null
02/01/2018;900;null;null;null
02/01/2018;1000;null;null;null
02/01/2018;1100;null;null;null
02/01/2018;1200;null;null;null
02/01/2018;1300;null;null;null
02/01/2018;1400;null;null;null
02/01/2018;1500;null;null;null
02/01/2018;1600;null;null;null
02/01/2018;1700;null;null;null
02/01/2018;1800;null;null;null
02/01/2018;1900;null;null;null
02/01/2018;2000;null;null;null
02/01/2018;2100;null;null;null
02/01/2018;2200;null;null;null
02/01/2018;2300;null;null;null
03/01/2018;0;null;null;null
03/01/2018;100;null;null;null
03/01/2018;200;null;null;null
03/01/2018;300;null;null;null
03/01/2018;400;null;null;null
03/01/2018;500;null;null;null
03/01/2018;600;null;null;null
03/01/2018;700;null;null;null
03/01/2018;800;null;null;null
03/01/2018;900;null;null;null
03/01/2018;1000;null;null;null
03/01/2018;1100;null;null;null
03/01/2018;1200;null;null;null
03/01/2018;1300;null;null;null
03/01/2018;1400;null;null;null
03/01/2018;1500;null;null;null
03/01/2018;1600;null;null;null
03/01/2018;1700;null;null;null
03/01/2018;1800;null;null;null
03/01/2018;1900;null;null;null
03/01/2018;2000;null;null;null
03/01/2018;2100;null;null;null
03/01/2018;2200;null;null;null
03/01/2018;2300;null;null;null
04/01/2018;0;null;null;null
04/01/2018;100;null;null;null
04/01/2018;200;null;null;null
04/01/2018;300;null;null;null
04/01/2018;400;null;null;null
04/01/2018;500;null;null;null
04/01/2018;600;null;null;null
04/01/2018;700;null;null;null
04/01/2018;800;null;null;null
04/01/2018;900;null;null;null
04/01/2018;1000;null;null;null
04/01/2018;1100;null;null;null
04/01/2018;1200;null;null;null
04/01/2018;1300;null;null;null
04/01/2018;1400;null;null;null
04/01/2018;1500;null;null;null
04/01/2018;1600;null;null;null
04/01/2018;1700;null;null;null
04/01/2018;1800;null;null;null
04/01/2018;1900;null;null;null
04/01/2018;2000;null;null;null
04/01/2018;2100;null;null;null
