Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;0;89;0,1
01/01/2018;100;0;90;1
01/01/2018;200;0;90;0,6
01/01/2018;300;0;91;0,2
01/01/2018;400;0;92;0
01/01/2018;500;0;92;0
01/01/2018;600;0;92;0,4
01/01/2018;700;0;92;0
01/01/2018;800;0;92;0,6
01/01/2018;900;0;93;0,7
01/01/2018;1000;0;92;0,7
01/01/2018;1100;0;91;1,1
01/01/2018;1200;0;86;1,3
01/01/2018;1300;0;81;1,8
01/01/2018;1400;0;78;2,1
01/01/2018;1500;0;69;2,5
01/01/2018;1600;1,2;78;1,9
01/01/2018;1700;0;64;2,7
01/01/2018;1800;0,2;75;1,8
01/01/2018;1900;0;78;1,5
01/01/2018;2000;0;65;1
01/01/2018;2100;0;63;0,5
01/01/2018;2200;11,6;90;4,2
01/01/2018;2300;0,8;85;3,2
02/01/2018;0;0;86;2,5
02/01/2018;100;0;86;0,7
02/01/2018;200;2,4;88;2,1
02/01/2018;300;5,6;91;1,5
02/01/2018;400;0,2;92;0,3
02/01/2018;500;0;92;0
02/01/2018;600;0;92;0
02/01/2018;700;0;92;0,2
02/01/2018;800;0;93;0
02/01/2018;900;0;93;0,5
02/01/2018;1000;0,8;93;1,4
02/01/2018;1100;0,8;91;0,6
02/01/2018;1200;0;91;0,3
02/01/2018;1300;0;90;0,4
02/01/2018;1400;0,2;84;1,3
02/01/2018;1500;3;87;0
02/01/2018;1600;6,2;90;1,4
02/01/2018;1700;1,6;91;0,3
02/01/2018;1800;0,4;88;0,3
02/01/2018;1900;0;87;0,2
02/01/2018;2000;7;88;0,9
02/01/2018;2100;5,4;91;2,3
02/01/2018;2200;1,4;91;0,1
02/01/2018;2300;0;92;0,1
03/01/2018;0;7,2;92;0,6
03/01/2018;100;1,2;92;1
03/01/2018;200;0,2;92;0,8
03/01/2018;300;0;92;0,8
03/01/2018;400;0;92;0,8
03/01/2018;500;0;93;0,6
03/01/2018;600;0;93;0,1
03/01/2018;700;0;93;0,4
03/01/2018;800;0;92;0
03/01/2018;900;0;92;0,1
03/01/2018;1000;0,4;92;0,4
03/01/2018;1100;0,2;92;0,3
03/01/2018;1200;0,4;91;0,6
03/01/2018;1300;0;89;0,7
03/01/2018;1400;0;77;1,4
03/01/2018;1500;0;72;1,6
03/01/2018;1600;0;63;2,1
03/01/2018;1700;0;63;1,5
03/01/2018;1800;0;61;1,8
03/01/2018;1900;0;60;3,1
03/01/2018;2000;0;58;2,2
03/01/2018;2100;0;59;0,9
03/01/2018;2200;0;63;1
03/01/2018;2300;0;70;0,3
04/01/2018;0;0;76;0,1
04/01/2018;100;0;81;0
04/01/2018;200;0;84;0
04/01/2018;300;0;88;0
04/01/2018;400;0;89;0
04/01/2018;500;0;90;0
04/01/2018;600;0;91;1
04/01/2018;700;0;89;0
04/01/2018;800;0;89;1,8
04/01/2018;900;0;87;2,4
04/01/2018;1000;0;87;3,8
04/01/2018;1100;0;81;3
04/01/2018;1200;0;76;3,2
04/01/2018;1300;0;67;2,3
04/01/2018;1400;0;63;1,8
04/01/2018;1500;0;59;1,4
04/01/2018;1600;0;52;1,7
04/01/2018;1700;0;48;1,2
04/01/2018;1800;0;48;1,3
04/01/2018;1900;0;45;0,2
04/01/2018;2000;0;44;1
04/01/2018;2100;0;45;0,9
04/01/2018;2200;0;49;0,6
04/01/2018;2300;0;59;0,1
05/01/2018;0;0;60;0,6
05/01/2018;100;0;62;1,3
05/01/2018;200;0;63;1,2
05/01/2018;300;0;61;1,4
05/01/2018;400;0;64;2,5
05/01/2018;500;0;66;2,2
05/01/2018;600;0;71;2,3
05/01/2018;700;0;74;1,8
05/01/2018;800;0;77;1,3
05/01/2018;900;0;80;1,7
05/01/2018;1000;0;80;1,7
05/01/2018;1100;0;76;1,4
05/01/2018;1200;0;74;0,7
05/01/2018;1300;0;74;0,8
05/01/2018;1400;0;70;1
05/01/2018;1500;0;63;1,3
05/01/2018;1600;0;58;1,1
05/01/2018;1700;0;53;1
05/01/2018;1800;0;46;1,3
05/01/2018;1900;0;42;1
05/01/2018;2000;0;43;0,7
05/01/2018;2100;0;48;0,4
05/01/2018;2200;0;58;0,2
05/01/2018;2300;0;64;0,9
06/01/2018;0;0;66;0,9
06/01/2018;100;0;73;0,6
06/01/2018;200;0;74;0
06/01/2018;300;0;83;0
06/01/2018;400;0;81;1,7
06/01/2018;500;16,6;90;1,8
06/01/2018;600;22;92;3,4
06/01/2018;700;5,6;92;2,9
06/01/2018;800;4,4;90;1,4
06/01/2018;900;3;92;1,7
06/01/2018;1000;1,2;92;0,9
06/01/2018;1100;0;92;1
06/01/2018;1200;0;92;1,1
06/01/2018;1300;0;88;1,4
06/01/2018;1400;0;78;0,7
06/01/2018;1500;0;73;1,3
06/01/2018;1600;0;68;2
06/01/2018;1700;0;64;2,1
06/01/2018;1800;0;58;1,6
06/01/2018;1900;0;56;1,4
06/01/2018;2000;0;60;1,2
06/01/2018;2100;0;63;0,7
06/01/2018;2200;0;70;0
06/01/2018;2300;0;76;0
07/01/2018;0;0;77;0,6
07/01/2018;100;0;77;1
07/01/2018;200;0;74;2
07/01/2018;300;0;77;3,3
07/01/2018;400;0;78;2,1
07/01/2018;500;0;80;2,9
07/01/2018;600;0;83;2,5
07/01/2018;700;0;86;2,5
07/01/2018;800;0;86;1,7
07/01/2018;900;0;86;1,2
07/01/2018;1000;0;83;2,5
07/01/2018;1100;0;81;2,7
07/01/2018;1200;0;73;3,1
07/01/2018;1300;0;72;2
07/01/2018;1400;0;70;3,3
07/01/2018;1500;0;62;2,8
07/01/2018;1600;0;60;3,2
07/01/2018;1700;0;56;2,3
07/01/2018;1800;0;58;2,4
07/01/2018;1900;0;60;2,8
07/01/2018;2000;0;60;3,2
07/01/2018;2100;0;61;2,2
07/01/2018;2200;0;70;2
07/01/2018;2300;0,2;85;4,1
08/01/2018;0;0;86;3,1
08/01/2018;100;0;86;1,9
08/01/2018;200;0;85;1,4
08/01/2018;300;0;86;1,7
08/01/2018;400;0;87;1,5
08/01/2018;500;0;87;1,2
08/01/2018;600;0,2;88;1
08/01/2018;700;0;89;1,7
08/01/2018;800;0,2;88;2,4
08/01/2018;900;0;90;1,8
08/01/2018;1000;0,2;91;2,1
08/01/2018;1100;0,4;91;1,9
08/01/2018;1200;0;91;1,6
08/01/2018;1300;0;89;1,9
08/01/2018;1400;1,4;88;0,9
