Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;0;21,4;93;0
01/01/2018;100;0;21,5;94;0
01/01/2018;200;0;21,2;94;0
01/01/2018;300;0;21;95;0
01/01/2018;400;0;20,7;95;0
01/01/2018;500;0;20,7;96;0
01/01/2018;600;0;20,6;96;0
01/01/2018;700;0;20,5;96;0
01/01/2018;800;0;20,8;96;0
01/01/2018;900;0;20,7;96;0
01/01/2018;1000;0;20,9;96;0
01/01/2018;1100;0;21,5;95;0,2
01/01/2018;1200;0;22,4;91;0,3
01/01/2018;1300;0;23,3;88;0
01/01/2018;1400;2,2;24,2;87;0,1
01/01/2018;1500;0,4;24,2;90;0,3
01/01/2018;1600;0;26,3;83;0,5
01/01/2018;1700;5,6;21,8;92;0,9
01/01/2018;1800;0;22,2;93;0,3
01/01/2018;1900;0;25,5;80;0
01/01/2018;2000;0;25,4;80;0,3
01/01/2018;2100;0;24,9;87;0
01/01/2018;2200;0;24;91;0
01/01/2018;2300;0;23,7;93;0,1
02/01/2018;0;0;23,3;93;0
02/01/2018;100;0;23,3;94;0
02/01/2018;200;0;22,9;94;0
02/01/2018;300;0;22;94;0,3
02/01/2018;400;0;21,5;93;0,2
02/01/2018;500;0;21,4;94;0
02/01/2018;600;0;21,2;95;0
02/01/2018;700;2;21,2;95;2,2
02/01/2018;800;1,6;20,4;95;0
02/01/2018;900;1,6;20,3;95;0,1
02/01/2018;1000;0;20,3;96;0
02/01/2018;1100;0;20,7;95;0,2
02/01/2018;1200;0;22,9;85;0,3
02/01/2018;1300;0;24;80;0,9
02/01/2018;1400;0;25,2;80;0,4
02/01/2018;1500;6;23,6;92;0,3
02/01/2018;1600;0;24,1;92;0,7
02/01/2018;1700;0;26,2;82;1,4
02/01/2018;1800;12;21,1;93;4,8
02/01/2018;1900;7,8;20,2;96;0,2
02/01/2018;2000;3,8;21,1;96;1,4
02/01/2018;2100;0;21,8;96;0
02/01/2018;2200;0;21,9;96;0
02/01/2018;2300;0;21,6;95;0,6
03/01/2018;0;0,6;21,4;95;0,3
03/01/2018;100;0,8;20,9;95;0,5
03/01/2018;200;0;20,7;95;0,3
03/01/2018;300;0;20,5;95;0,8
03/01/2018;400;0;20,6;95;1,1
03/01/2018;500;0;20,7;94;0,7
03/01/2018;600;0;20,7;94;0,3
03/01/2018;700;0;20,7;94;0
03/01/2018;800;1;20,6;95;0
03/01/2018;900;0,2;20,6;95;0,1
03/01/2018;1000;0;20,8;95;0,1
03/01/2018;1100;0;21,3;95;0,4
03/01/2018;1200;0;21,8;93;1,4
03/01/2018;1300;1;22,4;92;1,7
03/01/2018;1400;0;24,1;81;2,7
03/01/2018;1500;0;26;75;1,6
03/01/2018;1600;0;26,5;71;2,8
03/01/2018;1700;0;27,5;67;2,2
03/01/2018;1800;0;28,3;64;2,3
03/01/2018;1900;0;28,3;63;2,2
03/01/2018;2000;0;28,8;62;2,5
03/01/2018;2100;0;27,3;69;0,6
03/01/2018;2200;0;25,8;75;0,6
03/01/2018;2300;0,4;23,7;88;0,1
04/01/2018;0;0;23,2;93;0
04/01/2018;100;0;23,2;92;0
04/01/2018;200;0;23;91;1
04/01/2018;300;0;21,8;95;0
04/01/2018;400;0;22;95;1,1
04/01/2018;500;0;21,5;87;0,7
04/01/2018;600;0;20,6;85;1,3
04/01/2018;700;0;20,3;83;2,1
04/01/2018;800;0;20;83;1,9
04/01/2018;900;0;19,2;79;1,8
04/01/2018;1000;0;19,4;75;0,7
04/01/2018;1100;0;19,9;72;1
04/01/2018;1200;0;21,5;67;1,6
04/01/2018;1300;0;24,3;60;1,6
04/01/2018;1400;0;26,4;54;1,7
04/01/2018;1500;0;27,9;52;1,8
04/01/2018;1600;0;29;50;1,8
04/01/2018;1700;0;30,2;45;1,9
04/01/2018;1800;0;30,2;45;1,5
04/01/2018;1900;0;29,7;48;0,3
04/01/2018;2000;0;28,9;56;0,9
04/01/2018;2100;0;29;56;0,6
04/01/2018;2200;0;27,7;56;1,2
04/01/2018;2300;0;26,2;57;0,8
05/01/2018;0;0;25,2;64;0,2
05/01/2018;100;0;23;78;0,7
05/01/2018;200;0;23;74;1
05/01/2018;300;0;21,5;82;0,4
05/01/2018;400;0;20,4;86;0,3
05/01/2018;500;0;19,3;90;0,3
05/01/2018;600;0;19,1;91;1,3
05/01/2018;700;0;18,9;89;0,5
05/01/2018;800;0;18,5;92;0,1
05/01/2018;900;0;18,5;92;0,5
05/01/2018;1000;0;18,8;90;0,2
