Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;1,2;100;0,6
01/01/2018;100;1,2;100;1,6
01/01/2018;200;1,2;100;0,6
01/01/2018;300;1,2;100;0,3
01/01/2018;400;1,2;null;0,6
01/01/2018;500;1,2;null;0,5
01/01/2018;600;1;null;0
01/01/2018;700;1;null;0,1
01/01/2018;800;1;null;0
01/01/2018;900;1;null;0
01/01/2018;1000;1;null;0
01/01/2018;1100;0,8;null;0
01/01/2018;1200;1;100;0,9
01/01/2018;1300;0,8;93;1,8
01/01/2018;1400;0,8;94;2,6
01/01/2018;1500;0,6;85;2,3
01/01/2018;1600;0,6;81;2,4
01/01/2018;1700;0,6;80;2,2
01/01/2018;1800;0,4;77;1,6
01/01/2018;1900;0,6;73;2,7
01/01/2018;2000;0,2;68;1,1
01/01/2018;2100;0,4;73;2,7
01/01/2018;2200;0,6;94;3,9
01/01/2018;2300;0,2;99;0,4
02/01/2018;0;0,2;100;0
02/01/2018;100;0;100;0
02/01/2018;200;0,4;100;1,2
02/01/2018;300;0;100;0
02/01/2018;400;0,4;100;0,1
02/01/2018;500;0,2;100;0,5
02/01/2018;600;0,2;100;0,3
02/01/2018;700;0,2;100;1,1
02/01/2018;800;0,2;100;0
02/01/2018;900;0;100;0,3
02/01/2018;1000;0,2;100;0,3
02/01/2018;1100;0,2;98;1,4
02/01/2018;1200;0;95;2,4
02/01/2018;1300;0;92;4,6
02/01/2018;1400;0,2;87;5,2
02/01/2018;1500;0;82;3,6
02/01/2018;1600;0;81;1,5
02/01/2018;1700;0;70;3,2
02/01/2018;1800;0;70;3,2
02/01/2018;1900;0;66;5,2
02/01/2018;2000;0;81;6,4
02/01/2018;2100;0;82;3,1
02/01/2018;2200;0;92;0
02/01/2018;2300;0;98;0,7
03/01/2018;0;0,2;97;1,8
03/01/2018;100;0;96;2,4
03/01/2018;200;0;98;1,4
03/01/2018;300;0;99;0,1
03/01/2018;400;0;100;0,9
03/01/2018;500;0;100;1,4
03/01/2018;600;0;99;0,8
03/01/2018;700;0;100;0
03/01/2018;800;0;100;0,2
03/01/2018;900;0;94;3,1
03/01/2018;1000;0,2;92;1,9
03/01/2018;1100;0;93;0,9
03/01/2018;1200;0;93;1,4
03/01/2018;1300;0;90;2,4
03/01/2018;1400;0;98;1,8
03/01/2018;1500;0;97;2,7
03/01/2018;1600;0;99;1,9
03/01/2018;1700;0;82;4,1
03/01/2018;1800;0,2;80;3,1
03/01/2018;1900;0,6;73;0,2
03/01/2018;2000;0,6;81;2,8
03/01/2018;2100;0,8;72;0,1
03/01/2018;2200;0,6;74;0
03/01/2018;2300;0,8;84;4
04/01/2018;0;0,4;94;1,4
04/01/2018;100;0,4;94;3,4
04/01/2018;200;0,2;95;2,8
04/01/2018;300;0,2;95;3
04/01/2018;400;0,2;93;2,3
04/01/2018;500;0;92;3,6
04/01/2018;600;0,2;93;2,2
04/01/2018;700;0,2;97;1,9
04/01/2018;800;0,2;98;2,4
04/01/2018;900;0,2;94;0,1
04/01/2018;1000;0,2;95;1,1
04/01/2018;1100;0,2;88;1,4
04/01/2018;1200;0;70;2,9
04/01/2018;1300;0;60;1,8
04/01/2018;1400;0;52;2
04/01/2018;1500;0;44;3,5
04/01/2018;1600;0;38;3,1
04/01/2018;1700;0;36;3,3
04/01/2018;1800;0,2;35;3
04/01/2018;1900;0;33;2,6
04/01/2018;2000;0;33;3,1
04/01/2018;2100;0;35;3,4
04/01/2018;2200;0;42;4,5
04/01/2018;2300;0;52;5,4
05/01/2018;0;0;57;5,9
05/01/2018;100;0;62;4,5
05/01/2018;200;0;62;4
05/01/2018;300;0;66;2,5
05/01/2018;400;0;69;2,1
05/01/2018;500;0;77;0
05/01/2018;600;0;80;0
05/01/2018;700;0;81;0,1
05/01/2018;800;0;88;0
05/01/2018;900;0;92;0
05/01/2018;1000;0;92;0,3
05/01/2018;1100;0;84;0
05/01/2018;1200;0;69;0
05/01/2018;1300;0;68;0
05/01/2018;1400;0;67;0,5
05/01/2018;1500;0;64;0,1
05/01/2018;1600;0;57;1,3
05/01/2018;1700;0;51;1,7
05/01/2018;1800;0;50;3
05/01/2018;1900;0;50;1,6
05/01/2018;2000;0;51;2,1
05/01/2018;2100;0;49;2,7
05/01/2018;2200;0;51;2,6
05/01/2018;2300;0;57;2,1
06/01/2018;0;0;67;5,6
06/01/2018;100;0;83;2,7
06/01/2018;200;0;83;3
06/01/2018;300;0;86;1,2
06/01/2018;400;0;95;0,3
06/01/2018;500;0;96;1
06/01/2018;600;0;94;0
06/01/2018;700;0;96;0
06/01/2018;800;0;98;0
06/01/2018;900;0;97;0
06/01/2018;1000;0;96;0
06/01/2018;1100;0;94;0
06/01/2018;1200;0;93;0
06/01/2018;1300;0;88;1,4
06/01/2018;1400;0;82;1,7
06/01/2018;1500;0;79;1,5
06/01/2018;1600;0;78;1,7
06/01/2018;1700;0;73;1,5
06/01/2018;1800;0;73;1,8
06/01/2018;1900;0;70;1,5
06/01/2018;2000;0;64;1,1
06/01/2018;2100;0;65;1,1
06/01/2018;2200;0;70;0
06/01/2018;2300;0;73;0
07/01/2018;0;0,2;86;2,2
07/01/2018;100;0,4;91;5,3
07/01/2018;200;1,2;100;0
07/01/2018;300;0,6;100;0
07/01/2018;400;0,6;100;0
07/01/2018;500;0,4;100;0
07/01/2018;600;0,4;100;0
07/01/2018;700;0,4;100;2,5
07/01/2018;800;0,2;100;0,5
07/01/2018;900;0,2;97;1,9
07/01/2018;1000;0,2;96;0,4
07/01/2018;1100;0,2;88;3,5
07/01/2018;1200;0;89;4,2
07/01/2018;1300;0,2;100;3
07/01/2018;1400;0,2;100;6,6
07/01/2018;1500;0,2;100;4,7
07/01/2018;1600;0,2;95;5
07/01/2018;1700;0;87;5,1
07/01/2018;1800;0,2;85;3,9
07/01/2018;1900;0;88;3,7
07/01/2018;2000;0;84;3,8
07/01/2018;2100;0,2;86;2,6
07/01/2018;2200;0;90;1,8
07/01/2018;2300;0;90;2,6
08/01/2018;0;0,2;90;0
08/01/2018;100;0;92;3,3
08/01/2018;200;0;87;4,2
08/01/2018;300;0,2;99;2,5
08/01/2018;400;0;100;2,1
08/01/2018;500;0;100;2,5
08/01/2018;600;0;100;2,8
08/01/2018;700;0,2;99;2,4
08/01/2018;800;0;100;1,1
08/01/2018;900;0;100;0,7
08/01/2018;1000;0,2;100;1,4
08/01/2018;1100;0;100;1
08/01/2018;1200;0;100;1,9
08/01/2018;1300;0;95;1,9
08/01/2018;1400;0;95;0,7
08/01/2018;1500;0,2;92;1,4
08/01/2018;1600;0;90;1,5
08/01/2018;1700;0;94;1,6
08/01/2018;1800;0;97;1,8
08/01/2018;1900;0;96;2
08/01/2018;2000;0;99;0
08/01/2018;2100;0;100;0
08/01/2018;2200;0,2;100;0
08/01/2018;2300;0;100;0
09/01/2018;0;0;null;0
09/01/2018;100;0,2;null;0
09/01/2018;200;0;null;0
09/01/2018;300;0,2;100;2,1
09/01/2018;400;0;100;0
09/01/2018;500;0,2;100;0
09/01/2018;600;0;100;0
09/01/2018;700;0,2;null;0
09/01/2018;800;0;null;0
09/01/2018;900;0,2;null;0
09/01/2018;1000;0;null;0
09/01/2018;1100;0,2;100;0
09/01/2018;1200;0;100;0
09/01/2018;1300;0;94;0,1
09/01/2018;1400;0;91;1,2
09/01/2018;1500;0;88;1,6
09/01/2018;1600;0,2;84;1,2
09/01/2018;1700;0;79;1,7
09/01/2018;1800;0;78;2,3
09/01/2018;1900;0;78;2,6
09/01/2018;2000;0;81;3
09/01/2018;2100;0,2;83;3
09/01/2018;2200;0;87;2,2
09/01/2018;2300;0;88;2,2
10/01/2018;0;0;88;5,3
10/01/2018;100;0;87;3,4
10/01/2018;200;0;87;3,4
10/01/2018;300;0,2;88;2,8
10/01/2018;400;0;91;2,2
10/01/2018;500;0;93;1,9
10/01/2018;600;0;95;0,4
10/01/2018;700;0;97;1,3
10/01/2018;800;0;100;0
10/01/2018;900;0;100;0
10/01/2018;1000;0,2;100;1,3
10/01/2018;1100;0;100;1,8
10/01/2018;1200;0;91;1,9
10/01/2018;1300;0;79;2,5
10/01/2018;1400;0;68;1,9
10/01/2018;1500;0;64;1,6
10/01/2018;1600;0;64;1,4
10/01/2018;1700;0;64;1,1
10/01/2018;1800;0;59;1,4
10/01/2018;1900;0;55;1,5
10/01/2018;2000;0;52;0,4
10/01/2018;2100;0;56;0,7
10/01/2018;2200;0;58;1,6
10/01/2018;2300;0,2;62;2,2
11/01/2018;0;0;69;2,4
11/01/2018;100;0;73;5,6
11/01/2018;200;0;82;0
11/01/2018;300;0;90;0
11/01/2018;400;0;94;0
11/01/2018;500;0;97;0
11/01/2018;600;0;100;0
11/01/2018;700;0,2;100;0
11/01/2018;800;0;100;0
11/01/2018;900;0;100;0,4
11/01/2018;1000;0;100;0
11/01/2018;1100;0;100;0
11/01/2018;1200;0;93;0
11/01/2018;1300;0;89;0,1
11/01/2018;1400;0;82;2,1
11/01/2018;1500;0;67;1,6
11/01/2018;1600;0;61;2,5
11/01/2018;1700;0;59;1,1
11/01/2018;1800;0;84;5,6
11/01/2018;1900;0,2;89;0
11/01/2018;2000;0;86;0,2
11/01/2018;2100;0;87;5,2
11/01/2018;2200;0;100;0,9
11/01/2018;2300;0;null;0,8
12/01/2018;0;0;null;1,1
12/01/2018;100;0,2;null;1,7
12/01/2018;200;0;null;2,9
12/01/2018;300;0;null;0,5
12/01/2018;400;0,2;null;0
12/01/2018;500;0,2;null;0
12/01/2018;600;0;null;0
12/01/2018;700;0,2;100;0
12/01/2018;800;0,2;100;0
12/01/2018;900;0;100;0
12/01/2018;1000;0,2;100;0
12/01/2018;1100;0;100;0
12/01/2018;1200;0,2;100;0
12/01/2018;1300;0;96;0,5
12/01/2018;1400;0,2;89;0
12/01/2018;1500;0,2;83;0,4
12/01/2018;1600;0;80;0
12/01/2018;1700;0,2;78;0
12/01/2018;1800;0;76;0,4
12/01/2018;1900;0;73;0,8
12/01/2018;2000;0,2;74;0,1
12/01/2018;2100;0;79;0,6
12/01/2018;2200;0;99;6,9
12/01/2018;2300;0,2;null;0
13/01/2018;0;0,2;null;0,6
13/01/2018;100;0;null;0
13/01/2018;200;0,2;null;0,5
13/01/2018;300;0,2;null;0
13/01/2018;400;0,2;null;0
13/01/2018;500;0,2;null;0
13/01/2018;600;0,2;null;0
13/01/2018;700;0,2;null;0
13/01/2018;800;0,2;null;0
13/01/2018;900;0,2;null;0
13/01/2018;1000;0,4;null;0
13/01/2018;1100;0,2;null;0
13/01/2018;1200;0,4;100;0
13/01/2018;1300;0,2;95;0
13/01/2018;1400;0,4;91;0
13/01/2018;1500;0,6;87;0
