Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;0;86;1,1
01/01/2018;100;0;87;1,3
01/01/2018;200;0;91;0,5
01/01/2018;300;0;92;2
01/01/2018;400;null;null;null
01/01/2018;500;null;null;null
01/01/2018;600;null;null;null
01/01/2018;700;null;null;null
01/01/2018;800;null;null;null
01/01/2018;900;null;null;null
01/01/2018;1000;null;null;null
01/01/2018;1100;null;null;null
01/01/2018;1200;null;null;null
01/01/2018;1300;0;82;2,9
01/01/2018;1400;0;82;2,4
01/01/2018;1500;0,4;89;2,4
01/01/2018;1600;0;77;2,3
01/01/2018;1700;0;72;2,7
01/01/2018;1800;1,2;66;3,3
01/01/2018;1900;0;77;2,7
01/01/2018;2000;0;68;0,4
01/01/2018;2100;0,8;91;1
01/01/2018;2200;0;91;1,6
01/01/2018;2300;0;92;0,8
02/01/2018;0;0;94;1,5
02/01/2018;100;7,4;94;2,3
02/01/2018;200;5,4;95;2
02/01/2018;300;0,8;95;0,5
02/01/2018;400;0;95;1
02/01/2018;500;0;95;3
02/01/2018;600;0;94;0
02/01/2018;700;9,8;95;1,9
02/01/2018;800;1,6;95;1,6
02/01/2018;900;0,4;95;0,5
02/01/2018;1000;0;95;2,8
02/01/2018;1100;0;93;2,6
02/01/2018;1200;0;89;3,1
02/01/2018;1300;8,2;94;2,8
02/01/2018;1400;2;91;2
02/01/2018;1500;0,4;91;2,6
02/01/2018;1600;8,8;89;4,5
02/01/2018;1700;20,8;96;1,6
02/01/2018;1800;1;96;1,4
02/01/2018;1900;4,4;95;1,9
02/01/2018;2000;0;94;2,6
02/01/2018;2100;0,2;91;1,3
02/01/2018;2200;6;94;0,9
02/01/2018;2300;2;94;1,4
03/01/2018;0;2;95;1,6
03/01/2018;100;0,4;95;2,1
03/01/2018;200;0;94;2,7
03/01/2018;300;0;94;2,3
03/01/2018;400;0;93;1,9
03/01/2018;500;0;94;1
03/01/2018;600;0;94;0,9
03/01/2018;700;0;93;0,2
03/01/2018;800;0;95;0,2
03/01/2018;900;0;95;0,5
03/01/2018;1000;0;93;1,4
03/01/2018;1100;0;91;1,3
03/01/2018;1200;0;89;2
03/01/2018;1300;0;83;3,1
03/01/2018;1400;0;78;2,8
03/01/2018;1500;0;75;2,5
03/01/2018;1600;0;76;3
03/01/2018;1700;0;71;2,4
03/01/2018;1800;0;67;2,6
03/01/2018;1900;0;62;2,9
03/01/2018;2000;0;61;2
03/01/2018;2100;0;63;3,2
03/01/2018;2200;0;69;0,2
03/01/2018;2300;0;82;1,2
04/01/2018;0;0;91;0
04/01/2018;100;0;92;0,3
04/01/2018;200;0;92;0
04/01/2018;300;0;95;0,2
04/01/2018;400;0;95;0
04/01/2018;500;0;96;0
04/01/2018;600;0;96;0,1
04/01/2018;700;0;96;0,5
04/01/2018;800;0;96;0
04/01/2018;900;0;96;1,3
04/01/2018;1000;0;96;1,1
04/01/2018;1100;0;94;1,9
04/01/2018;1200;0;83;3,2
04/01/2018;1300;0;71;2,5
04/01/2018;1400;0;66;2,4
04/01/2018;1500;0;63;1,6
04/01/2018;1600;0;59;1,7
04/01/2018;1700;0;56;1,9
04/01/2018;1800;0;51;0,9
04/01/2018;1900;0;47;2,4
04/01/2018;2000;0;54;2,8
04/01/2018;2100;0;58;4,6
04/01/2018;2200;0;62;3
04/01/2018;2300;0;69;0,7
05/01/2018;0;0;82;0
05/01/2018;100;null;null;null
05/01/2018;200;0;91;0
05/01/2018;300;0;92;0,7
05/01/2018;400;0;93;0,6
05/01/2018;500;0;83;0,2
05/01/2018;600;0;82;1,1
05/01/2018;700;0;78;0,7
05/01/2018;800;0;88;1,2
05/01/2018;900;0;88;1,4
05/01/2018;1000;0;85;1,4
05/01/2018;1100;0;85;1,1
05/01/2018;1200;0;75;3
05/01/2018;1300;0;69;1,9
05/01/2018;1400;0;66;2,2
05/01/2018;1500;0;62;2,5
05/01/2018;1600;0;60;2,1
05/01/2018;1700;0;58;1,1
05/01/2018;1800;0;52;0,7
05/01/2018;1900;0;53;0,8
05/01/2018;2000;0;53;0,2
05/01/2018;2100;0;61;1,7
05/01/2018;2200;0;75;0,9
05/01/2018;2300;0;85;0
06/01/2018;0;0;85;0,1
06/01/2018;100;0;78;2,3
06/01/2018;200;1,8;82;2,6
06/01/2018;300;5,2;93;2
06/01/2018;400;1,6;94;1
06/01/2018;500;0,2;94;1,5
06/01/2018;600;0;94;0,2
06/01/2018;700;0;95;1,5
06/01/2018;800;0;95;0,3
06/01/2018;900;0;95;2,1
06/01/2018;1000;0;93;1,5
06/01/2018;1100;0,2;93;0,5
06/01/2018;1200;0;91;1,5
06/01/2018;1300;0;86;2,2
06/01/2018;1400;0;79;1,5
06/01/2018;1500;0,2;76;2,4
06/01/2018;1600;0;74;1,4
06/01/2018;1700;0;66;1,8
06/01/2018;1800;0;65;1,7
06/01/2018;1900;0;66;1,4
06/01/2018;2000;0;65;0,5
06/01/2018;2100;0;76;0
06/01/2018;2200;0;88;0
06/01/2018;2300;0;88;0,6
07/01/2018;0;0;88;0
