Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;1,8;97;null
01/01/2018;100;0;97;null
01/01/2018;200;0;98;null
01/01/2018;300;0;98;null
01/01/2018;400;0;98;null
01/01/2018;500;0;98;null
01/01/2018;600;0;98;null
01/01/2018;700;0;98;null
01/01/2018;800;0;98;null
01/01/2018;900;0;99;null
01/01/2018;1000;0;99;null
01/01/2018;1100;0;99;null
01/01/2018;1200;0;86;null
01/01/2018;1300;0,2;79;null
01/01/2018;1400;0;70;null
01/01/2018;1500;0;67;null
01/01/2018;1600;0;66;null
01/01/2018;1700;0;60;null
01/01/2018;1800;0;59;null
01/01/2018;1900;0;58;null
01/01/2018;2000;0;60;null
01/01/2018;2100;0;70;null
01/01/2018;2200;0;74;null
01/01/2018;2300;0;85;null
02/01/2018;0;0;88;null
02/01/2018;100;0;94;null
02/01/2018;200;0;95;null
02/01/2018;300;0;95;null
02/01/2018;400;0;95;null
02/01/2018;500;0;97;null
02/01/2018;600;0;97;null
02/01/2018;700;0;97;null
02/01/2018;800;0;97;null
02/01/2018;900;0;97;null
02/01/2018;1000;0;96;null
02/01/2018;1100;0,6;95;null
02/01/2018;1200;0;91;null
02/01/2018;1300;0;83;null
02/01/2018;1400;0,2;69;null
02/01/2018;1500;0;64;null
02/01/2018;1600;0;59;null
02/01/2018;1700;0;58;null
02/01/2018;1800;0;59;null
02/01/2018;1900;0;60;null
02/01/2018;2000;0;67;null
02/01/2018;2100;0;77;null
02/01/2018;2200;0;77;null
02/01/2018;2300;0;76;null
03/01/2018;0;0;84;null
03/01/2018;100;0;84;null
03/01/2018;200;0;87;null
03/01/2018;300;0;88;null
03/01/2018;400;0;86;null
03/01/2018;500;0;86;null
03/01/2018;600;0;86;null
03/01/2018;700;0;84;null
03/01/2018;800;0;87;null
03/01/2018;900;5,2;95;null
03/01/2018;1000;0,6;97;null
03/01/2018;1100;0;96;null
03/01/2018;1200;0;94;null
03/01/2018;1300;0,4;88;null
03/01/2018;1400;0;86;null
03/01/2018;1500;0;80;null
03/01/2018;1600;0;84;null
03/01/2018;1700;0;86;null
03/01/2018;1800;0;76;null
03/01/2018;1900;0;76;null
03/01/2018;2000;0;75;null
03/01/2018;2100;0;75;null
03/01/2018;2200;0;77;null
03/01/2018;2300;0;83;null
04/01/2018;0;0;89;null
04/01/2018;100;0;89;null
04/01/2018;200;0;90;null
04/01/2018;300;0;93;null
04/01/2018;400;0;96;null
04/01/2018;500;0;97;null
04/01/2018;600;0;97;null
04/01/2018;700;0;97;null
04/01/2018;800;0;98;null
04/01/2018;900;0;98;null
04/01/2018;1000;0;98;null
04/01/2018;1100;0;90;null
04/01/2018;1200;0;81;null
04/01/2018;1300;0;75;null
04/01/2018;1400;0;65;null
04/01/2018;1500;0;63;null
04/01/2018;1600;0;53;null
04/01/2018;1700;0;53;null
04/01/2018;1800;0;57;5,1
04/01/2018;1900;0;58;5,8
04/01/2018;2000;0;62;6,1
04/01/2018;2100;0;66;4,7
04/01/2018;2200;0;72;4,3
04/01/2018;2300;0;80;3
05/01/2018;0;0;84;1,7
05/01/2018;100;0;87;1,7
05/01/2018;200;0;94;1,3
05/01/2018;300;0;95;0,8
05/01/2018;400;0;97;0,8
05/01/2018;500;0;97;2
05/01/2018;600;0;97;1,2
05/01/2018;700;0;97;2
05/01/2018;800;0;97;0,8
05/01/2018;900;0;98;0,4
05/01/2018;1000;0;98;0,6
05/01/2018;1100;0;90;0,8
05/01/2018;1200;0;82;1
05/01/2018;1300;0;71;1,6
05/01/2018;1400;0;66;1,3
05/01/2018;1500;0;60;2,7
05/01/2018;1600;0;54;1,8
05/01/2018;1700;0;50;2,4
05/01/2018;1800;0;60;5,4
05/01/2018;1900;0;62;5,8
05/01/2018;2000;0;66;5,9
05/01/2018;2100;0;68;5
05/01/2018;2200;0;75;3,3
05/01/2018;2300;0;82;1,9
06/01/2018;0;0;86;1,4
06/01/2018;100;0;91;0,7
06/01/2018;200;0;95;1,1
06/01/2018;300;0;96;1,7
06/01/2018;400;0;96;1,2
06/01/2018;500;0;96;0,4
06/01/2018;600;0;97;1,1
06/01/2018;700;0;98;0,7
06/01/2018;800;0;98;0,8
06/01/2018;900;0;98;0,5
06/01/2018;1000;0;98;0,8
06/01/2018;1100;0;95;1
06/01/2018;1200;0;90;1,8
06/01/2018;1300;0;76;1,4
06/01/2018;1400;0;67;1,8
06/01/2018;1500;0;62;1,8
06/01/2018;1600;0;58;2,7
06/01/2018;1700;0;61;2,5
06/01/2018;1800;0;61;2,8
06/01/2018;1900;0;59;2,6
06/01/2018;2000;0;68;2,6
06/01/2018;2100;0;70;1,8
06/01/2018;2200;0;80;4,7
06/01/2018;2300;0;83;4,1
07/01/2018;0;0;84;2,2
07/01/2018;100;0,6;93;0,8
07/01/2018;200;1,6;97;2,2
07/01/2018;300;0;97;1,8
07/01/2018;400;0;95;1,7
07/01/2018;500;0;95;0,9
07/01/2018;600;0;96;1,9
07/01/2018;700;0;95;1,8
07/01/2018;800;0;93;2,9
07/01/2018;900;0;89;3,9
07/01/2018;1000;0;87;4,6
07/01/2018;1100;0;87;3,8
07/01/2018;1200;0,2;89;4,5
07/01/2018;1300;0;90;3,2
07/01/2018;1400;3,2;96;3,4
07/01/2018;1500;2,8;97;1,8
07/01/2018;1600;1;97;1,1
07/01/2018;1700;0;94;3,5
07/01/2018;1800;0,2;93;4,3
07/01/2018;1900;0;93;2,9
07/01/2018;2000;0,4;94;1,6
