Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;0;89;1
01/01/2018;100;0;90;0,6
01/01/2018;200;0;91;0,9
01/01/2018;300;0;91;0,6
01/01/2018;400;0;92;0,5
01/01/2018;500;0;92;0,5
01/01/2018;600;0;93;0,3
01/01/2018;700;0;93;0,5
01/01/2018;800;0;94;0,5
01/01/2018;900;0;94;0,7
01/01/2018;1000;0;93;1,1
01/01/2018;1100;0;80;1
01/01/2018;1200;0;74;1
01/01/2018;1300;0;66;1
01/01/2018;1400;0;61;2,5
01/01/2018;1500;0;62;3
01/01/2018;1600;1,4;74;4,7
01/01/2018;1700;0,2;55;6,1
01/01/2018;1800;0;53;6,5
01/01/2018;1900;0;51;6
01/01/2018;2000;0;49;5,4
01/01/2018;2100;0;50;3,6
01/01/2018;2200;0;64;1,6
01/01/2018;2300;0;71;1,3
02/01/2018;0;0;83;0,3
02/01/2018;100;0;85;0,6
02/01/2018;200;0;88;2,3
02/01/2018;300;0;88;4,2
02/01/2018;400;0;84;4,5
02/01/2018;500;0;84;3,2
02/01/2018;600;0;84;2,4
02/01/2018;700;0;87;1,3
02/01/2018;800;0;90;0,4
02/01/2018;900;0;91;0,5
02/01/2018;1000;0;91;1
02/01/2018;1100;0;82;1,8
02/01/2018;1200;0;71;3,4
02/01/2018;1300;0;66;3,1
02/01/2018;1400;0;57;2,9
02/01/2018;1500;0;53;3,9
02/01/2018;1600;0;49;4,8
02/01/2018;1700;0;50;5
02/01/2018;1800;0;51;5,5
02/01/2018;1900;0;51;3,4
02/01/2018;2000;0;47;4,8
02/01/2018;2100;0;53;3,5
02/01/2018;2200;0;58;1
02/01/2018;2300;0;65;0,9
03/01/2018;0;0;72;0,6
03/01/2018;100;0;77;0,9
03/01/2018;200;0;76;1,5
03/01/2018;300;0;70;1,2
03/01/2018;400;0;73;0,9
03/01/2018;500;0;84;0,7
03/01/2018;600;0;84;1,3
03/01/2018;700;0;85;0,9
03/01/2018;800;0;86;1,1
03/01/2018;900;0;87;0,7
03/01/2018;1000;0;85;4,3
03/01/2018;1100;0;75;3
03/01/2018;1200;0;72;2,4
03/01/2018;1300;0;63;2,9
03/01/2018;1400;0;60;3,3
03/01/2018;1500;0;60;3,9
03/01/2018;1600;1,2;83;4,4
03/01/2018;1700;1;88;1,3
03/01/2018;1800;0;64;3,9
03/01/2018;1900;0;65;4,5
03/01/2018;2000;4,4;87;2,8
03/01/2018;2100;0,2;88;1,1
03/01/2018;2200;0,4;86;4,9
03/01/2018;2300;18,8;92;3,5
04/01/2018;0;0;90;1,5
04/01/2018;100;0,6;91;1,8
04/01/2018;200;0,2;92;0,9
04/01/2018;300;1;93;0,8
04/01/2018;400;0;93;1
04/01/2018;500;0;93;0,8
04/01/2018;600;0;93;1,1
04/01/2018;700;0;93;1,2
04/01/2018;800;0;92;0,4
04/01/2018;900;0;92;0,6
04/01/2018;1000;0;92;0,7
04/01/2018;1100;0;86;0,8
04/01/2018;1200;0;80;1,6
04/01/2018;1300;0;76;1,7
04/01/2018;1400;0;59;1,9
04/01/2018;1500;0;55;2,2
04/01/2018;1600;0;54;1,6
04/01/2018;1700;0;45;3,5
04/01/2018;1800;0;31;2,5
04/01/2018;1900;0;48;6,6
04/01/2018;2000;0;52;7,1
04/01/2018;2100;0;58;6,1
04/01/2018;2200;0;70;3,7
04/01/2018;2300;0;77;2,8
05/01/2018;0;0;82;3,4
05/01/2018;100;0;84;2
05/01/2018;200;0;86;1,2
05/01/2018;300;0;89;0,4
05/01/2018;400;0;90;0,6
05/01/2018;500;0;90;0,7
05/01/2018;600;0;89;0,9
05/01/2018;700;0;89;0,6
05/01/2018;800;0;89;1,5
05/01/2018;900;0;89;1,3
05/01/2018;1000;0;89;0,8
05/01/2018;1100;0;87;4
05/01/2018;1200;0;76;4,2
05/01/2018;1300;0;75;3,3
05/01/2018;1400;0;72;3,3
05/01/2018;1500;0;68;2,3
05/01/2018;1600;0;66;2
05/01/2018;1700;0;61;1,1
05/01/2018;1800;0;58;1
05/01/2018;1900;0;58;1
05/01/2018;2000;0;59;1,9
05/01/2018;2100;0;71;4,5
05/01/2018;2200;0;76;4,4
05/01/2018;2300;0;76;2,2
06/01/2018;0;0;84;2
06/01/2018;100;0,2;89;2,6
06/01/2018;200;4,2;92;2,9
06/01/2018;300;0,2;92;2,5
06/01/2018;400;0;92;0,8
06/01/2018;500;0;92;2,2
06/01/2018;600;0;91;1,5
06/01/2018;700;0;92;2
06/01/2018;800;0;92;1,2
06/01/2018;900;0;91;1,1
06/01/2018;1000;0;91;0,4
06/01/2018;1100;0;87;1,1
06/01/2018;1200;0;84;1,3
06/01/2018;1300;0;76;1,3
06/01/2018;1400;0;69;1,4
06/01/2018;1500;0;64;0,8
06/01/2018;1600;0;68;2,5
06/01/2018;1700;1,4;74;0,6
06/01/2018;1800;0;72;1,8
06/01/2018;1900;0;67;2,8
06/01/2018;2000;0;64;1,7
06/01/2018;2100;0;69;2,2
06/01/2018;2200;0;78;5,5
06/01/2018;2300;0,8;86;2,3
07/01/2018;0;10,8;92;1,2
07/01/2018;100;7,2;93;2,5
07/01/2018;200;1,6;92;2,2
07/01/2018;300;2,2;92;1,9
07/01/2018;400;0,6;92;1,5
07/01/2018;500;0,2;90;1,9
07/01/2018;600;0,8;92;1
07/01/2018;700;0,4;93;1,1
07/01/2018;800;0;93;1,4
07/01/2018;900;0;92;0,7
07/01/2018;1000;0;91;0,9
07/01/2018;1100;1,4;92;2,5
07/01/2018;1200;0;90;1,6
07/01/2018;1300;0,4;89;1,4
07/01/2018;1400;0;88;1,6
07/01/2018;1500;0,2;87;0,9
07/01/2018;1600;0;77;1,4
07/01/2018;1700;0;74;3,2
07/01/2018;1800;0;89;3,4
07/01/2018;1900;2,8;92;4,3
07/01/2018;2000;4,8;93;3,1
07/01/2018;2100;2,4;93;2,6
07/01/2018;2200;1;93;2,6
07/01/2018;2300;12;94;3,4
08/01/2018;0;3,4;94;2,3
08/01/2018;100;1,8;93;2,2
08/01/2018;200;0,4;94;1,4
08/01/2018;300;1,2;94;2,8
