data;Carga;Avare;Ourinhos
2018-01-01 00:00:00.000;245,9900055;21.0;21.8
2018-01-01 01:00:00.000;237,5899963;20.7;21.2
2018-01-01 02:00:00.000;225,5500031;20.6;21.1
2018-01-01 03:00:00.000;215,0899963;20.6;21.1
2018-01-01 04:00:00.000;208,3000031;20.5;21.2
2018-01-01 05:00:00.000;206,6300049;20.2;20.9
2018-01-01 06:00:00.000;197,5;19.8;20.9
2018-01-01 07:00:00.000;183,4100037;19.4;20.9
2018-01-01 08:00:00.000;193,1499939;19.7;21.5
2018-01-01 09:00:00.000;209,8999939;20.3;22.6
2018-01-01 10:00:00.000;226,4799957;20.5;23.4
2018-01-01 11:00:00.000;235,9100037;21.8;24.4
2018-01-01 12:00:00.000;231,8399963;24.7;25.4
2018-01-01 13:00:00.000;223,1699982;24.8;27.5
2018-01-01 14:00:00.000;220,2700043;27.0;28.4
2018-01-01 15:00:00.000;222,0800018;26.8;29.8
2018-01-01 16:00:00.000;230,2100067;27.3;26.7
2018-01-01 17:00:00.000;242,5;23.9;26.9
2018-01-01 18:00:00.000;257,7000122;25.2;26.2
2018-01-01 19:00:00.000;279,5700073;24.6;25.7
2018-01-01 20:00:00.000;332,0499878;24.0;24.9
2018-01-01 21:00:00.000;328,1199951;22.7;24.0
2018-01-01 22:00:00.000;315,019989;22.2;23.7
2018-01-01 23:00:00.000;285,75;22.1;23.4
2018-01-02 00:00:00.000;258,7900085;21.8;23.4
2018-01-02 01:00:00.000;238,6100006;21.6;23.0
2018-01-02 02:00:00.000;227,5899963;21.3;22.0
2018-01-02 03:00:00.000;224,3399963;20.9;21.6
2018-01-02 04:00:00.000;227;20.8;21.4
2018-01-02 05:00:00.000;240,6199951;20.1;21.4
2018-01-02 06:00:00.000;254,6000061;19.7;21.3
2018-01-02 07:00:00.000;262,230011;19.9;20.5
2018-01-02 08:00:00.000;292,3699951;19.3;20.8
2018-01-02 09:00:00.000;319,5100098;21.4;23.9
2018-01-02 10:00:00.000;334,1700134;23.4;24.1
2018-01-02 11:00:00.000;332,730011;24.1;26.6
2018-01-02 12:00:00.000;337,2200012;25.3;26.8
2018-01-02 13:00:00.000;349,5799866;25.2;27.2
2018-01-02 14:00:00.000;357,8800049;25.4;26.4
2018-01-02 15:00:00.000;359,4500122;24.4;30.1
2018-01-02 16:00:00.000;360,9500122;23.8;28.5
2018-01-02 17:00:00.000;362,4100037;21.3;21.1
2018-01-02 18:00:00.000;364,5;21.4;21.9
2018-01-02 19:00:00.000;366,75;21.3;22.1
2018-01-02 20:00:00.000;394,9100037;20.9;22.2
2018-01-02 21:00:00.000;381,0899963;20.5;21.9
2018-01-02 22:00:00.000;361,9100037;20.5;21.7
2018-01-02 23:00:00.000;332,4400024;20.5;21.4
2018-01-03 00:00:00.000;303,1700134;20.4;20.9
2018-01-03 01:00:00.000;282,2200012;20.2;20.7
2018-01-03 02:00:00.000;271,0700073;20.1;20.8
2018-01-03 03:00:00.000;266,980011;20.0;20.8
2018-01-03 04:00:00.000;270,2399902;20.0;20.8
2018-01-03 05:00:00.000;280,019989;19.9;20.8
2018-01-03 06:00:00.000;296,9899902;19.7;20.8
2018-01-03 07:00:00.000;312,0499878;19.7;20.8
2018-01-03 08:00:00.000;343,2600098;19.9;21.4
2018-01-03 09:00:00.000;360,8800049;20.8;21.8
2018-01-03 10:00:00.000;368,8900146;22.1;22.5
2018-01-03 11:00:00.000;361,3200073;23.5;24.8
2018-01-03 12:00:00.000;365,2799988;25.7;26.4
2018-01-03 13:00:00.000;381,9500122;25.8;28.2
2018-01-03 14:00:00.000;388,7799988;26.3;28.9
2018-01-03 15:00:00.000;392,0599976;27.3;29.8
2018-01-03 16:00:00.000;395,6400146;27.3;30.3
2018-01-03 17:00:00.000;384,0400085;27.5;30.4
2018-01-03 18:00:00.000;376,2000122;27.8;30.0
2018-01-03 19:00:00.000;371,8099976;27.4;29.7
2018-01-03 20:00:00.000;408,9200134;26.5;28.1
2018-01-03 21:00:00.000;409,25;24.3;25.8
2018-01-03 22:00:00.000;385,7099915;23.5;23.8
2018-01-03 23:00:00.000;354,2000122;23.4;23.7
2018-01-04 00:00:00.000;316,5100098;21.8;23.6
2018-01-04 01:00:00.000;291,3299866;19.7;23.0
2018-01-04 02:00:00.000;278,3999939;19.5;23.0
2018-01-04 03:00:00.000;272,7999878;19.2;22.4
2018-01-04 04:00:00.000;274,2999878;19.0;21.7
2018-01-04 05:00:00.000;284,3399963;18.7;20.7
2018-01-04 06:00:00.000;295,6000061;18.6;20.5
2018-01-04 07:00:00.000;314,2000122;18.7;20.0
2018-01-04 08:00:00.000;345,8099976;19.7;19.9
2018-01-04 09:00:00.000;368,4599915;21.4;21.5
2018-01-04 10:00:00.000;382,3599854;23.5;24.7
2018-01-04 11:00:00.000;375,019989;25.4;27.1
2018-01-04 12:00:00.000;376,9700012;27.0;29.0
2018-01-04 13:00:00.000;395,0100098;28.1;29.9
2018-01-04 14:00:00.000;407,7600098;28.3;30.7
2018-01-04 15:00:00.000;410,5;29.1;31.6
2018-01-04 16:00:00.000;411,1700134;28.9;32.2
2018-01-04 17:00:00.000;396,0400085;28.3;32.4
2018-01-04 18:00:00.000;380,769989;28.1;31.1
2018-01-04 19:00:00.000;374,5499878;27.4;30.3
2018-01-04 20:00:00.000;411,2900085;26.5;29.4
2018-01-04 21:00:00.000;413,6400146;25.1;27.8
2018-01-04 22:00:00.000;392,8299866;23.1;26.6
2018-01-04 23:00:00.000;363,75;22.1;25.2
2018-01-05 00:00:00.000;326,9100037;21.8;23.8
2018-01-05 01:00:00.000;300,2200012;20.7;23.1
2018-01-05 02:00:00.000;287,6499939;19.8;21.7
2018-01-05 03:00:00.000;281,1499939;19.0;20.8
2018-01-05 04:00:00.000;281,3800049;18.3;19.9
2018-01-05 05:00:00.000;290,9599915;17.6;20.4
2018-01-05 06:00:00.000;298,8500061;17.8;18.9
2018-01-05 07:00:00.000;320,0899963;18.5;18.9
2018-01-05 08:00:00.000;358,1499939;21.0;19.8
2018-01-05 09:00:00.000;378,2900085;23.5;22.6
2018-01-05 10:00:00.000;393,7200012;25.3;25.5
2018-01-05 11:00:00.000;387,6000061;26.7;28.9
2018-01-05 12:00:00.000;390,9100037;27.6;29.1
2018-01-05 13:00:00.000;413,980011;28.4;30.7
2018-01-05 14:00:00.000;421,6199951;29.2;31.8
2018-01-05 15:00:00.000;422,0700073;29.5;32.9
2018-01-05 16:00:00.000;419,2600098;30.1;32.9
2018-01-05 17:00:00.000;403,8999939;30.4;32.3
2018-01-05 18:00:00.000;389,6199951;30.0;31.5
2018-01-05 19:00:00.000;382,5400085;29.1;32.0
2018-01-05 20:00:00.000;422,1799927;27.6;30.5
2018-01-05 21:00:00.000;417,6300049;26.6;27.4
2018-01-05 22:00:00.000;397,0499878;26.3;26.3
2018-01-05 23:00:00.000;374,5799866;25.1;25.8
2018-01-06 00:00:00.000;344,2399902;23.8;24.6
2018-01-06 01:00:00.000;320,0100098;22.9;24.1
2018-01-06 02:00:00.000;304,5;22.6;23.6
2018-01-06 03:00:00.000;295,7600098;22.2;23.2
2018-01-06 04:00:00.000;292,2600098;22.0;23.1
2018-01-06 05:00:00.000;293,5400085;22.0;23.0
2018-01-06 06:00:00.000;296,019989;21.8;23.0
2018-01-06 07:00:00.000;296,0799866;21.3;22.6
2018-01-06 08:00:00.000;319,7000122;21.8;23.2
2018-01-06 09:00:00.000;335,4599915;22.9;24.4
2018-01-06 10:00:00.000;341,5299988;23.7;25.7
2018-01-06 11:00:00.000;338,5899963;25.5;27.8
2018-01-06 12:00:00.000;334,6099854;27.4;29.7
2018-01-06 13:00:00.000;336,3299866;28.1;30.5
2018-01-06 14:00:00.000;338,9200134;28.6;31.2
2018-01-06 15:00:00.000;337,9299927;27.9;31.8
2018-01-06 16:00:00.000;338,2000122;21.9;31.5
2018-01-06 17:00:00.000;338,5599976;23.7;29.8
2018-01-06 18:00:00.000;344,2200012;23.4;29.5
2018-01-06 19:00:00.000;348,3200073;21.9;28.8
2018-01-06 20:00:00.000;380,269989;22.5;28.1
2018-01-06 21:00:00.000;360,0100098;21.8;24.7
2018-01-06 22:00:00.000;330,8599854;20.6;24.4
2018-01-06 23:00:00.000;303,5899963;19.9;21.9
2018-01-07 00:00:00.000;276,5400085;19.7;22.3
2018-01-07 01:00:00.000;257,7900085;19.7;21.4
2018-01-07 02:00:00.000;243,2400055;18.7;21.3
2018-01-07 03:00:00.000;235,6199951;19.3;21.3
2018-01-07 04:00:00.000;232,1699982;19.4;20.4
2018-01-07 05:00:00.000;232,6799927;18.7;20.7
2018-01-07 06:00:00.000;228,7200012;18.9;20.7
2018-01-07 07:00:00.000;217,4299927;19.2;20.1
2018-01-07 08:00:00.000;229,7299957;19.5;20.4
2018-01-07 09:00:00.000;241,3999939;20.3;21.3
2018-01-07 10:00:00.000;251,3000031;20.2;23.6
2018-01-07 11:00:00.000;257,2099915;21.4;24.8
2018-01-07 12:00:00.000;255,9299927;21.6;27.0
2018-01-07 13:00:00.000;249,3500061;22.5;26.7
2018-01-07 14:00:00.000;245,9900055;23.4;28.0
2018-01-07 15:00:00.000;248,8600006;23.5;27.9
2018-01-07 16:00:00.000;257,1400146;22.9;28.4
2018-01-07 17:00:00.000;275,7399902;22.8;27.5
2018-01-07 18:00:00.000;292,4200134;22.2;27.3
2018-01-07 19:00:00.000;293,1400146;20.9;26.3
2018-01-07 20:00:00.000;333,980011;20.4;26.0
2018-01-07 21:00:00.000;339,7399902;20.1;24.5
2018-01-07 22:00:00.000;325,1400146;19.6;23.5
2018-01-07 23:00:00.000;299,8299866;19.3;22.7
2018-01-08 00:00:00.000;279,25;19.2;22.5
2018-01-08 01:00:00.000;266,1000061;18.8;22.4
2018-01-08 02:00:00.000;259,9100037;18.9;22.4
2018-01-08 03:00:00.000;255,0500031;18.9;21.9
2018-01-08 04:00:00.000;258,4100037;18.9;21.9
2018-01-08 05:00:00.000;271,3099976;18.9;21.7
2018-01-08 06:00:00.000;295,1799927;18.8;21.9
2018-01-08 07:00:00.000;315,9500122;18.3;21.8
2018-01-08 08:00:00.000;347,4200134;18.3;21.5
2018-01-08 09:00:00.000;361,8200073;19.2;21.7
2018-01-08 10:00:00.000;372,9700012;20.3;23.0
2018-01-08 11:00:00.000;361,0499878;20.2;23.3
2018-01-08 12:00:00.000;360,5700073;19.3;23.3
2018-01-08 13:00:00.000;373,269989;20.8;20.7
2018-01-08 14:00:00.000;376;22.6;21.6
2018-01-08 15:00:00.000;375,3999939;23.8;22.6
2018-01-08 16:00:00.000;377,3299866;22.7;23.1
2018-01-08 17:00:00.000;366,1099854;20.8;23.3
2018-01-08 18:00:00.000;371,0700073;19.9;22.5
2018-01-08 19:00:00.000;375,8900146;19.2;20.6
2018-01-08 20:00:00.000;407,4500122;18.9;20.3
2018-01-08 21:00:00.000;392,2999878;18.7;20.3
2018-01-08 22:00:00.000;369,3999939;18.2;20.1
2018-01-08 23:00:00.000;331,1700134;18.2;19.8
2018-01-09 00:00:00.000;302,6799927;18.3;19.8
2018-01-09 01:00:00.000;281,3099976;18.3;19.9
2018-01-09 02:00:00.000;271,4200134;18.2;19.8
2018-01-09 03:00:00.000;268,9200134;18.1;19.8
2018-01-09 04:00:00.000;271,0100098;18.2;19.5
2018-01-09 05:00:00.000;282,7399902;18.1;19.3
2018-01-09 06:00:00.000;303,2099915;18.1;19.2
2018-01-09 07:00:00.000;324,2600098;18.1;19.2
2018-01-09 08:00:00.000;352,4500122;18.4;19.4
2018-01-09 09:00:00.000;367,8399963;19.1;20.1
2018-01-09 10:00:00.000;376,5;19.7;20.6
2018-01-09 11:00:00.000;366,4599915;20.2;21.0
2018-01-09 12:00:00.000;367,3800049;20.9;21.5
2018-01-09 13:00:00.000;383,1799927;20.8;22.7
2018-01-09 14:00:00.000;385,480011;20.9;23.3
2018-01-09 15:00:00.000;385,1700134;20.7;23.2
2018-01-09 16:00:00.000;387,0700073;20.7;22.8
2018-01-09 17:00:00.000;371,9400024;20.9;22.6
2018-01-09 18:00:00.000;368,8699951;20.9;22.7
2018-01-09 19:00:00.000;374,6300049;20.7;22.2
2018-01-09 20:00:00.000;412,5899963;20.2;21.6
2018-01-09 21:00:00.000;397,4400024;20.2;21.3
2018-01-09 22:00:00.000;377,1099854;20.1;21.3
2018-01-09 23:00:00.000;341,6199951;19.9;21.2
2018-01-10 00:00:00.000;307,5299988;19.7;21.1
2018-01-10 01:00:00.000;284,269989;19.5;21.2
2018-01-10 02:00:00.000;273,8599854;19.1;21.2
2018-01-10 03:00:00.000;267,1300049;19.0;21.2
2018-01-10 04:00:00.000;270,9700012;18.8;21.2
2018-01-10 05:00:00.000;282,3699951;18.5;21.0
2018-01-10 06:00:00.000;297,5899963;18.4;21.1
2018-01-10 07:00:00.000;322,6000061;18.4;20.9
2018-01-10 08:00:00.000;357,1400146;19.8;20.9
2018-01-10 09:00:00.000;377,75;22.8;21.9
2018-01-10 10:00:00.000;392,3200073;23.7;23.0
2018-01-10 11:00:00.000;384,6199951;26.0;24.5
2018-01-10 12:00:00.000;388,2799988;27.1;25.7
2018-01-10 13:00:00.000;410,1799927;27.9;26.1
2018-01-10 14:00:00.000;417,9500122;28.6;27.1
2018-01-10 15:00:00.000;416,1799927;28.8;27.8
2018-01-10 16:00:00.000;414,6499939;28.8;27.3
2018-01-10 17:00:00.000;396,5899963;27.8;27.3
