data;Carga;Cachoeira Paulista;Sao Sebastiao;Taubate
2018-01-01 00:00:00.000;1313,312988;23.0;25.9;21.5
2018-01-01 01:00:00.000;1300,359009;22.5;24.4;20.9
2018-01-01 02:00:00.000;1255,626953;21.8;24.1;20.8
2018-01-01 03:00:00.000;1198,064941;21.4;23.7;20.2
2018-01-01 04:00:00.000;1156,776978;21.2;23.9;19.6
2018-01-01 05:00:00.000;1132,384033;20.9;23.5;19.2
2018-01-01 06:00:00.000;1048,630981;20.3;23.2;19.1
2018-01-01 07:00:00.000;1043,092041;19.9;23.4;19.2
2018-01-01 08:00:00.000;1088,223999;22.4;26.2;22.2
2018-01-01 09:00:00.000;1162,449951;25.7;28.5;24.4
2018-01-01 10:00:00.000;1250,750977;26.9;29.4;26.9
2018-01-01 11:00:00.000;1333,168945;28.7;29.7;27.7
2018-01-01 12:00:00.000;1358,677979;30.1;29.8;28.4
2018-01-01 13:00:00.000;1316,38501;31.1;30.9;28.9
2018-01-01 14:00:00.000;1280,134033;31.5;31.6;30.0
2018-01-01 15:00:00.000;1293,813965;31.7;31.3;30.8
2018-01-01 16:00:00.000;1328,819946;31.8;32.0;31.2
2018-01-01 17:00:00.000;1380,251953;30.8;31.1;30.7
2018-01-01 18:00:00.000;1425,866943;30.9;30.0;30.4
2018-01-01 19:00:00.000;1485,047974;30.9;29.2;29.9
2018-01-01 20:00:00.000;1731,758057;29.4;28.0;29.1
2018-01-01 21:00:00.000;1764,650024;27.1;27.8;26.6
2018-01-01 22:00:00.000;1716,26001;25.7;27.5;25.0
2018-01-01 23:00:00.000;1612,906006;24.7;27.0;23.2
2018-01-02 00:00:00.000;1455,463989;23.8;26.9;22.5
2018-01-02 01:00:00.000;1336,935059;23.3;27.3;23.3
2018-01-02 02:00:00.000;1276,560059;22.7;27.3;23.2
2018-01-02 03:00:00.000;1237,642944;22.3;26.4;22.8
2018-01-02 04:00:00.000;1243,234985;21.9;25.4;22.5
2018-01-02 05:00:00.000;1282,447998;21.6;25.4;22.0
2018-01-02 06:00:00.000;1335,353027;21.1;25.4;21.2
2018-01-02 07:00:00.000;1459,301025;21.5;25.3;20.8
2018-01-02 08:00:00.000;1622,738037;22.9;27.2;23.1
2018-01-02 09:00:00.000;1740,473999;26.1;30.2;25.6
2018-01-02 10:00:00.000;1837,536011;27.4;32.0;27.0
2018-01-02 11:00:00.000;1871,631958;29.6;33.4;28.9
2018-01-02 12:00:00.000;1876,223999;29.6;34.6;29.8
2018-01-02 13:00:00.000;1929,77002;29.9;34.4;31.2
2018-01-02 14:00:00.000;1941,266968;31.5;33.3;30.7
2018-01-02 15:00:00.000;1941,542969;30.5;33.4;30.8
2018-01-02 16:00:00.000;1943,009033;30.0;32.6;30.9
2018-01-02 17:00:00.000;1888,60498;29.1;34.5;31.1
2018-01-02 18:00:00.000;1858,284058;29.3;34.5;31.8
2018-01-02 19:00:00.000;1899,284058;29.1;31.6;30.8
2018-01-02 20:00:00.000;2090,766113;27.8;30.2;29.0
2018-01-02 21:00:00.000;2090,128906;27.2;28.9;27.8
2018-01-02 22:00:00.000;2005,094971;25.4;28.9;27.0
2018-01-02 23:00:00.000;1860,756958;24.0;27.8;25.4
2018-01-03 00:00:00.000;1674,530029;25.1;27.1;26.8
2018-01-03 01:00:00.000;1565,303955;25.3;27.0;26.5
2018-01-03 02:00:00.000;1501,668945;25.7;26.9;24.8
2018-01-03 03:00:00.000;1470,51001;25.4;27.4;23.8
2018-01-03 04:00:00.000;1465,81604;24.2;27.4;22.7
2018-01-03 05:00:00.000;1503,323975;24.3;27.2;22.7
2018-01-03 06:00:00.000;1578,753052;23.4;27.3;22.4
2018-01-03 07:00:00.000;1684,600952;23.3;28.7;22.2
2018-01-03 08:00:00.000;1831,812012;24.0;28.2;24.2
2018-01-03 09:00:00.000;1941,447998;26.0;28.1;24.9
2018-01-03 10:00:00.000;2011,755981;27.2;29.2;27.1
2018-01-03 11:00:00.000;2034,519043;27.6;29.4;27.8
2018-01-03 12:00:00.000;2010,48999;28.0;28.8;28.2
2018-01-03 13:00:00.000;2057,805908;29.8;27.3;28.7
2018-01-03 14:00:00.000;2096,059082;30.9;26.9;29.6
2018-01-03 15:00:00.000;2098,302002;30.2;26.7;28.0
2018-01-03 16:00:00.000;2090,281006;29.8;25.9;29.2
2018-01-03 17:00:00.000;2017,305054;30.0;24.5;28.9
2018-01-03 18:00:00.000;1989,314941;29.5;24.2;27.0
2018-01-03 19:00:00.000;1977,379028;26.5;24.6;24.0
2018-01-03 20:00:00.000;2093,51709;22.6;24.7;23.9
2018-01-03 21:00:00.000;2083,870117;22.5;24.7;22.3
2018-01-03 22:00:00.000;1999,531006;22.5;25.0;21.3
2018-01-03 23:00:00.000;1877,08606;22.7;25.0;21.3
2018-01-04 00:00:00.000;1704,041016;20.7;24.4;20.9
2018-01-04 01:00:00.000;1566,545044;20.2;24.4;20.8
2018-01-04 02:00:00.000;1510,953979;20.3;24.0;20.9
2018-01-04 03:00:00.000;1480,883057;20.2;24.1;21.0
2018-01-04 04:00:00.000;1489,350952;20.2;23.9;20.7
2018-01-04 05:00:00.000;1530,300049;20.2;23.3;20.7
2018-01-04 06:00:00.000;1594,932007;20.2;22.8;20.5
2018-01-04 07:00:00.000;1724,178955;20.1;22.7;20.4
2018-01-04 08:00:00.000;1858,956055;20.7;24.5;21.1
2018-01-04 09:00:00.000;1958,270996;22.2;26.5;22.1
2018-01-04 10:00:00.000;2011,823975;23.4;27.2;23.9
2018-01-04 11:00:00.000;2032,625;24.3;27.7;25.2
2018-01-04 12:00:00.000;2004,697998;25.5;28.8;26.2
2018-01-04 13:00:00.000;2061,343018;26.1;29.2;27.2
2018-01-04 14:00:00.000;2092,334961;25.5;29.1;28.1
2018-01-04 15:00:00.000;2072,137939;25.9;29.2;29.5
2018-01-04 16:00:00.000;2071,825928;23.3;30.6;30.1
2018-01-04 17:00:00.000;1995,046997;22.5;29.8;29.3
2018-01-04 18:00:00.000;1968,109009;22.3;28.6;27.0
2018-01-04 19:00:00.000;1972,354004;20.5;27.4;25.5
2018-01-04 20:00:00.000;2158,048096;20.1;26.4;23.8
2018-01-04 21:00:00.000;2171,089111;19.3;25.8;21.3
2018-01-04 22:00:00.000;2074,270996;19.1;25.3;20.0
2018-01-04 23:00:00.000;1934,31897;18.9;25.1;19.1
2018-01-05 00:00:00.000;1740,043945;18.6;25.6;18.7
2018-01-05 01:00:00.000;1593,649048;18.4;25.6;18.8
2018-01-05 02:00:00.000;1517,614014;18.3;24.2;18.3
2018-01-05 03:00:00.000;1487,232056;18.0;24.6;18.5
2018-01-05 04:00:00.000;1500,537964;17.8;25.0;18.7
2018-01-05 05:00:00.000;1541,232056;18.0;25.3;18.8
2018-01-05 06:00:00.000;1608,13501;17.9;25.5;19.0
2018-01-05 07:00:00.000;1716,593994;18.2;25.3;18.8
2018-01-05 08:00:00.000;1854,697998;19.0;25.5;19.3
2018-01-05 09:00:00.000;1958,009033;20.0;26.7;21.3
2018-01-05 10:00:00.000;2037,217041;22.6;27.1;22.7
2018-01-05 11:00:00.000;2061,261963;23.8;28.2;23.9
2018-01-05 12:00:00.000;2046,5;25.2;29.2;25.2
2018-01-05 13:00:00.000;2116,455078;26.1;29.9;26.3
2018-01-05 14:00:00.000;2141,87207;27.4;30.4;27.9
2018-01-05 15:00:00.000;2132,227051;27.7;29.7;29.4
2018-01-05 16:00:00.000;2096,406006;27.2;29.0;29.9
2018-01-05 17:00:00.000;2047,532959;26.6;28.9;29.5
2018-01-05 18:00:00.000;2021,928955;24.4;28.2;29.6
2018-01-05 19:00:00.000;2014,540039;23.8;27.5;28.5
2018-01-05 20:00:00.000;2178,166992;22.6;26.4;26.5
2018-01-05 21:00:00.000;2161,552002;22.5;26.5;24.4
2018-01-05 22:00:00.000;2060,266113;22.5;26.5;23.8
2018-01-05 23:00:00.000;1951,457031;22.5;25.3;23.1
2018-01-06 00:00:00.000;1781,380981;21.9;25.5;22.6
2018-01-06 01:00:00.000;1648,394043;21.6;24.7;21.8
2018-01-06 02:00:00.000;1555,813965;21.6;24.5;21.7
2018-01-06 03:00:00.000;1516,229004;21.8;24.7;21.5
2018-01-06 04:00:00.000;1505,545044;23.3;24.6;21.4
2018-01-06 05:00:00.000;1518,171997;24.2;24.7;21.5
2018-01-06 06:00:00.000;1499,350952;24.1;24.2;21.3
2018-01-06 07:00:00.000;1533,93103;24.0;25.1;21.5
2018-01-06 08:00:00.000;1623,75;24.2;25.3;22.1
2018-01-06 09:00:00.000;1711,718994;25.0;25.7;22.9
2018-01-06 10:00:00.000;1771,840942;24.9;26.8;24.1
2018-01-06 11:00:00.000;1787,165039;25.2;27.0;26.0
2018-01-06 12:00:00.000;1803,911011;26.8;26.9;26.9
2018-01-06 13:00:00.000;1815,185059;27.7;27.7;27.5
2018-01-06 14:00:00.000;1812,238037;28.3;28.1;27.4
2018-01-06 15:00:00.000;1803,296021;27.3;29.2;26.7
2018-01-06 16:00:00.000;1810,251953;26.4;28.8;27.2
2018-01-06 17:00:00.000;1834,983032;27.3;29.6;28.4
2018-01-06 18:00:00.000;1883,634033;27.8;27.9;27.9
2018-01-06 19:00:00.000;1927,853027;27.1;27.0;27.2
2018-01-06 20:00:00.000;2015,662964;25.2;26.1;25.7
2018-01-06 21:00:00.000;1948,07605;24.2;25.7;21.9
2018-01-06 22:00:00.000;1824,781982;23.7;25.2;20.4
2018-01-06 23:00:00.000;1719,859009;22.8;24.5;19.7
2018-01-07 00:00:00.000;1581,394043;20.4;24.2;19.4
2018-01-07 01:00:00.000;1454,56897;19.9;24.0;19.1
2018-01-07 02:00:00.000;1384,168945;19.4;23.4;18.9
2018-01-07 03:00:00.000;1339,223022;18.8;23.4;18.7
2018-01-07 04:00:00.000;1306,055054;18.7;23.6;17.8
2018-01-07 05:00:00.000;1331,972046;18.1;23.6;17.8
2018-01-07 06:00:00.000;1292,741943;18.1;23.5;18.0
2018-01-07 07:00:00.000;1277,18103;17.9;23.9;18.2
2018-01-07 08:00:00.000;1322,879028;18.5;24.3;18.7
2018-01-07 09:00:00.000;1395,764038;19.4;24.9;19.3
2018-01-07 10:00:00.000;1435,407959;19.8;25.2;20.5
2018-01-07 11:00:00.000;1493,395996;20.4;26.0;20.7
2018-01-07 12:00:00.000;1527,36499;21.7;26.2;21.5
2018-01-07 13:00:00.000;1524,189941;22.7;26.1;23.2
2018-01-07 14:00:00.000;1512,659058;22.4;23.4;24.5
2018-01-07 15:00:00.000;1505,813965;22.3;24.0;24.4
2018-01-07 16:00:00.000;1526,900024;23.3;23.5;24.0
2018-01-07 17:00:00.000;1600,67395;23.1;22.8;21.1
2018-01-07 18:00:00.000;1618,720947;23.2;21.8;19.6
2018-01-07 19:00:00.000;1630,024048;22.6;21.6;19.3
2018-01-07 20:00:00.000;1775,886963;20.4;21.6;19.2
2018-01-07 21:00:00.000;1792,692017;19.5;22.0;19.1
2018-01-07 22:00:00.000;1736,474976;19.2;21.9;18.7
2018-01-07 23:00:00.000;1611,202026;19.2;21.9;18.7
2018-01-08 00:00:00.000;1488,102051;19.2;22.2;18.9
2018-01-08 01:00:00.000;1391,67395;19.0;22.3;19.0
2018-01-08 02:00:00.000;1339,996948;19.1;22.1;18.8
2018-01-08 03:00:00.000;1321,218994;19.1;22.0;18.8
2018-01-08 04:00:00.000;1337,489014;19.0;22.0;18.8
2018-01-08 05:00:00.000;1395,360962;19.0;21.9;18.9
2018-01-08 06:00:00.000;1563,829956;19.0;21.9;18.9
2018-01-08 07:00:00.000;1685,458984;19.1;21.8;19.0
2018-01-08 08:00:00.000;1839,401978;19.8;21.8;19.3
2018-01-08 09:00:00.000;1932,401978;20.3;22.3;19.9
2018-01-08 10:00:00.000;2003,453003;20.8;23.4;20.7
2018-01-08 11:00:00.000;2013,272949;21.1;23.8;21.6
2018-01-08 12:00:00.000;1995,975952;21.3;23.8;22.1
2018-01-08 13:00:00.000;2037,26001;21.0;24.3;22.9
2018-01-08 14:00:00.000;2038,036011;21.9;24.2;22.7
