data;Carga;Barueri;Sao Paulo - Mirante de Santana;Sao Paulo-SESC Interlagos
2018-01-01 00:00:00.000;3691,689941;21.0;21.3;
2018-01-01 01:00:00.000;3632,360107;21.0;21.1;
2018-01-01 02:00:00.000;3497,620117;20.9;20.9;
2018-01-01 03:00:00.000;3331,189941;20.7;20.8;
2018-01-01 04:00:00.000;3209,439941;20.5;20.6;
2018-01-01 05:00:00.000;3150,73999;20.4;20.6;
2018-01-01 06:00:00.000;2978,120117;20.2;20.5;
2018-01-01 07:00:00.000;2927,709961;20.3;20.9;
2018-01-01 08:00:00.000;3058,310059;21.1;21.7;
2018-01-01 09:00:00.000;3269,350098;21.9;22.2;
2018-01-01 10:00:00.000;3549,060059;22.5;22.9;
2018-01-01 11:00:00.000;3851,23999;22.7;23.7;
2018-01-01 12:00:00.000;4053,899902;23.7;24.8;
2018-01-01 13:00:00.000;3983,699951;24.1;25.6;
2018-01-01 14:00:00.000;3822,22998;25.9;26.1;
2018-01-01 15:00:00.000;3738,129883;26.2;27.5;
2018-01-01 16:00:00.000;3754,159912;27.3;27.9;
2018-01-01 17:00:00.000;3864,969971;28.1;28.0;
2018-01-01 18:00:00.000;3997,129883;28.5;29.0;
2018-01-01 19:00:00.000;4254,439941;28.3;28.5;
2018-01-01 20:00:00.000;4912,899902;26.4;27.0;
2018-01-01 21:00:00.000;5005,370117;24.6;25.8;
2018-01-01 22:00:00.000;4883;23.8;25.5;
2018-01-01 23:00:00.000;4479,089844;21.2;24.5;
2018-01-02 00:00:00.000;3973,899902;21.2;24.1;
2018-01-02 01:00:00.000;3585,27002;21.0;23.9;
2018-01-02 02:00:00.000;3347,379883;20.7;23.6;
2018-01-02 03:00:00.000;3267,120117;20.9;23.1;
2018-01-02 04:00:00.000;3347,840088;21.2;22.7;
2018-01-02 05:00:00.000;3599,679932;21.1;22.6;
2018-01-02 06:00:00.000;3989,659912;21.0;22.0;
2018-01-02 07:00:00.000;4427,879883;20.9;21.8;
2018-01-02 08:00:00.000;5006,100098;22.0;23.3;
2018-01-02 09:00:00.000;5424,830078;22.9;23.5;
2018-01-02 10:00:00.000;5715,97998;23.3;23.8;
2018-01-02 11:00:00.000;5845,120117;23.4;24.2;
2018-01-02 12:00:00.000;5886,779785;25.0;25.7;
2018-01-02 13:00:00.000;5967,97998;25.5;25.4;
2018-01-02 14:00:00.000;5977,549805;26.4;26.6;
2018-01-02 15:00:00.000;5994,089844;27.0;25.0;
2018-01-02 16:00:00.000;5993,290039;27.3;26.9;
2018-01-02 17:00:00.000;5918,990234;27.1;26.9;
2018-01-02 18:00:00.000;5802,02002;27.3;28.0;
2018-01-02 19:00:00.000;5911,27002;25.9;26.7;
2018-01-02 20:00:00.000;6297,589844;24.8;25.8;
2018-01-02 21:00:00.000;6107,549805;23.6;23.8;
2018-01-02 22:00:00.000;5644,370117;22.9;23.2;
2018-01-02 23:00:00.000;5085,930176;21.9;22.5;
2018-01-03 00:00:00.000;4435,27002;21.7;21.9;
2018-01-03 01:00:00.000;3971,870117;21.4;21.6;
2018-01-03 02:00:00.000;3742,909912;21.5;21.6;
2018-01-03 03:00:00.000;3663,47998;21.6;21.4;
2018-01-03 04:00:00.000;3748,75;21.5;21.5;
2018-01-03 05:00:00.000;4009,189941;21.5;21.6;
2018-01-03 06:00:00.000;4450,950195;21.4;21.7;
2018-01-03 07:00:00.000;4891,790039;20.9;21.4;
2018-01-03 08:00:00.000;5404,200195;20.8;21.4;
2018-01-03 09:00:00.000;5762,5;20.9;21.6;
2018-01-03 10:00:00.000;6037,419922;21.4;21.7;
2018-01-03 11:00:00.000;6199,5;22.1;21.9;
2018-01-03 12:00:00.000;6161,799805;22.9;22.8;
2018-01-03 13:00:00.000;6286,189941;23.8;23.6;
2018-01-03 14:00:00.000;6325,560059;24.4;24.3;
2018-01-03 15:00:00.000;6315,120117;25.5;24.7;
2018-01-03 16:00:00.000;6242,25;25.5;26.3;
2018-01-03 17:00:00.000;6112,220215;23.5;25.2;
2018-01-03 18:00:00.000;6022,370117;23.7;22.4;
