Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;0;97;0
01/01/2018;100;0;98;0,6
01/01/2018;200;0;98;0,1
01/01/2018;300;0,2;98;0
01/01/2018;400;0;98;0,2
01/01/2018;500;0;98;0
01/01/2018;600;0;98;0,1
01/01/2018;700;0;98;0
01/01/2018;800;0;98;0
01/01/2018;900;0,2;98;0
01/01/2018;1000;0;98;1,6
01/01/2018;1100;0;95;1,8
01/01/2018;1200;0;88;0,7
01/01/2018;1300;0;81;3,2
01/01/2018;1400;0;79;1,9
01/01/2018;1500;0;73;2
01/01/2018;1600;0,2;69;2,2
01/01/2018;1700;0;67;2,2
01/01/2018;1800;0;63;2
01/01/2018;1900;0,2;68;1,5
01/01/2018;2000;0;85;2,2
01/01/2018;2100;0;94;1,1
01/01/2018;2200;0,2;96;0,1
01/01/2018;2300;0;97;0,2
02/01/2018;0;0;98;0
02/01/2018;100;0;98;0,4
02/01/2018;200;0,2;98;0,2
02/01/2018;300;0;98;1
02/01/2018;400;0;94;0,5
02/01/2018;500;0;97;0
02/01/2018;600;0;98;1,7
02/01/2018;700;0,2;97;2,1
02/01/2018;800;0;95;1,7
02/01/2018;900;0;95;1,2
02/01/2018;1000;0;94;1,4
02/01/2018;1100;0;92;2
02/01/2018;1200;0;92;2,7
02/01/2018;1300;0;87;3,6
02/01/2018;1400;0;79;2,7
02/01/2018;1500;0;77;3,7
02/01/2018;1600;0;76;3,1
02/01/2018;1700;0;72;4,3
02/01/2018;1800;0;69;4,3
02/01/2018;1900;0;74;2,3
02/01/2018;2000;0;83;1,8
02/01/2018;2100;0,2;84;2,2
02/01/2018;2200;0;86;0,8
02/01/2018;2300;0;87;0,6
03/01/2018;0;0;95;0
03/01/2018;100;0;97;0
03/01/2018;200;0;97;0
03/01/2018;300;0;98;0,2
03/01/2018;400;0;98;1,2
03/01/2018;500;0,2;94;0,7
03/01/2018;600;0;94;0,3
03/01/2018;700;0;96;0
03/01/2018;800;0;97;0,3
03/01/2018;900;0;97;0,3
03/01/2018;1000;0;97;1,1
03/01/2018;1100;0;94;0,4
03/01/2018;1200;0;90;0,3
03/01/2018;1300;0;82;1,8
03/01/2018;1400;0;82;1,7
03/01/2018;1500;0;81;2,4
03/01/2018;1600;0;77;1,9
03/01/2018;1700;0;79;1,2
03/01/2018;1800;0;78;2,5
03/01/2018;1900;0,2;75;1,8
03/01/2018;2000;0;84;1,7
03/01/2018;2100;0;85;1,4
03/01/2018;2200;0;87;2,3
03/01/2018;2300;0;89;0,6
04/01/2018;0;0;90;0,4
04/01/2018;100;0;96;0
04/01/2018;200;0,2;97;0
04/01/2018;300;0;98;0
04/01/2018;400;0;98;0
04/01/2018;500;0;98;0
04/01/2018;600;0;99;0
04/01/2018;700;0;99;0
04/01/2018;800;0;99;0
04/01/2018;900;0;99;0
04/01/2018;1000;0;99;0
04/01/2018;1100;0;99;0,2
04/01/2018;1200;0,2;83;0,5
04/01/2018;1300;0;70;1,8
04/01/2018;1400;0;51;2,2
04/01/2018;1500;0;56;1,9
04/01/2018;1600;0;56;1,4
04/01/2018;1700;0;67;1,8
04/01/2018;1800;0;65;1,2
04/01/2018;1900;0,2;68;1,7
04/01/2018;2000;0;72;2,1
04/01/2018;2100;0;81;0,7
04/01/2018;2200;0;88;0,4
04/01/2018;2300;0;94;0
05/01/2018;0;0;96;0
