Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;0;96;0,3
01/01/2018;100;0;97;0,4
01/01/2018;200;0;100;1,6
01/01/2018;300;0;100;1,1
01/01/2018;400;0;99;0,9
01/01/2018;500;0;100;0,6
01/01/2018;600;0;100;0,5
01/01/2018;700;0;null;0,7
01/01/2018;800;0;null;0,6
01/01/2018;900;0;null;0,6
01/01/2018;1000;0;null;0,6
01/01/2018;1100;0;100;1,6
01/01/2018;1200;0;99;1,9
01/01/2018;1300;0;92;2,5
01/01/2018;1400;0;84;2,1
01/01/2018;1500;0;72;2,7
01/01/2018;1600;0;66;2,1
01/01/2018;1700;0;63;4
01/01/2018;1800;0;64;2
01/01/2018;1900;0;61;1,1
01/01/2018;2000;0;62;1,8
01/01/2018;2100;0;62;0
01/01/2018;2200;0;74;1,1
01/01/2018;2300;2,4;98;4,7
02/01/2018;0;21;null;1,9
02/01/2018;100;1;null;0,7
02/01/2018;200;0,4;null;0,4
02/01/2018;300;0;null;0,3
02/01/2018;400;0;null;0,1
02/01/2018;500;0;null;0,4
02/01/2018;600;0;null;1,8
02/01/2018;700;7,8;null;0
02/01/2018;800;0,4;null;0,3
02/01/2018;900;1;null;0,1
02/01/2018;1000;0;null;0,8
02/01/2018;1100;0,8;100;1,4
02/01/2018;1200;2,4;100;1,5
02/01/2018;1300;0;98;2
02/01/2018;1400;0;98;1,6
02/01/2018;1500;0,6;89;2,4
02/01/2018;1600;0,6;93;3,2
02/01/2018;1700;4,6;100;3,1
02/01/2018;1800;8,2;null;1,9
02/01/2018;1900;0,4;null;2
02/01/2018;2000;0;100;1,4
02/01/2018;2100;0,4;100;0,9
02/01/2018;2200;15,4;null;1
02/01/2018;2300;4,6;null;0,3
03/01/2018;0;0,8;null;1,8
03/01/2018;100;0;null;2,5
03/01/2018;200;0;null;1,4
03/01/2018;300;0;null;0,7
03/01/2018;400;0;null;0,7
03/01/2018;500;0;null;0,3
03/01/2018;600;0;null;1,3
03/01/2018;700;0,2;null;1,7
03/01/2018;800;0;null;1,7
03/01/2018;900;0;null;1,8
03/01/2018;1000;0;null;2,1
03/01/2018;1100;0;100;2,7
03/01/2018;1200;0;99;2,4
03/01/2018;1300;0;94;1,7
03/01/2018;1400;0;94;1,9
03/01/2018;1500;0;93;2,6
03/01/2018;1600;0;75;2,7
03/01/2018;1700;0;71;2,6
03/01/2018;1800;0;63;3,2
03/01/2018;1900;0;61;2,6
03/01/2018;2000;0;55;2,3
03/01/2018;2100;0;55;1,5
03/01/2018;2200;0;61;0,4
03/01/2018;2300;0;65;0,5
04/01/2018;0;0;65;0,9
04/01/2018;100;0;65;0,6
04/01/2018;200;0;67;0,4
04/01/2018;300;0;67;0,4
04/01/2018;400;0;72;0,3
04/01/2018;500;0;72;0,3
04/01/2018;600;0;80;0,1
04/01/2018;700;0;89;0
04/01/2018;800;0;96;0,3
04/01/2018;900;0;73;0,7
04/01/2018;1000;0;81;1,7
04/01/2018;1100;0;82;1,4
04/01/2018;1200;0;79;1,7
04/01/2018;1300;0;72;1,7
04/01/2018;1400;0;68;1,3
04/01/2018;1500;0;62;1,3
04/01/2018;1600;0;57;0,7
04/01/2018;1700;0;52;0,8
04/01/2018;1800;0;50;1,2
04/01/2018;1900;0;45;0,9
04/01/2018;2000;0;42;1,5
04/01/2018;2100;0;49;2,4
04/01/2018;2200;0;55;2,5
04/01/2018;2300;0;59;2,3
05/01/2018;0;0;57;2,3
05/01/2018;100;0;59;1,7
05/01/2018;200;0;64;1,1
05/01/2018;300;0;64;1,8
05/01/2018;400;0;65;1,3
05/01/2018;500;0;67;1,2
05/01/2018;600;0;67;1,6
05/01/2018;700;0;70;0,6
05/01/2018;800;0;70;1,9
05/01/2018;900;0;70;1,7
05/01/2018;1000;0;71;1,1
05/01/2018;1100;0;68;1,6
05/01/2018;1200;0;69;1,2
05/01/2018;1300;0;67;1,8
05/01/2018;1400;0;64;1,8
05/01/2018;1500;0;60;1,9
05/01/2018;1600;0;59;2,1
05/01/2018;1700;0;53;1,9
05/01/2018;1800;0;50;0,9
05/01/2018;1900;0;47;1,5
05/01/2018;2000;0;43;0
05/01/2018;2100;0;45;0,1
05/01/2018;2200;0;50;0,4
05/01/2018;2300;0;58;1,1
06/01/2018;0;16,6;100;2
06/01/2018;100;0,4;100;1,5
06/01/2018;200;1,4;100;1
06/01/2018;300;9,6;null;1,9
06/01/2018;400;0;100;0,4
06/01/2018;500;0;100;1
06/01/2018;600;0;100;0,5
06/01/2018;700;0;100;2,1
06/01/2018;800;5,6;null;0,6
06/01/2018;900;1,8;null;0,4
06/01/2018;1000;0,2;null;0,5
06/01/2018;1100;1,8;null;0,7
06/01/2018;1200;1,4;null;1,1
06/01/2018;1300;0,4;100;0,8
06/01/2018;1400;0;97;1,3
06/01/2018;1500;0;83;1,2
06/01/2018;1600;0;75;1,3
06/01/2018;1700;0;69;0
06/01/2018;1800;0;67;0,4
06/01/2018;1900;0;66;0
06/01/2018;2000;0;72;1
06/01/2018;2100;0;71;0
06/01/2018;2200;0;72;0,3
06/01/2018;2300;0;74;0,2
07/01/2018;0;0;78;1,3
07/01/2018;100;0;95;1,6
07/01/2018;200;0;97;2,6
07/01/2018;300;0;89;3
07/01/2018;400;0;86;2,2
07/01/2018;500;0;83;2
07/01/2018;600;0;84;1,4
07/01/2018;700;0;96;2,3
07/01/2018;800;0;98;1,8
07/01/2018;900;0;95;1,4
07/01/2018;1000;0;97;1,7
07/01/2018;1100;0;98;1,6
07/01/2018;1200;0;86;1,6
07/01/2018;1300;0;83;1,7
07/01/2018;1400;0;74;2,1
07/01/2018;1500;0;65;1,9
07/01/2018;1600;0;65;2,8
07/01/2018;1700;0;65;2,2
07/01/2018;1800;0;63;1,9
07/01/2018;1900;0;63;2,3
07/01/2018;2000;0;63;2,3
07/01/2018;2100;0;62;2
07/01/2018;2200;0;67;0,9
07/01/2018;2300;0;69;2
08/01/2018;0;0;68;1,8
08/01/2018;100;0;69;2,3
08/01/2018;200;0;71;2,6
08/01/2018;300;0;70;2,7
08/01/2018;400;0;73;2,6
08/01/2018;500;0;75;2,2
08/01/2018;600;0;77;2,4
08/01/2018;700;0;78;2,2
08/01/2018;800;0;82;2,4
08/01/2018;900;0;83;2,7
08/01/2018;1000;0;83;2,4
08/01/2018;1100;0;83;2,8
08/01/2018;1200;0;97;2,5
08/01/2018;1300;0;85;1,5
08/01/2018;1400;0;80;1,9
