Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;0;94;3,4
01/01/2018;100;0;95;0,5
01/01/2018;200;0;96;2,7
01/01/2018;300;0;96;1,4
01/01/2018;400;0;96;0
01/01/2018;500;0;96;0
01/01/2018;600;0;96;0
01/01/2018;700;0;96;2,1
01/01/2018;800;0;96;2,4
01/01/2018;900;0,2;96;2,2
01/01/2018;1000;0;96;2,3
01/01/2018;1100;0;95;2,4
01/01/2018;1200;0;93;3,6
01/01/2018;1300;0;87;2,2
01/01/2018;1400;0;85;3,4
01/01/2018;1500;0;83;4,7
01/01/2018;1600;0;81;3,6
01/01/2018;1700;0;80;3,9
01/01/2018;1800;0;74;3,3
01/01/2018;1900;0;70;3,3
01/01/2018;2000;0;68;4,2
01/01/2018;2100;0;75;2,4
01/01/2018;2200;0;84;2,3
01/01/2018;2300;0;89;1,3
02/01/2018;0;0;90;0,6
02/01/2018;100;0;92;1,8
02/01/2018;200;0;90;0
02/01/2018;300;0;92;0,2
02/01/2018;400;0;93;0
02/01/2018;500;0;94;1,5
02/01/2018;600;0;95;0,3
02/01/2018;700;0;96;1,4
02/01/2018;800;0;96;0
02/01/2018;900;0;96;2,3
02/01/2018;1000;0,6;96;1,9
02/01/2018;1100;0,4;94;6,1
02/01/2018;1200;0;93;3
02/01/2018;1300;0;92;4
02/01/2018;1400;0;81;4,7
02/01/2018;1500;0;78;5,4
02/01/2018;1600;0;71;5,9
02/01/2018;1700;0;70;5,4
02/01/2018;1800;0;72;4
02/01/2018;1900;0,8;80;4,8
02/01/2018;2000;12,2;95;8
02/01/2018;2100;3,6;96;1,7
02/01/2018;2200;0,2;96;1,2
02/01/2018;2300;0,4;96;1,6
03/01/2018;0;0;96;4
03/01/2018;100;0;95;4,6
03/01/2018;200;0;95;2,5
03/01/2018;300;0;95;2,5
03/01/2018;400;0;95;1,5
03/01/2018;500;0;96;2,1
03/01/2018;600;0,4;96;2,2
03/01/2018;700;0;96;3,3
03/01/2018;800;0,2;95;3,5
03/01/2018;900;0;94;3,5
03/01/2018;1000;0;94;4
03/01/2018;1100;0;93;3,9
03/01/2018;1200;0;94;2,8
03/01/2018;1300;1,4;95;0,3
03/01/2018;1400;0;92;2,9
03/01/2018;1500;0;83;2,6
03/01/2018;1600;0;82;2,2
03/01/2018;1700;0;78;3,1
03/01/2018;1800;0;75;1,1
03/01/2018;1900;0;72;2,5
03/01/2018;2000;0;80;3,2
03/01/2018;2100;0;80;2,8
03/01/2018;2200;0;85;3,4
03/01/2018;2300;0;89;3,8
04/01/2018;0;0;90;4
04/01/2018;100;0;87;3,5
04/01/2018;200;0;89;3,4
04/01/2018;300;0;92;1,9
04/01/2018;400;0;93;2,6
04/01/2018;500;0;93;2,3
04/01/2018;600;0;94;1
04/01/2018;700;0;95;0,3
04/01/2018;800;0;96;1,7
04/01/2018;900;0;96;0
04/01/2018;1000;0;95;0,5
04/01/2018;1100;0;91;2,2
04/01/2018;1200;0;82;3,6
04/01/2018;1300;0;67;3,7
04/01/2018;1400;0;59;3,1
04/01/2018;1500;0;59;2,9
04/01/2018;1600;0;59;2,3
04/01/2018;1700;0;58;2,5
04/01/2018;1800;0;58;3,3
04/01/2018;1900;0;57;3,2
04/01/2018;2000;0;55;4,1
04/01/2018;2100;0;65;3,2
04/01/2018;2200;0;65;2,9
04/01/2018;2300;0;67;2,9
05/01/2018;0;0;82;2,9
05/01/2018;100;0;90;2,6
05/01/2018;200;0;91;3,2
05/01/2018;300;0;92;2,1
05/01/2018;400;0;93;1,5
05/01/2018;500;0;95;0,6
05/01/2018;600;0;96;0
05/01/2018;700;0;97;0,9
05/01/2018;800;0;97;0
05/01/2018;900;0;97;0
05/01/2018;1000;0;97;0
05/01/2018;1100;0;96;1,3
05/01/2018;1200;0;77;0
05/01/2018;1300;0;71;0,9
05/01/2018;1400;0;64;0
05/01/2018;1500;0;61;1,5
05/01/2018;1600;0;53;1,8
05/01/2018;1700;0;51;1,5
05/01/2018;1800;0;48;2
05/01/2018;1900;0;47;0
05/01/2018;2000;0;55;3,6
05/01/2018;2100;0;62;3
05/01/2018;2200;0;78;3,6
05/01/2018;2300;0;87;3,8
06/01/2018;0;0;91;2,5
06/01/2018;100;0;92;2,3
06/01/2018;200;0;93;2,2
06/01/2018;300;0;94;1,9
06/01/2018;400;0;94;1,2
06/01/2018;500;0;96;0,4
06/01/2018;600;0;96;1,8
06/01/2018;700;0;97;0
06/01/2018;800;0;97;0
06/01/2018;900;0;97;0
06/01/2018;1000;0;97;0
06/01/2018;1100;0;97;0
06/01/2018;1200;0;97;0
06/01/2018;1300;0;86;1,9
06/01/2018;1400;0;80;1,7
06/01/2018;1500;0;78;3,3
06/01/2018;1600;0;75;3,2
06/01/2018;1700;0;69;2,6
06/01/2018;1800;0;64;3,2
06/01/2018;1900;0,6;85;3,9
06/01/2018;2000;3;90;6
06/01/2018;2100;0,2;87;4
06/01/2018;2200;1,6;89;2,1
06/01/2018;2300;0,6;95;1,8
07/01/2018;0;0,2;95;3,1
07/01/2018;100;2;94;3
07/01/2018;200;0,8;94;2,3
07/01/2018;300;0;93;3,5
07/01/2018;400;0;95;2
07/01/2018;500;0;95;0,3
07/01/2018;600;0;95;2,6
07/01/2018;700;0;94;1,5
07/01/2018;800;0;95;1,9
07/01/2018;900;0;95;2,1
07/01/2018;1000;0,2;95;1,7
07/01/2018;1100;0;95;2,7
07/01/2018;1200;0;94;3,6
07/01/2018;1300;0;92;4,3
07/01/2018;1400;0,2;93;2,2
07/01/2018;1500;0;92;3,9
07/01/2018;1600;0;81;5,5
07/01/2018;1700;0;77;3,8
07/01/2018;1800;0;91;4,2
07/01/2018;1900;0;90;3,9
07/01/2018;2000;0,4;94;2,6
07/01/2018;2100;0,2;94;2,9
07/01/2018;2200;1,8;96;1,8
07/01/2018;2300;1,4;96;1,8
08/01/2018;0;0;96;1,6
08/01/2018;100;0,6;96;1,8
08/01/2018;200;0,6;95;1,9
08/01/2018;300;0;96;2,6
08/01/2018;400;0;95;2,4
08/01/2018;500;0;94;2,7
08/01/2018;600;0;94;1,9
08/01/2018;700;0;93;2,8
08/01/2018;800;0;93;3
08/01/2018;900;0;93;2,5
08/01/2018;1000;0,6;93;2,4
08/01/2018;1100;1,8;95;2,1
08/01/2018;1200;1,8;95;3
08/01/2018;1300;3,2;95;3,3
08/01/2018;1400;2;94;3,2
08/01/2018;1500;0,2;94;3,7
08/01/2018;1600;1;94;4,2
08/01/2018;1700;0;93;4,5
08/01/2018;1800;0,2;92;3,1
08/01/2018;1900;0,2;92;3,5
08/01/2018;2000;0;91;5
08/01/2018;2100;0;88;4
08/01/2018;2200;0;91;3,2
08/01/2018;2300;0;93;2,5
09/01/2018;0;1;95;1,8
09/01/2018;100;0,2;95;2,1
09/01/2018;200;0,2;95;1
09/01/2018;300;0,4;96;0,9
09/01/2018;400;0;96;0,2
09/01/2018;500;0;96;0
09/01/2018;600;0;96;0
09/01/2018;700;0,2;97;0
09/01/2018;800;0,8;97;1
09/01/2018;900;1,6;97;0
09/01/2018;1000;0,6;97;0,8
09/01/2018;1100;0,2;97;1
09/01/2018;1200;0,6;96;0,7
09/01/2018;1300;0,4;95;0
09/01/2018;1400;0,4;93;1,4
09/01/2018;1500;0,4;91;1,3
09/01/2018;1600;9,4;95;1,7
09/01/2018;1700;1,6;94;0,3
09/01/2018;1800;0,8;94;0,2
09/01/2018;1900;0;93;0
09/01/2018;2000;0;91;1,7
09/01/2018;2100;0;92;3,1
09/01/2018;2200;0;92;2,7
09/01/2018;2300;0;93;2,7
10/01/2018;0;0;94;1,9
10/01/2018;100;0;95;2,3
10/01/2018;200;0;94;1,6
10/01/2018;300;0;95;2,7
10/01/2018;400;0;95;1,1
10/01/2018;500;0;96;2
10/01/2018;600;0;96;1,3
10/01/2018;700;0;96;1,5
10/01/2018;800;0;96;2,6
10/01/2018;900;0;95;2,1
10/01/2018;1000;0;95;0,3
10/01/2018;1100;0;95;1,5
10/01/2018;1200;0;89;1,5
10/01/2018;1300;0;83;1,9
10/01/2018;1400;0;78;1,1
10/01/2018;1500;0;72;3,2
10/01/2018;1600;0;67;2,3
10/01/2018;1700;0;69;2,1
10/01/2018;1800;0;63;2,7
10/01/2018;1900;0;79;5,3
10/01/2018;2000;0;82;3,2
10/01/2018;2100;0;90;4,2
10/01/2018;2200;0;92;3,2
10/01/2018;2300;0;91;3,7
11/01/2018;0;0;92;3
11/01/2018;100;0;92;2,6
11/01/2018;200;0;94;1,6
