Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;0;78;4,3
01/01/2018;100;0;78;4,7
01/01/2018;200;0;80;3,7
01/01/2018;300;0;80;1,9
01/01/2018;400;0;81;2,2
01/01/2018;500;0;82;2,2
01/01/2018;600;0;82;3,2
01/01/2018;700;0;82;1,6
01/01/2018;800;0;82;3,6
01/01/2018;900;0;82;2,8
01/01/2018;1000;0;80;4,3
01/01/2018;1100;0;77;4,5
01/01/2018;1200;0;76;3,9
01/01/2018;1300;0;74;4,2
01/01/2018;1400;0;70;4,3
01/01/2018;1500;0;67;4,9
01/01/2018;1600;0;65;4,7
01/01/2018;1700;0;60;4,1
01/01/2018;1800;0;58;3,3
01/01/2018;1900;0;56;3,1
01/01/2018;2000;0;56;2,4
01/01/2018;2100;0;56;3
01/01/2018;2200;0;61;2,7
01/01/2018;2300;0;64;1,4
02/01/2018;0;0;69;1,3
02/01/2018;100;0;71;0,9
02/01/2018;200;0;72;2,2
02/01/2018;300;0;74;2
02/01/2018;400;0;76;2
02/01/2018;500;0;76;2,1
02/01/2018;600;0;76;2,4
02/01/2018;700;0;75;2,7
02/01/2018;800;0;77;2,6
02/01/2018;900;0;77;2,4
02/01/2018;1000;0;76;2,9
02/01/2018;1100;0;75;3,2
02/01/2018;1200;0;71;5,3
02/01/2018;1300;0;69;5,3
02/01/2018;1400;0;67;6
02/01/2018;1500;0;65;4,4
02/01/2018;1600;0;70;4,4
02/01/2018;1700;0,8;82;4,1
02/01/2018;1800;0;69;4,8
02/01/2018;1900;0;64;4,9
02/01/2018;2000;0;60;4,3
02/01/2018;2100;0;64;4
02/01/2018;2200;0,6;79;2,1
02/01/2018;2300;0;77;2,5
03/01/2018;0;0;78;3,9
03/01/2018;100;0;76;3,8
03/01/2018;200;0;79;3,8
03/01/2018;300;0;79;3,2
03/01/2018;400;0;79;3,8
03/01/2018;500;0;80;4,1
03/01/2018;600;0;80;0,6
03/01/2018;700;0;79;3,8
03/01/2018;800;0;80;2,9
03/01/2018;900;0,6;86;3,1
03/01/2018;1000;0,4;87;2,9
03/01/2018;1100;0;84;2,4
03/01/2018;1200;0,2;85;2,4
03/01/2018;1300;0,4;87;2,9
03/01/2018;1400;0;86;4
03/01/2018;1500;0;79;3
03/01/2018;1600;0,4;76;2,6
03/01/2018;1700;0,2;79;2
03/01/2018;1800;0;71;2,5
03/01/2018;1900;5,4;88;0,7
03/01/2018;2000;0;87;1,8
03/01/2018;2100;4,8;88;1,6
03/01/2018;2200;0,6;88;2,5
03/01/2018;2300;0,2;86;2,1
04/01/2018;0;0,4;88;1,9
04/01/2018;100;0;87;1,6
04/01/2018;200;0;85;1,8
04/01/2018;300;0;83;1,9
04/01/2018;400;0;83;1,6
04/01/2018;500;0;82;2,4
04/01/2018;600;0;82;1,9
04/01/2018;700;0;84;2,1
04/01/2018;800;0;84;2,2
04/01/2018;900;0;85;1,9
04/01/2018;1000;0;83;2,5
04/01/2018;1100;0;74;2,6
04/01/2018;1200;0;60;4,1
04/01/2018;1300;0;44;3,4
04/01/2018;1400;0;34;4,2
04/01/2018;1500;0;34;3,2
04/01/2018;1600;0;32;2,9
04/01/2018;1700;0;33;3,2
04/01/2018;1800;0;34;2,3
04/01/2018;1900;0;36;2,8
04/01/2018;2000;0;48;2,9
04/01/2018;2100;0;53;2,8
04/01/2018;2200;0;44;3,7
04/01/2018;2300;0;51;4,1
05/01/2018;0;0;59;4
05/01/2018;100;0;65;2,4
05/01/2018;200;0;70;2,7
05/01/2018;300;0;72;2,1
05/01/2018;400;0;72;2,1
05/01/2018;500;0;71;2,3
05/01/2018;600;0;76;1,9
05/01/2018;700;0;79;1,8
05/01/2018;800;0;80;2,3
05/01/2018;900;0;81;2,5
05/01/2018;1000;0;80;2,7
05/01/2018;1100;0;73;2,2
05/01/2018;1200;0;66;2,8
05/01/2018;1300;0;63;1,9
05/01/2018;1400;0;60;1,2
05/01/2018;1500;0;53;0,9
05/01/2018;1600;0;51;1,2
05/01/2018;1700;0;48;1,7
05/01/2018;1800;0;58;4,6
05/01/2018;1900;0;60;3,6
05/01/2018;2000;0;65;3,7
05/01/2018;2100;0;72;3,2
05/01/2018;2200;0;73;1,6
05/01/2018;2300;0;73;1,7
06/01/2018;0;0;75;1,2
06/01/2018;100;0;77;1,5
06/01/2018;200;0;77;2
06/01/2018;300;0;80;2
06/01/2018;400;0;81;0,4
06/01/2018;500;0;82;0,3
06/01/2018;600;0;83;0
06/01/2018;700;0;83;0
06/01/2018;800;0;82;0,4
06/01/2018;900;0;81;1
06/01/2018;1000;0;80;1,6
06/01/2018;1100;0;75;2,1
