Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;0;87;2,6
01/01/2018;100;0;87;3,4
01/01/2018;200;0;89;1,3
01/01/2018;300;0;89;0,9
01/01/2018;400;0;91;1
01/01/2018;500;0;91;2
01/01/2018;600;0;90;1,1
01/01/2018;700;0;90;0,9
01/01/2018;800;0;92;1,2
01/01/2018;900;0;92;0,9
01/01/2018;1000;0;90;1,5
01/01/2018;1100;0;81;0,5
01/01/2018;1200;0;74;1,4
01/01/2018;1300;0,2;72;3,5
01/01/2018;1400;0;73;4,4
01/01/2018;1500;0;66;5
01/01/2018;1600;0;65;3,6
01/01/2018;1700;0;61;2,7
01/01/2018;1800;0;70;4,6
01/01/2018;1900;0;73;6,1
01/01/2018;2000;0;74;5,9
01/01/2018;2100;0;76;6,7
01/01/2018;2200;0;78;5,5
01/01/2018;2300;0;78;6,6
02/01/2018;0;0;78;5,9
02/01/2018;100;0;78;5,5
02/01/2018;200;0;79;4,5
02/01/2018;300;0;78;3,3
02/01/2018;400;0;84;3,3
02/01/2018;500;0;85;3,2
02/01/2018;600;0;87;2,1
02/01/2018;700;0;86;1,4
02/01/2018;800;0;87;1,6
02/01/2018;900;0;89;1,7
02/01/2018;1000;0;88;1,2
02/01/2018;1100;0;83;1,8
02/01/2018;1200;0;66;2,8
02/01/2018;1300;0;59;2,7
02/01/2018;1400;0;60;1,7
02/01/2018;1500;0;60;1,9
02/01/2018;1600;0;63;2,6
02/01/2018;1700;0;61;5
02/01/2018;1800;0;65;3,7
02/01/2018;1900;0;56;0,7
02/01/2018;2000;0;63;1,1
02/01/2018;2100;0;73;2,6
02/01/2018;2200;0;73;3,9
02/01/2018;2300;0;73;4,4
03/01/2018;0;0;81;2,6
03/01/2018;100;0;85;2,3
03/01/2018;200;0;83;2
03/01/2018;300;0;86;1,9
03/01/2018;400;0;86;0,9
03/01/2018;500;0;84;1,4
03/01/2018;600;0;77;1
03/01/2018;700;0;76;1,4
03/01/2018;800;0;78;2,9
03/01/2018;900;0;70;4,4
03/01/2018;1000;0;76;3,5
03/01/2018;1100;0;77;1,2
03/01/2018;1200;0;75;3,9
03/01/2018;1300;0;73;6,3
03/01/2018;1400;0;85;7
03/01/2018;1500;0;85;5,1
03/01/2018;1600;0,2;88;6,8
03/01/2018;1700;0;85;6,9
03/01/2018;1800;2,6;93;7,4
03/01/2018;1900;1,6;94;5,7
03/01/2018;2000;0,2;92;5,7
03/01/2018;2100;0;90;4,3
03/01/2018;2200;0;86;4,3
03/01/2018;2300;0;84;1,8
04/01/2018;0;0;84;2,1
04/01/2018;100;0;88;1,4
04/01/2018;200;0;89;1,5
04/01/2018;300;0;90;0,4
04/01/2018;400;0;89;0,5
04/01/2018;500;0;90;1,5
04/01/2018;600;0;91;1,3
04/01/2018;700;0;92;0,8
04/01/2018;800;0;92;2,1
04/01/2018;900;0;88;2,7
04/01/2018;1000;0;82;1,9
04/01/2018;1100;0;78;1,3
04/01/2018;1200;0,2;79;2,3
04/01/2018;1300;0;79;4,2
04/01/2018;1400;0;73;3,4
04/01/2018;1500;0;68;2,6
04/01/2018;1600;0;69;2,8
04/01/2018;1700;0;68;2
04/01/2018;1800;0;56;5,2
04/01/2018;1900;0;56;5,6
04/01/2018;2000;0;64;5,1
04/01/2018;2100;0;70;5,3
04/01/2018;2200;0;70;3
04/01/2018;2300;0;70;4,5
05/01/2018;0;0;69;3,1
05/01/2018;100;0;71;2,2
05/01/2018;200;0;72;3,1
05/01/2018;300;0;74;2,3
05/01/2018;400;0;76;2
05/01/2018;500;0;74;1,3
05/01/2018;600;0;75;1,7
05/01/2018;700;0;77;3,4
05/01/2018;800;0;73;5,4
05/01/2018;900;0;71;4,4
05/01/2018;1000;0;73;5,3
05/01/2018;1100;0;72;5,3
05/01/2018;1200;0;69;5,9
05/01/2018;1300;0;67;5,7
05/01/2018;1400;0;62;5,7
05/01/2018;1500;0;56;5,3
05/01/2018;1600;0;53;5,9
05/01/2018;1700;0;57;6,6
05/01/2018;1800;0;67;5,8
05/01/2018;1900;0;66;5,4
05/01/2018;2000;0;69;5
05/01/2018;2100;0;75;4
05/01/2018;2200;0;77;2,1
05/01/2018;2300;0;77;3,5
06/01/2018;0;0;80;3,7
06/01/2018;100;0;80;3,3
06/01/2018;200;0;81;2,5
06/01/2018;300;0;83;1,9
06/01/2018;400;0;83;1,9
06/01/2018;500;0;85;2
06/01/2018;600;0;86;1,7
06/01/2018;700;0;88;2,8
06/01/2018;800;0;88;1,1
06/01/2018;900;0;87;3,9
06/01/2018;1000;0;85;4,7
06/01/2018;1100;0;82;5,2
06/01/2018;1200;0;82;4,9
06/01/2018;1300;0;81;4,6
06/01/2018;1400;0;81;2,8
06/01/2018;1500;0;79;3,8
06/01/2018;1600;0;77;3,5
06/01/2018;1700;0;75;3,9
06/01/2018;1800;0;73;4,1
06/01/2018;1900;0;75;5,2
06/01/2018;2000;0;81;5
06/01/2018;2100;0;81;4
06/01/2018;2200;0,2;85;3,1
06/01/2018;2300;0,2;87;3,7
07/01/2018;0;0,2;86;3,9
07/01/2018;100;0;88;0,8
07/01/2018;200;0;85;2,2
07/01/2018;300;0;83;2,2
07/01/2018;400;0,2;85;1,2
07/01/2018;500;0;85;1,3
07/01/2018;600;0;86;1,7
07/01/2018;700;0;87;1,1
07/01/2018;800;0;88;0,8
07/01/2018;900;0;89;1,2
07/01/2018;1000;0;88;1,2
07/01/2018;1100;0;87;2,5
07/01/2018;1200;0;81;1,9
07/01/2018;1300;0;83;1
07/01/2018;1400;0;77;3,2
07/01/2018;1500;0,2;85;3,5
07/01/2018;1600;0,6;91;1,7
07/01/2018;1700;0;90;2,4
07/01/2018;1800;1,4;90;3,9
07/01/2018;1900;2,8;90;5,4
07/01/2018;2000;5,2;89;2
07/01/2018;2100;1,4;91;0,5
07/01/2018;2200;3,4;94;2,1
07/01/2018;2300;1,6;94;2,6
08/01/2018;0;3,8;94;4
08/01/2018;100;1,4;93;3,5
08/01/2018;200;0,2;92;3,4
08/01/2018;300;0,4;92;2,6
08/01/2018;400;0,4;93;1,2
08/01/2018;500;0;93;0,8
08/01/2018;600;0,6;93;0,4
08/01/2018;700;0,6;94;0,9
08/01/2018;800;0,2;94;0,9
08/01/2018;900;0,6;94;1,1
08/01/2018;1000;1,2;94;1,4
08/01/2018;1100;0,6;94;1,1
08/01/2018;1200;0,2;93;1,9
08/01/2018;1300;0;92;3,1
08/01/2018;1400;0;91;4,2
08/01/2018;1500;0,4;90;3,2
08/01/2018;1600;1,4;90;2,2
08/01/2018;1700;1;91;1,8
08/01/2018;1800;1,6;92;2,9
08/01/2018;1900;1;92;3,7
08/01/2018;2000;1;92;3,5
08/01/2018;2100;0,4;92;3,3
08/01/2018;2200;0,8;92;3,1
08/01/2018;2300;0,4;93;2,6
09/01/2018;0;0,2;93;2,5
09/01/2018;100;0;93;2,1
09/01/2018;200;0;93;3,4
09/01/2018;300;0;91;2,6
09/01/2018;400;0;89;2,1
09/01/2018;500;0,2;91;2,4
09/01/2018;600;0;91;1,8
09/01/2018;700;0;91;2,3
09/01/2018;800;0;92;0,5
09/01/2018;900;0;93;2,9
09/01/2018;1000;0;90;2,6
09/01/2018;1100;0;90;2,5
09/01/2018;1200;0;87;2,6
09/01/2018;1300;0;86;2,1
09/01/2018;1400;0;82;2,8
09/01/2018;1500;0;78;1,9
09/01/2018;1600;0;76;2,2
09/01/2018;1700;0;77;3,9
09/01/2018;1800;0;78;4,7
09/01/2018;1900;0;80;3,9
09/01/2018;2000;0;80;2,8
09/01/2018;2100;0;82;1,8
09/01/2018;2200;0;82;2,8
09/01/2018;2300;0;79;2
10/01/2018;0;0;80;1,9
10/01/2018;100;0;84;2
10/01/2018;200;0;86;2,8
10/01/2018;300;0;82;1,4
10/01/2018;400;0;82;1,1
10/01/2018;500;0;81;1,8
10/01/2018;600;0;82;1,5
10/01/2018;700;0;82;2,5
10/01/2018;800;0;84;2,5
10/01/2018;900;0;84;1,3
10/01/2018;1000;0;84;4,2
10/01/2018;1100;0;85;4,6
10/01/2018;1200;0;81;4,9
10/01/2018;1300;0;75;5,7
10/01/2018;1400;0;72;5,4
10/01/2018;1500;0;75;6,5
10/01/2018;1600;0;74;6,1
10/01/2018;1700;0;73;6,2
10/01/2018;1800;0;69;6
10/01/2018;1900;0;74;6,7
10/01/2018;2000;0;77;5,9
10/01/2018;2100;0;74;2,7
10/01/2018;2200;0;72;3,8
10/01/2018;2300;0;74;4,7
11/01/2018;0;0;74;4,2
11/01/2018;100;0;76;5,7
11/01/2018;200;0;74;6,5
11/01/2018;300;0;75;5,9
11/01/2018;400;0;78;5,1
11/01/2018;500;0;79;4,6
11/01/2018;600;0;82;4
11/01/2018;700;0;83;2,9
11/01/2018;800;0;84;2,8
11/01/2018;900;0;84;2,9
11/01/2018;1000;0;85;3,3
11/01/2018;1100;0;85;4,5
11/01/2018;1200;0;82;4,6
11/01/2018;1300;0;81;4
11/01/2018;1400;0;76;4,9
11/01/2018;1500;0;69;4,6
11/01/2018;1600;0;69;5,1
11/01/2018;1700;0;69;5,5
11/01/2018;1800;0;74;7,8
11/01/2018;1900;0;78;5,1
11/01/2018;2000;0;76;4
11/01/2018;2100;0,6;86;5
11/01/2018;2200;9;93;2,9
11/01/2018;2300;4,8;92;1,5
12/01/2018;0;0,4;91;4,2
12/01/2018;100;0;88;4,3
12/01/2018;200;0;89;2,7
12/01/2018;300;0;88;2,2
12/01/2018;400;0;88;2
12/01/2018;500;0;88;1,5
12/01/2018;600;0;89;0,9
12/01/2018;700;0;90;1,2
12/01/2018;800;0;86;1,6
12/01/2018;900;0;85;2,3
12/01/2018;1000;0;84;2,7
12/01/2018;1100;0;83;0,9
