Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;0;93;1,2
01/01/2018;100;0;96;3,6
01/01/2018;200;0;96;2,9
01/01/2018;300;0;97;2,5
01/01/2018;400;0;97;1,5
01/01/2018;500;0;97;1,6
01/01/2018;600;0;97;2
01/01/2018;700;0;97;1,8
01/01/2018;800;0;98;2,4
01/01/2018;900;0;97;2,3
01/01/2018;1000;0;97;2,7
01/01/2018;1100;0;95;3,2
01/01/2018;1200;0;93;3,2
01/01/2018;1300;0;88;3,3
01/01/2018;1400;0;81;5,1
01/01/2018;1500;0;73;5,5
01/01/2018;1600;0;69;4,3
01/01/2018;1700;0;65;5,2
01/01/2018;1800;1,2;85;5,7
01/01/2018;1900;5,2;86;4,5
01/01/2018;2000;0;86;1,7
01/01/2018;2100;0;82;0,7
01/01/2018;2200;6;94;5,4
01/01/2018;2300;0,6;93;2,7
02/01/2018;0;0;93;0,8
02/01/2018;100;1,8;94;4,5
02/01/2018;200;1;95;1,2
02/01/2018;300;1,2;96;1,2
02/01/2018;400;0;96;1,5
02/01/2018;500;0;97;1,7
02/01/2018;600;0;97;1,8
02/01/2018;700;0;97;1,3
02/01/2018;800;0;97;1,2
02/01/2018;900;2,4;97;1,9
02/01/2018;1000;0;96;2,2
02/01/2018;1100;0;96;1,9
02/01/2018;1200;0;95;3,3
02/01/2018;1300;0,2;95;3,8
02/01/2018;1400;0;91;3,4
02/01/2018;1500;10,2;96;4,5
02/01/2018;1600;9;97;3,7
02/01/2018;1700;9,8;97;3,7
02/01/2018;1800;2,2;95;1,3
02/01/2018;1900;17,4;97;3,1
02/01/2018;2000;2;97;4,5
02/01/2018;2100;0;96;3,1
02/01/2018;2200;0;94;1,3
02/01/2018;2300;10,6;96;3,4
03/01/2018;0;3,4;97;1,1
03/01/2018;100;0,8;97;1,4
03/01/2018;200;0;97;2,7
03/01/2018;300;0;97;2,3
03/01/2018;400;0;97;2,8
03/01/2018;500;0;97;3
03/01/2018;600;0;95;3,5
03/01/2018;700;0,2;96;2,9
03/01/2018;800;1;96;2,2
03/01/2018;900;1,2;97;1,3
03/01/2018;1000;0;97;1,7
03/01/2018;1100;0;95;2,6
03/01/2018;1200;0;88;3,2
03/01/2018;1300;0;85;3
03/01/2018;1400;0;87;4,7
03/01/2018;1500;0;89;3,5
03/01/2018;1600;0,2;87;4
03/01/2018;1700;0;74;3,8
03/01/2018;1800;0;68;3,5
03/01/2018;1900;0;67;4,1
03/01/2018;2000;0;65;3,3
03/01/2018;2100;0;64;2,8
03/01/2018;2200;0;68;1,6
03/01/2018;2300;0;75;1,4
04/01/2018;0;0;76;1,7
04/01/2018;100;0;78;1,6
04/01/2018;200;0;80;2,9
04/01/2018;300;0;74;2,6
04/01/2018;400;0;72;3,9
04/01/2018;500;0;75;3,3
04/01/2018;600;0;73;2,2
04/01/2018;700;0;75;2,5
04/01/2018;800;0;84;2
04/01/2018;900;0;88;1,4
04/01/2018;1000;0;87;3,5
04/01/2018;1100;0;82;5,1
04/01/2018;1200;0;76;4,2
04/01/2018;1300;0;74;4,5
04/01/2018;1400;0;70;3,9
04/01/2018;1500;0;66;3,4
04/01/2018;1600;0;64;2,3
04/01/2018;1700;0;57;2,6
04/01/2018;1800;0;54;1,3
04/01/2018;1900;0;51;2,3
04/01/2018;2000;0;53;1,8
04/01/2018;2100;0;55;1,6
04/01/2018;2200;0;61;1,6
04/01/2018;2300;0;65;1,7
05/01/2018;0;0;64;2,6
05/01/2018;100;0;63;2,9
05/01/2018;200;0;64;3,2
05/01/2018;300;0;64;3,4
05/01/2018;400;0;63;3,8
05/01/2018;500;0;68;3,9
05/01/2018;600;0;69;4,3
05/01/2018;700;0;70;2,8
05/01/2018;800;0;73;3,5
05/01/2018;900;0;77;3,4
05/01/2018;1000;0;78;2,9
05/01/2018;1100;0;79;4,8
05/01/2018;1200;0;79;3,2
05/01/2018;1300;0;77;1,6
05/01/2018;1400;0;74;3
05/01/2018;1500;0;70;2,8
05/01/2018;1600;0;64;1,3
05/01/2018;1700;0;64;1,5
05/01/2018;1800;0;53;3
05/01/2018;1900;0;53;1,8
05/01/2018;2000;0;55;2,7
