Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;0;95;1,6
01/01/2018;100;0;95;1,5
01/01/2018;200;0;95;3,5
01/01/2018;300;0;93;1,8
01/01/2018;400;0;94;1,1
01/01/2018;500;0;95;1,3
01/01/2018;600;0;95;1,3
01/01/2018;700;0;94;1,1
01/01/2018;800;0;95;1,2
01/01/2018;900;0;95;2,2
01/01/2018;1000;0;95;1,9
01/01/2018;1100;0,8;92;2,6
01/01/2018;1200;0,2;92;2,7
01/01/2018;1300;0;86;3,1
01/01/2018;1400;0;80;3,2
01/01/2018;1500;0,8;83;1,5
01/01/2018;1600;2,6;84;1,7
01/01/2018;1700;0;74;3,4
01/01/2018;1800;0;64;3,7
01/01/2018;1900;0;59;4,2
01/01/2018;2000;0;70;2,9
01/01/2018;2100;0;77;2,7
01/01/2018;2200;0;81;1,8
01/01/2018;2300;0;86;5,6
02/01/2018;0;9,6;96;2,3
02/01/2018;100;2,8;96;0,3
02/01/2018;200;1;96;1,6
02/01/2018;300;0;95;0,1
02/01/2018;400;0;96;0,1
02/01/2018;500;0;95;2,4
02/01/2018;600;0;95;2
02/01/2018;700;0;95;2,5
02/01/2018;800;0;95;1,6
02/01/2018;900;0;95;1,8
02/01/2018;1000;0;95;0,4
02/01/2018;1100;0;93;2,9
02/01/2018;1200;0;89;2
02/01/2018;1300;0;87;2,4
02/01/2018;1400;3,2;92;3,1
02/01/2018;1500;0;91;3,5
02/01/2018;1600;0;84;5,3
02/01/2018;1700;0;68;5
02/01/2018;1800;1,6;83;4,2
02/01/2018;1900;0;81;6,6
02/01/2018;2000;0;86;4,5
02/01/2018;2100;0;84;3,1
02/01/2018;2200;4;91;2,1
02/01/2018;2300;6,8;95;0
03/01/2018;0;0,8;95;0,9
03/01/2018;100;0;95;0,6
03/01/2018;200;0;94;1,3
03/01/2018;300;0;92;1,2
03/01/2018;400;0;93;0,8
03/01/2018;500;0;93;1,3
03/01/2018;600;0;93;0,5
03/01/2018;700;0;94;0,4
03/01/2018;800;4,2;95;1,2
03/01/2018;900;2,2;96;0
03/01/2018;1000;1,2;96;0,3
03/01/2018;1100;0;96;1,6
03/01/2018;1200;0;91;1,5
03/01/2018;1300;0;85;2,1
03/01/2018;1400;0;81;2,3
03/01/2018;1500;0;75;2,6
03/01/2018;1600;0;72;2,9
03/01/2018;1700;0;72;3,8
03/01/2018;1800;0;66;3,5
03/01/2018;1900;0;66;2,4
03/01/2018;2000;0;74;3,2
03/01/2018;2100;0;65;1,4
03/01/2018;2200;0;70;0,6
03/01/2018;2300;0;82;0
04/01/2018;0;0;88;0
04/01/2018;100;0;91;0
04/01/2018;200;0;92;0
04/01/2018;300;0;94;0
04/01/2018;400;0;94;0,1
04/01/2018;500;0;95;0
04/01/2018;600;0;96;0
04/01/2018;700;0;96;0
04/01/2018;800;0;96;0
04/01/2018;900;0;96;0
04/01/2018;1000;0;96;0
04/01/2018;1100;0;88;0,9
04/01/2018;1200;0;80;2,4
04/01/2018;1300;0;75;2,1
04/01/2018;1400;0;66;0,7
04/01/2018;1500;0;58;1,5
04/01/2018;1600;0;55;1
04/01/2018;1700;0;55;0,6
04/01/2018;1800;0;49;0,2
04/01/2018;1900;0;51;0,5
04/01/2018;2000;0;51;0,4
04/01/2018;2100;0;46;0
04/01/2018;2200;0;65;0,5
04/01/2018;2300;0;75;0
05/01/2018;0;0;81;0
05/01/2018;100;0;88;0
05/01/2018;200;0;90;0
05/01/2018;300;0;91;0
05/01/2018;400;0;89;0,2
05/01/2018;500;0;91;0
05/01/2018;600;0;88;2
05/01/2018;700;0;77;3,1
05/01/2018;800;0;75;3,3
05/01/2018;900;0;85;1,9
05/01/2018;1000;0;88;0,5
05/01/2018;1100;0;87;2,6
05/01/2018;1200;0;81;2,6
05/01/2018;1300;0;72;2,4
05/01/2018;1400;0;67;2,7
05/01/2018;1500;0;61;2,6
05/01/2018;1600;0;57;2
05/01/2018;1700;0;53;2,6
05/01/2018;1800;0;54;1,7
05/01/2018;1900;0;52;1,7
05/01/2018;2000;0;51;1
05/01/2018;2100;0;52;1,8
05/01/2018;2200;0;67;0,3
05/01/2018;2300;0;72;0
06/01/2018;0;0;74;2
06/01/2018;100;0;79;0,1
06/01/2018;200;0;81;1,4
06/01/2018;300;0;83;1,6
06/01/2018;400;0;88;1,7
06/01/2018;500;0,4;88;0
06/01/2018;600;0,6;92;2,8
06/01/2018;700;0;92;0
06/01/2018;800;1,4;94;0,3
06/01/2018;900;0,4;94;2,3
06/01/2018;1000;0;93;2,6
06/01/2018;1100;0;90;4,5
06/01/2018;1200;0;86;3,3
06/01/2018;1300;0;81;1,7
06/01/2018;1400;0,2;74;2,5
06/01/2018;1500;0;75;2,4
06/01/2018;1600;0;75;1,8
06/01/2018;1700;0;75;0,3
06/01/2018;1800;0;69;1,2
06/01/2018;1900;0;67;1,1
06/01/2018;2000;0;62;0,5
06/01/2018;2100;0;65;0,5
06/01/2018;2200;0;73;1,4
06/01/2018;2300;0;76;1,7
07/01/2018;0;0;82;1,5
07/01/2018;100;0;88;0,2
07/01/2018;200;0;90;0
07/01/2018;300;0;90;0
07/01/2018;400;0;91;1,2
07/01/2018;500;0;92;3,6
07/01/2018;600;0;91;2,9
07/01/2018;700;0;92;3,6
07/01/2018;800;0;87;3,2
07/01/2018;900;0;89;1,1
07/01/2018;1000;0;91;2,8
07/01/2018;1100;0;91;2,9
07/01/2018;1200;0;88;3,5
07/01/2018;1300;0;88;3,1
07/01/2018;1400;1,4;92;3,7
07/01/2018;1500;0,6;88;3,9
07/01/2018;1600;0;76;2,9
07/01/2018;1700;0;78;2,5
07/01/2018;1800;0;75;2,5
07/01/2018;1900;0;75;3,6
07/01/2018;2000;0;69;2,9
07/01/2018;2100;0;70;2
07/01/2018;2200;0;79;0,6
07/01/2018;2300;0;82;1,4
08/01/2018;0;0;85;2,5
08/01/2018;100;0;87;4,3
08/01/2018;200;0;83;3,5
08/01/2018;300;0;86;2
08/01/2018;400;0;90;1
08/01/2018;500;0;91;2,1
08/01/2018;600;0;90;1,5
08/01/2018;700;0;90;2,9
08/01/2018;800;0;85;4,7
08/01/2018;900;0;89;2,3
08/01/2018;1000;0;92;3,6
08/01/2018;1100;0;93;3,6
08/01/2018;1200;0,4;94;3,4
08/01/2018;1300;0;92;2,9
08/01/2018;1400;0;86;2,6
08/01/2018;1500;0,2;87;2,7
08/01/2018;1600;1,4;92;2,8
08/01/2018;1700;0,8;92;2,1
08/01/2018;1800;0,2;89;1,6
08/01/2018;1900;0;86;2,3
08/01/2018;2000;0;82;0,9
08/01/2018;2100;0;85;3,1
08/01/2018;2200;1,8;93;1,2
08/01/2018;2300;0,6;94;1,3
09/01/2018;0;0,4;94;3,3
09/01/2018;100;0,4;93;2,6
09/01/2018;200;4,4;94;3,8
09/01/2018;300;4,6;94;4
09/01/2018;400;11,6;96;6,7
09/01/2018;500;16,4;97;2
09/01/2018;600;1,4;97;4,5
09/01/2018;700;1,8;95;4,9
09/01/2018;800;1,2;94;4,2
09/01/2018;900;0,6;95;3,2
09/01/2018;1000;0,8;95;4,3
09/01/2018;1100;0,6;93;4,3
09/01/2018;1200;0,8;93;4,3
09/01/2018;1300;1;92;4,1
09/01/2018;1400;0,4;91;4,6
09/01/2018;1500;0;87;4,3
09/01/2018;1600;0,2;86;3,2
09/01/2018;1700;0;84;3,4
09/01/2018;1800;0;78;5,2
09/01/2018;1900;0;75;3,8
09/01/2018;2000;0;73;4,2
09/01/2018;2100;0;76;3,8
09/01/2018;2200;0;81;2,5
09/01/2018;2300;0;83;3,5
10/01/2018;0;0;86;2,4
10/01/2018;100;0;88;2,6
10/01/2018;200;0;88;0,6
10/01/2018;300;0;87;0,3
10/01/2018;400;0;90;0,9
10/01/2018;500;0;91;0
10/01/2018;600;0;93;0,1
10/01/2018;700;0;95;1,2
10/01/2018;800;0;95;2,5
10/01/2018;900;0;95;1,5
10/01/2018;1000;0;95;1,8
10/01/2018;1100;0;93;1,7
10/01/2018;1200;0;90;2,5
10/01/2018;1300;0;83;2,9
10/01/2018;1400;0;78;2,3
10/01/2018;1500;0;74;0,7
10/01/2018;1600;0;72;1,2
10/01/2018;1700;0;83;4,1
10/01/2018;1800;0;87;0,4
10/01/2018;1900;0;88;0
10/01/2018;2000;0;89;0,6
10/01/2018;2100;0;89;0,7
10/01/2018;2200;0;89;0
10/01/2018;2300;0;92;0
11/01/2018;0;0;93;0,1
11/01/2018;100;0;94;0,6
11/01/2018;200;0;93;1,2
11/01/2018;300;0;92;0,7
11/01/2018;400;0;91;1,6
11/01/2018;500;0;94;0,5
11/01/2018;600;0;94;0
11/01/2018;700;0;96;0,4
11/01/2018;800;0;96;0,7
11/01/2018;900;0;96;0,1
11/01/2018;1000;0;96;0
11/01/2018;1100;0;96;1,6
11/01/2018;1200;0;87;0,2
11/01/2018;1300;0;76;1,2
11/01/2018;1400;0;76;1,9
11/01/2018;1500;0;75;1,5
11/01/2018;1600;0;75;2,5
11/01/2018;1700;0;76;2,7
11/01/2018;1800;0;71;2,9
11/01/2018;1900;0;65;3
11/01/2018;2000;0;64;1,3
11/01/2018;2100;0;67;0,7
11/01/2018;2200;0;70;2,5
11/01/2018;2300;0;76;0,9
12/01/2018;0;0;82;3,4
12/01/2018;100;0;85;2,9
12/01/2018;200;0,2;86;1
12/01/2018;300;3,4;93;1,8
12/01/2018;400;4,8;94;0,8
12/01/2018;500;0,4;92;0,3
12/01/2018;600;0;93;0,4
12/01/2018;700;0;95;1,8
12/01/2018;800;0;94;2,3
12/01/2018;900;0;94;0,4
12/01/2018;1000;0;94;0,2
12/01/2018;1100;0;92;0,1
12/01/2018;1200;0;86;0
12/01/2018;1300;null;null;null
12/01/2018;1400;null;null;null
12/01/2018;1500;null;null;null
12/01/2018;1600;null;null;null
12/01/2018;1700;null;null;null
12/01/2018;1800;null;null;null
12/01/2018;1900;null;null;null
12/01/2018;2000;null;null;null
12/01/2018;2100;null;null;null
12/01/2018;2200;null;null;null
12/01/2018;2300;null;null;null
13/01/2018;0;null;null;null
13/01/2018;100;null;null;null
13/01/2018;200;null;null;null
13/01/2018;300;null;null;null
13/01/2018;400;null;null;null
