Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);VENTO, VELOCIDADE HORARIA(m/s)
01/01/2018;0;4,6;93;0,4
01/01/2018;100;1,4;94;1,4
01/01/2018;200;0;94;0,9
01/01/2018;300;0;93;1,9
01/01/2018;400;0;93;0,6
01/01/2018;500;0;94;1,8
01/01/2018;600;0;94;1,3
01/01/2018;700;0;93;1,3
01/01/2018;800;0;93;1,2
01/01/2018;900;0;93;1,6
01/01/2018;1000;0;92;1,7
01/01/2018;1100;0;91;2,7
01/01/2018;1200;0;85;2,2
01/01/2018;1300;0;77;2,8
01/01/2018;1400;0;70;2,4
01/01/2018;1500;0;69;2,5
01/01/2018;1600;0;62;3,3
01/01/2018;1700;0,2;68;3,7
01/01/2018;1800;0;53;2,9
01/01/2018;1900;0;56;3,2
01/01/2018;2000;0;57;2,5
01/01/2018;2100;0;76;1,8
01/01/2018;2200;0;77;0
01/01/2018;2300;0;82;0,3
02/01/2018;0;0;82;0,4
02/01/2018;100;0;86;0
02/01/2018;200;0;88;0
02/01/2018;300;0;90;0,5
02/01/2018;400;0;90;1,3
02/01/2018;500;0;89;0
02/01/2018;600;0;92;0,1
02/01/2018;700;0;92;0,9
02/01/2018;800;0;92;1,4
02/01/2018;900;4,6;92;1,2
02/01/2018;1000;0,2;93;1,4
02/01/2018;1100;0;91;2
02/01/2018;1200;0;88;2,3
02/01/2018;1300;0;79;2,5
02/01/2018;1400;0;74;2,8
02/01/2018;1500;0;70;3,5
02/01/2018;1600;0;65;4,8
02/01/2018;1700;0;61;5
02/01/2018;1800;0;56;4,7
02/01/2018;1900;0;58;4,4
02/01/2018;2000;0;59;3,9
02/01/2018;2100;0;62;2,5
02/01/2018;2200;0;59;0,3
02/01/2018;2300;0;65;0
03/01/2018;0;7,4;92;4,4
03/01/2018;100;6,2;92;1,5
03/01/2018;200;1,2;92;0,1
03/01/2018;300;0,2;93;0,1
03/01/2018;400;0;93;0,8
03/01/2018;500;0;92;1,2
03/01/2018;600;0;93;0,8
03/01/2018;700;0;93;1,1
03/01/2018;800;0,2;93;1,4
03/01/2018;900;0;92;0,9
03/01/2018;1000;0;92;1,3
03/01/2018;1100;0,4;92;2,1
03/01/2018;1200;0,2;91;2,9
03/01/2018;1300;0,6;91;4,2
03/01/2018;1400;0,2;86;2
03/01/2018;1500;0;87;2,1
03/01/2018;1600;0;78;3,6
03/01/2018;1700;0;69;3,5
03/01/2018;1800;0;64;3,2
03/01/2018;1900;0;62;4,2
03/01/2018;2000;0;60;2,6
03/01/2018;2100;0;62;1,3
03/01/2018;2200;0;69;0,2
03/01/2018;2300;0;75;0
04/01/2018;0;0;91;0
04/01/2018;100;0;93;0
04/01/2018;200;0;93;0
04/01/2018;300;0;94;0
04/01/2018;400;0;94;0
04/01/2018;500;0;94;0
04/01/2018;600;0;94;0
04/01/2018;700;0;94;0
04/01/2018;800;0;94;0
04/01/2018;900;0;95;0
04/01/2018;1000;0;95;0
04/01/2018;1100;0;94;0,2
04/01/2018;1200;0;77;0,5
04/01/2018;1300;0;68;0,3
04/01/2018;1400;0;64;1,2
04/01/2018;1500;0;61;0,3
04/01/2018;1600;0;58;1,2
04/01/2018;1700;0;59;1,1
04/01/2018;1800;0;59;0,7
04/01/2018;1900;0;50;1,4
04/01/2018;2000;0;48;1,3
04/01/2018;2100;0;50;1,6
04/01/2018;2200;0;57;1,4
