data;Carga;Sorocaba
2018-01-01 00:00:00.000;1322.109985;21.8
2018-01-01 01:00:00.000;1338.380005;21.7
2018-01-01 02:00:00.000;1303.73999;21.4
2018-01-01 03:00:00.000;1264.550049;21.1
2018-01-01 04:00:00.000;1223.920044;20.8
2018-01-01 05:00:00.000;1190.859985;20.7
2018-01-01 06:00:00.000;1129.180054;20.6
2018-01-01 07:00:00.000;1082.949951;20.3
2018-01-01 08:00:00.000;1112.790039;20.5
2018-01-01 09:00:00.000;1173.540039;21.5
2018-01-01 10:00:00.000;1247.420044;22.4
2018-01-01 11:00:00.000;1296.420044;23.0
2018-01-01 12:00:00.000;1300.300049;23.5
2018-01-01 13:00:00.000;1263.369995;24.0
2018-01-01 14:00:00.000;1234.069946;26.4
2018-01-01 15:00:00.000;1234.47998;27.9
2018-01-01 16:00:00.000;1261.650024;28.3
2018-01-01 17:00:00.000;1309.060059;28.6
2018-01-01 18:00:00.000;1361.439941;28.5
2018-01-01 19:00:00.000;1424.640015;28.2
2018-01-01 20:00:00.000;1635.76001;26.3
2018-01-01 21:00:00.000;1655.859985;21.4
2018-01-01 22:00:00.000;1606.660034;21.3
2018-01-01 23:00:00.000;1542.48999;21.4
2018-01-02 00:00:00.000;1448.670044;21.4
2018-01-02 01:00:00.000;1366.52002;20.5
2018-01-02 02:00:00.000;1305.910034;20.7
2018-01-02 03:00:00.000;1281.560059;20.6
2018-01-02 04:00:00.000;1284.949951;19.7
2018-01-02 05:00:00.000;1343.079956;20.0
2018-01-02 06:00:00.000;1423.939941;19.9
2018-01-02 07:00:00.000;1517.390015;19.9
2018-01-02 08:00:00.000;1666.930054;20.8
2018-01-02 09:00:00.000;1763.02002;21.9
2018-01-02 10:00:00.000;1834.119995;22.5
2018-01-02 11:00:00.000;1854.219971;23.9
2018-01-02 12:00:00.000;1858.839966;24.6
2018-01-02 13:00:00.000;1894.790039;26.0
2018-01-02 14:00:00.000;1928.390015;27.3
2018-01-02 15:00:00.000;1942.420044;28.5
2018-01-02 16:00:00.000;1945.599976;28.2
2018-01-02 17:00:00.000;1909.599976;28.1
2018-01-02 18:00:00.000;1863.119995;27.6
2018-01-02 19:00:00.000;1850.449951;26.4
2018-01-02 20:00:00.000;1965.800049;25.4
2018-01-02 21:00:00.000;1961.089966;24.1
2018-01-02 22:00:00.000;1943.0;22.3
2018-01-02 23:00:00.000;1880.099976;21.6
2018-01-03 00:00:00.000;1763.140015;21.7
2018-01-03 01:00:00.000;1675.349976;21.6
2018-01-03 02:00:00.000;1620.550049;21.5
2018-01-03 03:00:00.000;1590.02002;21.3
2018-01-03 04:00:00.000;1583.589966;21.2
2018-01-03 05:00:00.000;1620.319946;21.0
2018-01-03 06:00:00.000;1681.160034;21.0
2018-01-03 07:00:00.000;1740.930054;21.0
2018-01-03 08:00:00.000;1833.130005;21.0
2018-01-03 09:00:00.000;1903.060059;21.1
2018-01-03 10:00:00.000;1935.109985;22.0
2018-01-03 11:00:00.000;1939.22998;22.5
2018-01-03 12:00:00.000;1910.77002;23.9
2018-01-03 13:00:00.000;1943.410034;25.8
2018-01-03 14:00:00.000;1944.589966;26.6
2018-01-03 15:00:00.000;1952.23999;27.3
2018-01-03 16:00:00.000;1942.459961;27.5
2018-01-03 17:00:00.000;1875.939941;27.0
2018-01-03 18:00:00.000;1817.959961;26.0
2018-01-03 19:00:00.000;1766.040039;25.8
2018-01-03 20:00:00.000;1900.150024;25.3
2018-01-03 21:00:00.000;1901.76001;23.1
2018-01-03 22:00:00.000;1864.040039;21.9
2018-01-03 23:00:00.000;1807.01001;21.3
2018-01-04 00:00:00.000;1679.150024;20.5
2018-01-04 01:00:00.000;1567.219971;19.6
2018-01-04 02:00:00.000;1501.300049;19.1
2018-01-04 03:00:00.000;1480.680054;18.3
2018-01-04 04:00:00.000;1466.890015;17.9
2018-01-04 05:00:00.000;1498.849976;17.9
2018-01-04 06:00:00.000;1555.680054;17.4
2018-01-04 07:00:00.000;1656.290039;18.1
